fips,label,stateName,n_fac,n_pfas_fac,n_chem,n_pfas_obs,n_case,air pollution - particulate matter,drinking water violations,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)",children in poverty,income inequality,unemployment,severe housing cost burden,food insecurity,uninsured,firearm fatalities,homicides,drug overdose deaths,motor vehicle crash deaths,premature death,poor or fair health,frequent mental distress,low birthweight,prev_asthma,prev_chronic_obstructive_pulmonary_disease,prev_coronary_artery_disease,prev_diabetes_mellitus,prev_cerebrovascular_disease,primary care physicians,mental health providers,preventable hospital stays,n_prov,D1_pollution_sources,D2_chemical_exposure,D3_ambient_quality,D4_socioeconomic,D5_public_safety,D6_health_outcomes,D7_service_scarcity,burden_index,consensus,env_burden,soc_burden,service_scarce,service_capacity,mismatch_index,domains_with_data,tier
01001,Autauga County,Alabama,,,144.0,1.0,73.0,10.0,0.0,0.513,16.1,4.7943999665,2.8169014085,12.753317683,14.5,10.559420977,0.017592044088,0.0059083891418999,0.0083524744205,0.019009599848,8.0273947267,16.9,16.2,9.7381519152,10.06875283446712,7.097142857142857,5.824081632653062,10.271897203325777,3.0240060468631897,2246.0,2814.0,4.372,0.0,,0.024802930666352835,0.3619611187454576,-0.035703248229126926,-0.32183226557851796,-0.07500894739979053,0.5099047876727506,-0.009156082359124995,0.0,0.0,0.0,1.0,-0.5099047876727506,0.8180368084371974,5,D (low)
01003,Baldwin County,Alabama,,,144.0,,8.0,7.6,1.0,0.3103,16.4,4.3007098007,2.9629778632,10.962941834,12.4,10.874880826,0.014014402776,0.0032763778505999,0.0175976783,0.016849943232,8.1183582061,14.9,16.1,8.3857311835,9.884910293878876,6.377490258158791,5.408805203766844,9.810511040753369,2.686919548628024,1529.0,957.0,2.864,0.0,,0.25198978753546036,0.718683862931406,-0.35114818274655185,-0.4413144338313681,-0.4025988822335551,-0.12603571687295534,-0.04487756966892177,1.0,1.0,0.0,0.0,0.12603571687295534,-0.2586154869641954,5,C (moderate)
01005,Barbour County,Alabama,,,145.0,,167.0,9.4,1.0,0.9927,35.1,5.1805972095,5.7216054654,10.218016291,19.5,14.368275438,0.0255201728989999,0.011187747179,,0.027969367948,12.876760319,27.5,18.0,11.914672216,11.882682503525324,10.37637487796941,7.617751383013342,15.893817116823952,4.515722963445059,3074.0,4161.0,3.559,1.0,,0.4128890194787458,1.2439210475090858,1.0263963067379065,0.9425635230698107,1.759036728730629,0.5532834791015748,1.0769613251052355,5.0,2.0,3.0,1.0,-0.5532834791015748,1.9751580535250453,5,A (very high)
01007,Bibb County,Alabama,,,145.0,1.0,108.0,9.8,0.0,0.8078,29.0,5.0349852694,3.4813084112,9.4484696141,16.4,13.007877923,0.017818800617,0.0095341002987,0.023905572987,0.02605987415,11.191474323,21.6,17.4,10.033076075,10.520624651422196,8.889983268265478,6.858851087562745,13.545175683212491,3.9104629113218063,1581.0,2497.0,4.856,0.0,,0.10525254663799555,0.3036014315701601,0.4334868701140177,0.3106291243622403,0.8511353908503881,0.505747379252532,0.4008210727069604,1.0,0.0,1.0,1.0,-0.505747379252532,1.2212089644892374,5,C (moderate)
01009,Blount County,Alabama,,,141.0,,36.0,9.6,0.0,0.5137,16.7,4.803717903,2.3799100569,8.2561958794,13.8,13.254672294,0.020396733757,0.007166616418,0.017862802155,0.0306434633039999,10.787014541,18.4,17.4,7.8598889364,10.443830614288238,8.333082042523115,6.386406737734849,10.898309676659402,3.154714647505742,4823.0,4920.0,3.01,1.0,,-0.23070790829439605,0.24524174439486207,-0.19443551797710887,0.3084735046972207,0.2776724170134975,0.7120282619592952,0.08124884796681506,0.0,0.0,0.0,1.0,-0.7120282619592952,1.2392848756909762,5,D (low)
01011,Bullock County,Alabama,,,140.0,,119.0,9.3,0.0,0.831,41.7,6.274395038,3.9947894051,18.537074148,16.0,12.36754705,0.025547301812,0.0152047106959999,,0.049760871368,11.406351094,29.7,17.7,15.062287656,12.57485751863218,9.88031565103025,7.534699693117054,18.927663305567734,5.21466462078036,3325.0,5160.0,3.047,2.0,,-0.3916071402376815,0.15770221363191578,1.2571542944970469,1.945060152500405,2.2083733262652316,0.5580443010930919,1.0353365693313834,3.0,0.0,3.0,1.0,-0.5580443010930919,1.941325986292632,5,B (high)
01013,Butler County,Alabama,,,145.0,,27.0,9.1,0.0,0.6843,34.2,5.3352661233,5.3206002729,8.7013843111,16.3,13.485054348,0.026408003656,0.019437745222,,0.038155573953,12.717030159,22.7,17.6,12.82853567,11.976035652790438,8.852071305580877,6.711242783348527,15.451331915324625,4.193639218069483,4876.0,1180.0,4.201,3.0,,0.4128890194787458,0.09934252645661767,0.6436298455030267,1.8092552566272013,1.3782341914171516,0.43371244555313715,0.8686701678965486,4.0,1.0,3.0,1.0,-0.43371244555313715,1.5711486307140814,5,B (high)
01015,Calhoun County,Alabama,,,148.0,,245.0,9.7,0.0,0.7349,25.2,4.8198680752,4.1328765341,11.334513274,16.1,12.925000848,0.026108745554,0.010346211666,0.019334936766,0.0219389548579999,11.82611499,19.6,17.1,9.4372108038,11.207628944367002,8.632622608034469,6.476123114941072,13.039386643011024,3.631795716639209,1669.0,670.0,3.722,2.0,,0.8955867153086022,0.27442158798251076,0.4106605778243952,0.42791176675344456,0.7150445996415076,-0.033103124674152,0.5447250495020921,2.0,1.0,1.0,0.0,0.033103124674152,0.48310261723108544,5,C (moderate)
01017,Chambers County,Alabama,,,145.0,,34.0,9.8,0.0,0.8074,32.2,4.2124930284,3.6757237176,9.6858846918,15.1,13.219488894,0.026899396258,0.010616207126,0.0100266709449999,0.025054248818,11.059443876,21.5,17.7,12.653061224,11.240809100163766,8.186756960120393,6.335249856150135,13.566445359182048,3.765369804806799,2348.0,11514.0,3.181,0.0,,0.4128890194787458,0.3036014315701601,0.3235733513966418,0.37901661179163304,0.9455759236214695,1.3566181532216885,0.47293126757173,2.0,1.0,1.0,1.0,-1.3566181532216885,2.6860557376946934,5,C (moderate)
01019,Cherokee County,Alabama,,,142.0,,22.0,9.5,0.0,0.3269,26.6,4.8088995665,2.5067750678,8.3333333333,14.2,12.844783715,0.025364323925,0.0082417582418,0.01782939813,0.031868131868,11.395898384,19.3,17.9,8.2923832924,10.78248481342204,8.84211744286954,6.516806479606596,11.241336418860284,3.348307781313277,2629.0,4166.0,3.916,2.0,,-0.06980867635111059,0.21606190080721327,-0.09995803644478188,0.5514795087688412,0.5124454611430904,0.5490733297338193,0.2220440315846505,0.0,0.0,0.0,1.0,-0.5490733297338193,1.1133494326676447,5,D (low)
