cas,chemical,toxcast_endpoints
1763-23-1,Perfluorooctanesulfonic acid (PFOS),1510
335-67-1,Perfluorooctanoic acid (PFOA),1396
4151-50-2,N-Ethylperfluorooctanesulfonamide,1152
375-95-1,Perfluorononanoic acid (PFNA),1124
2058-94-8,Perfluoroundecanoic acid,1123
307-24-4,Perfluorohexanoic acid (PFHxA),1098
335-76-2,Perfluorodecanoic acid (PFDA),1075
754-91-6,Perfluorooctanesulfonamide,1071
375-85-9,Perfluoroheptanoic acid,1038
13252-13-6,GenX / HFPO-DA,506
375-22-4,Perfluorobutanoic acid (PFBA),506
355-46-4,Perfluorohexanesulfonic acid (PFHxS),461
