category,nservices
MentalHealthCare,213
Counseling,192
IndividualCounseling,155
FoodPantry,140
MentalHealthEvaluation,123
NavigatingTheSystem,120
FamilyCounseling,115
AddictionAndRecovery,112
GroupTherapy,107
OutpatientTreatment,106
SubstanceAbuseCounseling,101
UnderstandMentalHealth,62
SupportNetwork,61
TemporaryShelter,59
OneOnOneSupport,54
MedicationsForMentalHealth,54
CaseManagement,46
ResidentialTreatment,44
EmergencyFood,40
MedicalCare,37
SpecializedTherapy,36
MedicationsForAddiction,35
CheckupAndTest,35
DailyLifeSkills,34
SupportGroups,34
HealthEducation,32
PeerSupport,30
PreventAndTreat,29
Clothing,27
PsychiatricEmergencyServices,26
MedicationManagement,24
SkillsAndTraining,24
CommunitySupportServices,23
Meals,20
PrimaryCare,18
ParentingEducation,18
ShortTermHousing,18
Recreation,17
SexualAndReproductiveHealth,17
VirtualSupport,16
SpiritualSupport,16
NutritionEducation,15
AdvocacyAndLegalAid,15
Detox,14
Bereavement,14
DiseaseScreening,13
HelpFindWork,13
MoreEducation,12
AngerManagement,12
HivTreatment,12
InHomeSupport,12
StdStiTreatmentAndPrevention,12
PersonalCareItems,12
DiseaseManagement,12
FinancialEducation,11
Vaccinations,11
ResidentialHousing,10
SoberLiving,10
FamilyPlanning,10
HelpFindHousing,8
HelpHotlines,8
ExerciseAndFitness,8
SafeHousing,8
Mentoring,8
HospitalTreatment,8
SkilledNursing,7
DisabilityScreening,6
DrugTesting,6
WeatherRelief,6
SexEducation,6
PhysicalTherapy,6
UnderstandDisability,6
WomensHealth,5
PersonalHygiene,5
ResidentialCare,5
MaternityCare,5
PeerRecoveryCoaching,5
ComputerOrInternetAccess,5
AssistiveTechnology,5
FinancialAssistance,5
HelpFillOutForms,5
GovernmentBenefits,5
PrescriptionAssistance,4
DentalCare,4
HelpFindSchool,4
DiapersAndFormula,4
HelpPayForHousing,4
OccupationalTherapy,4
ToysAndGifts,4
Tutoring,4
HousingAdvice,4
AfterSchoolCare,4
ResumeDevelopment,3
EmergencyPayments,3
SpeechTherapy,3
DayCamp,3
ComputerClass,3
LongTermHousing,3
CollegeReadiness,3
SupportedEmployment,3
Books,3
BabySupplies,3
YouthDevelopment,3
JobPlacement,3
FoodDelivery,3
PostnatalCare,3
HearingTests,3
UnderstandGovernmentPrograms,2
Childcare,2
HelpPayForUtilities,2
HomeGoods,2
SubstanceAbuse,2
OvernightCamp,2
BirthControl,2
BasicLiteracy,2
ScreeningAndExams,2
ImmediateSafety,2
GedHighSchoolEquivalency,2
SafetyEducation,2
DisasterResponse,2
AdoptionAndFosterCare,2
DiscountedHealthcare,2
Fertility,2
VisionCare,2
InterviewTraining,2
12Step,1
BurialAndFuneralHelp,1
TaxPreparation,1
HomeVisiting,1
TranslationAndInterpretation,1
Transportation,1
TransportationForHealthcare,1
Treatment,1
Hospice,1
HelpPayForSchool,1
CounselingMedicalCare,1
PregnancyTests,1
Prostheses,1
EndOfLifeCare,1
ReliefForCaregivers,1
Representation,1
DisabilityBenefits,1
HelpFindChildcare,1
HelpFindHealthcare,1
SupportAndServiceAnimals,1
CounselingCounseling,1
SkillsAssessment,1
PainManagement,1
SpecializedTraining,1
Outpatient,1
CommunityGardens,1
CitizenshipAndImmigration,1
SuppliesForSchool,1
