fips,enforce_records
01003,2
01015,1
01017,1
01033,4
01059,1
01071,6
01073,5
01077,2
01085,1
01089,1
01097,8
01099,2
01103,1
01117,1
01119,1
01125,5
01133,2
04001,526
04003,228
04005,336
04007,197
04009,56
04011,26
04012,98
04013,2396
04015,300
04017,402
04019,673
04021,357
04023,99
04025,269
04027,313
05001,98
05003,79
05005,93
05007,587
05009,76
05011,59
05013,18
05015,80
05017,33
05019,100
05021,59
05023,85
05025,11
05027,149
05029,81
05031,293
05033,145
05035,178
05037,67
05039,45
05041,64
05043,43
05045,298
05047,79
05049,33
05051,255
05053,44
05055,118
05057,132
05059,123
05061,53
05063,146
05065,35
05067,75
05069,251
05071,83
05073,22
05075,62
05077,30
05079,19
05081,65
05083,45
05085,186
05087,36
05089,43
05091,153
05093,227
05095,29
05097,33
05099,38
05101,15
05103,174
05105,32
05107,103
05109,43
05111,74
05113,61
05115,153
05117,32
05119,1241
05121,59
05123,96
05125,313
05127,31
05129,33
05131,417
05133,47
05135,48
05137,35
05139,568
05141,55
05143,521
05145,206
05147,38
05149,62
06001,839
06003,2
06005,22
06007,75
06009,9
06011,21
06013,519
06015,50
06017,72
06019,468
06021,18
06023,172
06025,122
06027,8
06029,299
06031,83
06033,50
06035,13
06037,3385
06039,44
06041,101
06043,8
06045,105
06047,87
06049,15
06051,9
06053,127
06055,33
06057,29
06059,880
06061,101
06063,6
06065,385
06067,374
06069,7
06071,511
06073,918
06075,443
06077,296
06079,88
06081,291
06083,161
06085,562
06087,45
06089,55
06093,13
06095,140
06097,162
06099,234
06101,27
06103,31
06105,3
06107,200
06109,21
06111,213
06113,105
06115,23
08001,1766
08003,131
08005,1308
08007,88
08009,116
08011,47
08013,982
08014,145
08015,206
08017,37
08019,113
08021,46
08023,25
08025,29
08027,27
08029,239
08031,2620
08033,43
08035,582
08037,234
08039,170
08041,1566
08043,350
08045,465
08047,37
08049,154
08051,140
08053,12
08055,59
08057,52
08059,1533
08061,57
08063,179
08065,96
08067,610
08069,1187
08071,114
08073,87
08075,289
08077,675
08079,19
08081,159
08083,267
08085,271
08087,383
08089,253
08091,42
08093,69
08095,118
08097,180
08099,203
08101,543
08103,164
08105,151
08107,235
08109,106
08111,15
08113,82
08115,83
08117,159
08119,73
08121,93
08123,1514
08125,287
09001,1639
09003,2174
09005,517
09007,443
09009,2018
09011,704
09013,313
09015,336
10001,376
10003,1267
10005,590
11001,2025
12001,535
12003,44
12005,687
12007,62
12009,1592
12011,2436
12013,45
12015,312
12017,158
12019,404
12021,650
12023,100
12027,77
12029,37
12031,2811
12033,840
12035,245
12037,92
12039,154
12041,45
12043,71
12045,60
12047,45
12049,79
12051,104
12053,362
12055,173
12057,3389
12059,41
12061,717
12063,126
12065,39
12067,25
12069,638
12071,2221
12073,669
12075,81
12077,23
12079,55
12081,850
12083,739
12085,480
12086,2327
12087,232
12089,224
12091,545
12093,146
12095,3539
12097,740
12099,2267
12101,958
12103,1588
12105,1899
12107,161
12109,626
12111,648
12113,422
12115,1142
12117,982
12119,179
12121,94
12123,60
12125,24
12127,1196
12129,73
12131,380
12133,192
13001,26
13003,13
13005,18
13007,10
13009,42
13011,33
13013,245
13015,383
13017,33
13019,25
13021,317
13023,10
13025,10
13027,18
13029,46
13031,73
13033,61
13035,42
13037,20
13039,106
13043,9
13045,177
13047,1466
13049,18
13051,789
13053,73
13055,31
13057,721
13059,224
13061,9
13063,428
13065,19
13067,1196
13069,50
13071,52
13073,967
13075,78
13077,601
13079,20
13081,63
13083,22
13085,95
13087,28
13089,778
13091,26
13093,46
13095,165
13097,260
13099,25
13101,2
13103,42
13105,23
13107,42
13109,25
13111,39
13113,237
13115,183
13117,1194
13119,59
13121,2483
13123,36
13125,3
13127,213
13129,127
13131,18
13133,121
13135,1887
13137,86
13139,654
13141,6
13143,47
13145,224
13147,52
13149,14
13151,907
13153,155
13155,15
13157,440
13159,25
13161,16
13163,26
13165,6
13167,2
13169,41
13171,36
13173,4
13175,74
13177,42
13179,111
13181,11
13183,15
13185,740
13187,52
13189,36
13191,20
13193,46
13195,49
13197,15
13199,35
13201,11
13205,45
13207,47
13209,10
13211,48
13213,48
13215,756
13217,230
13219,82
13221,16
13223,557
13225,70
13227,51
13229,27
13231,38
13233,67
13235,13
13237,54
13239,1
13241,67
13243,15
13245,583
13247,202
13249,13
13251,17
13253,15
13255,125
13257,50
13259,10
13261,36
13263,16
13265,6
13267,36
13269,7
13271,21
13273,25
13275,91
13277,78
13279,33
13281,27
13283,11
13285,126
13287,26
13289,15
13291,90
13293,28
13295,67
13297,149
13299,46
13301,15
13303,53
13305,43
13307,2
13309,3
13311,76
13313,243
13315,13
13317,13
13319,42
13321,15
16001,902
16003,22
16005,293
16007,25
16009,92
16011,159
16013,77
16015,50
16017,157
16019,216
16021,45
16023,39
16025,6
16027,452
16029,105
16031,116
16033,6
16035,63
16037,47
16039,98
16041,36
16043,51
16045,44
16047,106
16049,118
16051,29
16053,70
16055,342
16057,74
16059,44
16061,94
16063,13
16065,49
16067,64
16069,212
16071,16
16073,121
16075,70
16077,120
16079,160
16081,57
16083,308
16085,82
16087,42
17001,192
17003,36
17005,60
17007,89
17009,17
17011,160
17013,9
17015,71
17017,45
17019,263
17021,122
17023,67
17025,71
17027,163
17029,131
17031,6281
17033,65
17035,28
17037,210
17039,57
17041,80
17043,1272
17045,61
17047,27
17049,119
17051,85
17053,63
17055,80
17057,121
17059,25
17061,47
17063,160
17065,23
17067,69
17069,23
17071,23
17073,153
17075,111
17077,137
17079,41
17081,104
17083,32
17085,106
17087,21
17089,664
17091,287
17093,114
17095,108
17097,976
17099,439
17101,81
17103,119
17105,135
17107,104
17109,87
17111,397
17113,245
17115,309
17117,107
17119,631
17121,160
17123,47
17125,43
17127,37
17129,37
17131,41
17133,56
17135,122
17137,97
17139,42
17141,166
17143,335
17145,38
17147,45
17149,83
17151,7
17153,43
17155,36
17157,114
17159,39
17161,357
17163,572
17165,61
17167,353
17169,11
17171,19
17173,73
17175,26
17177,136
17179,251
17181,39
17183,237
17185,33
17187,55
17189,77
17191,53
17193,70
17195,186
17197,942
17199,130
17201,531
17203,93
18001,48
18003,441
18005,134
18007,30
18009,39
18011,113
18013,15
18015,66
18017,74
18019,187
18021,50
18023,64
18025,17
18027,86
18029,92
18031,64
18033,105
18035,169
18037,119
18039,368
18041,19
18043,91
18045,60
18047,30
18049,48
18051,105
18053,110
18055,48
18057,251
18059,123
18061,64
18063,146
18065,62
18067,151
18069,113
18071,94
18073,121
18075,94
18077,53
18079,35
18081,124
18083,75
18085,207
18087,61
18089,1184
18091,342
18093,62
18095,189
18097,1154
18099,123
18101,34
18103,92
18105,127
18107,149
18109,85
18111,39
18113,128
18115,6
18117,30
18119,27
18121,32
18123,29
18125,49
18127,304
18129,123
18131,39
18133,94
18135,85
18137,70
18139,75
18141,379
18143,36
18145,100
18147,49
18149,46
18151,72
18153,52
18155,9
18157,263
18159,58
18161,30
18163,225
18165,57
18167,199
18169,122
18171,37
18173,79
18175,45
18177,145
18179,57
18181,95
18183,61
19001,76
19003,44
19005,86
19007,83
19009,48
19011,117
19013,466
19015,127
19017,148
19019,118
19021,148
19023,137
19025,111
19027,174
19029,113
19031,122
19033,213
19035,111
19037,121
19039,54
19041,113
19043,87
19045,249
19047,109
19049,208
19051,61
19053,55
19055,117
19057,221
19059,78
19061,378
19063,70
19065,158
19067,97
19069,155
19071,60
19073,92
19075,78
19077,67
19079,171
19081,133
19083,289
19085,82
19087,116
19089,60
19091,85
19093,55
19095,116
19097,98
