fips,water_features
01000,8
01001,163
01003,579
01005,199
01007,244
01009,424
01011,146
01013,144
01015,466
01017,189
01019,295
01021,197
01023,301
01025,282
01027,203
01029,175
01031,270
01033,490
01035,130
01037,182
01039,273
01041,207
01043,315
01045,174
01047,248
01049,479
01051,245
01053,207
01055,389
01057,140
01059,447
01061,214
01063,317
01065,204
01067,151
01069,246
01071,849
01073,1183
01075,117
01077,563
01079,439
01081,233
01083,365
01085,171
01087,120
01089,628
01091,232
01093,234
01095,488
01097,640
01099,185
01101,393
01103,532
01105,138
01107,239
01109,244
01111,239
01113,161
01115,360
01117,524
01119,268
01121,468
01123,249
01125,840
01127,482
01129,312
01131,206
01133,247
02000,39
02013,844
02016,2609
02020,348
02050,1076
02060,51
02063,1240
02066,1015
02068,528
02070,431
02090,534
02100,228
02105,1040
02110,574
02122,1632
02130,808
02150,1079
02158,485
02164,726
02170,1507
02180,2050
02185,1476
02188,932
02195,553
02198,1589
02220,1040
02230,71
02240,1013
02275,401
02282,440
02290,3562
04000,4
04001,2357
04003,1328
04005,5750
04007,2876
04009,1427
04011,1487
04012,334
04013,1844
04015,2287
04017,2215
04019,1725
04021,1102
04023,709
04025,3724
04027,514
05001,419
05003,221
05005,276
05007,429
05009,294
05011,229
05013,184
05015,347
05017,197
05019,214
05021,220
05023,362
05025,145
05027,202
05029,230
05031,286
05033,272
05035,328
05037,201
05039,141
05041,306
05043,183
05045,328
05047,278
05049,228
05051,247
05053,175
05055,209
05057,202
05059,171
05061,228
05063,461
05065,296
05067,228
05069,367
05071,285
05073,104
05075,244
05077,214
05079,170
05081,171
05083,304
05085,291
05087,361
05089,396
05091,201
05093,486
05095,235
05097,319
05099,153
05101,476
05103,196
05105,261
05107,246
05109,225
05111,281
05113,281
05115,372
05117,272
05119,553
05121,349
05123,270
05125,284
05127,348
05129,395
05131,231
05133,182
05135,316
05137,460
05139,266
05141,343
05143,385
05145,512
05147,200
05149,426
06001,465
06003,391
06005,270
06007,736
06009,514
06011,349
06013,560
06015,402
06017,1092
06019,2110
06021,315
06023,1922
06025,1163
06027,1334
06029,1519
06031,322
06033,811
06035,1089
06037,2389
06039,682
06041,644
06043,666
06045,1758
06047,513
06049,1011
06051,869
06053,1135
06055,433
06057,718
06059,633
06061,877
06063,1194
06065,1352
06067,316
06069,384
06071,2096
06073,1759
06075,224
06077,351
06079,938
06081,517
06083,1047
06085,714
06087,451
06089,1613
06091,521
06093,2548
06095,331
06097,1051
06099,427
06101,167
06103,1009
06105,1644
06107,1824
06109,1075
06111,725
06113,330
06115,317
08000,1
08001,227
08003,91
08005,192
08007,457
08009,127
08011,156
08013,726
08014,24
08015,465
08017,45
08019,300
08021,371
08023,210
08025,85
08027,325
08029,597
08031,58
08033,592
08035,333
08037,823
08039,148
08041,401
08043,531
08045,972
08047,174
08049,712
08051,1185
08053,396
08055,462
08057,820
08059,595
08061,54
08063,38
08065,242
08067,689
08069,1207
08071,899
08073,94
08075,182
08077,994
08079,281
08081,839
08083,616
08085,615
08087,141
08089,183
08091,278
08093,677
08095,19
08097,389
08099,118
08101,374
08103,797
08105,283
08107,673
08109,847
08111,303
08113,440
08115,28
08117,399
08119,200
08121,59
08123,562
08125,84
09110,1125
09120,241
09130,775
09140,608
09150,658
09160,871
09170,749
09180,989
09190,1075
10000,8
10001,678
10003,1040
10005,1209
11000,81
11001,327
12000,12
12001,255
12003,96
12005,347
12007,49
12009,408
12011,356
12013,205
12015,235
12017,243
12019,183
12021,462
12023,125
12027,71
12029,164
12031,588
12033,327
12035,90
12037,256
12039,141
12041,101
12043,82
12045,147
12047,108
12049,88
12051,76
12053,248
12055,170
12057,4071
12059,327
12061,142
12063,355
12065,164
12067,119
12069,647
12071,456
12073,244
12075,337
12077,268
12079,131
12081,278
12083,415
12085,131
12086,648
12087,982
12089,132
12091,386
12093,103
12095,586
12097,236
12099,309
12101,363
12103,428
12105,601
12107,395
12109,229
12111,118
12113,432
12115,199
12117,349
12119,184
12121,118
12123,190
12125,42
12127,575
12129,247
12131,475
12133,456
13001,55
13003,55
13005,34
13007,92
13009,103
13011,77
13013,56
13015,250
13017,48
13019,72
13021,228
13023,50
13025,154
13027,101
13029,95
13031,239
13033,214
13035,65
13037,59
13039,359
13043,55
13045,232
13047,138
13049,205
13051,442
13053,179
13055,125
13057,281
13059,161
13061,54
13063,298
13065,167
13067,416
13069,96
13071,100
13073,213
13075,69
13077,224
13079,72
13081,57
13083,148
13085,76
13087,110
13089,330
13091,96
13093,73
13095,188
13097,251
13099,103
13101,85
13103,134
13105,107
13107,142
13109,84
13111,466
13113,291
13115,309
13117,107
13119,92
13121,454
13123,326
13125,43
13127,336
13129,168
13131,101
13133,97
13135,379
13137,209
13139,332
13141,89
13143,99
13145,201
13147,83
13149,94
13151,193
13153,163
13155,147
13157,108
13159,112
13161,50
13163,133
13165,76
13167,67
13169,124
13171,79
13173,52
13175,204
13177,73
13179,154
13181,79
13183,101
13185,178
13187,220
13189,89
13191,295
13193,74
13195,137
13197,56
13199,176
13201,45
13205,67
13207,105
13209,46
13211,115
13213,156
13215,294
13217,208
13219,134
13221,93
13223,277
13225,51
13227,134
13229,51
13231,84
13233,132
13235,52
13237,108
13239,29
13241,519
13243,102
13245,258
13247,96
13249,35
13251,182
13253,44
13255,81
13257,108
13259,101
13261,112
13263,107
13265,48
13267,111
13269,73
13271,80
13273,66
13275,128
13277,99
13279,72
13281,401
13283,64
13285,215
13287,81
13289,74
13291,601
