fips,disease,prevalence,nplaces
01001,arteriosclerosis,32.5,4
01003,arteriosclerosis,32.05,15
01005,arteriosclerosis,34.08,6
01007,arteriosclerosis,33.87,3
01009,arteriosclerosis,34.43,12
01011,arteriosclerosis,32.8,3
01013,arteriosclerosis,33.8,2
01015,arteriosclerosis,33.17,11
01017,arteriosclerosis,33.28,10
01019,arteriosclerosis,33.6,6
01021,arteriosclerosis,33.83,4
01023,arteriosclerosis,33.72,5
01025,arteriosclerosis,32.91,7
01027,arteriosclerosis,33.94,5
01029,arteriosclerosis,33.64,5
01031,arteriosclerosis,31.17,3
01033,arteriosclerosis,33.13,6
01035,arteriosclerosis,33.17,3
01037,arteriosclerosis,32.8,8
01039,arteriosclerosis,32.18,14
01041,arteriosclerosis,33.62,6
01043,arteriosclerosis,33.45,11
01045,arteriosclerosis,34.36,10
01047,arteriosclerosis,32.58,4
01049,arteriosclerosis,34.4,15
01051,arteriosclerosis,31.23,9
01053,arteriosclerosis,31.95,6
01055,arteriosclerosis,33.26,18
01057,arteriosclerosis,33.47,3
01059,arteriosclerosis,33.27,7
01061,arteriosclerosis,34.65,8
01063,arteriosclerosis,33.12,4
01065,arteriosclerosis,32.73,3
01067,arteriosclerosis,32.95,4
01069,arteriosclerosis,31.95,10
01071,arteriosclerosis,33.91,13
01073,arteriosclerosis,32.35,35
01075,arteriosclerosis,33.25,6
01077,arteriosclerosis,34.17,8
01079,arteriosclerosis,32.35,6
01081,arteriosclerosis,30.48,4
01083,arteriosclerosis,33.42,4
01085,arteriosclerosis,31.9,6
01087,arteriosclerosis,31.8,3
01089,arteriosclerosis,31.84,9
01091,arteriosclerosis,33.51,9
01093,arteriosclerosis,34.08,6
01095,arteriosclerosis,33.18,5
01097,arteriosclerosis,34.01,17
01099,arteriosclerosis,33.92,8
01101,arteriosclerosis,30.5,2
01103,arteriosclerosis,33.75,6
01105,arteriosclerosis,33.65,2
01107,arteriosclerosis,32.13,7
01109,arteriosclerosis,32.7,4
01111,arteriosclerosis,32.25,6
01113,arteriosclerosis,33.35,2
01115,arteriosclerosis,33.99,9
01117,arteriosclerosis,32.49,19
01119,arteriosclerosis,32.91,9
01121,arteriosclerosis,34.05,11
01123,arteriosclerosis,34.34,9
01125,arteriosclerosis,34.17,7
01127,arteriosclerosis,32.66,9
01129,arteriosclerosis,33.35,11
01131,arteriosclerosis,33.02,5
