offense,charges
All Other Offenses,1621489
Simple Assault,177758
Drug/Narcotic Violations,86454
Driving Under the Influence,72809
Trespass of Real Property,63407
Drug/Narcotic Offenses,44407
Weapon Law Violations,44087
Disorderly Conduct,43084
False Pretenses/Swindle/Confidence Game,40631
Aggravated Assault,34298
Shoplifting,32049
Larceny/Theft Offenses,31704
"Family Offenses, Nonviolent",28615
DRUG OFFENSES,22575
DRUG/NARCOTIC OFFENSES,22575
ASSAULT OFFENSES,21465
Stolen Property Offenses,21435
Counterfeiting/Forgery,21431
ASSAULT MINOR,20659
Liquor Law Violations,20598
LARCENY/THEFT OFFENSES,19642
LARCENY,19642
All Other Larceny,17274
Curfew/Loitering/Vagrancy Violations,13445
Burglary,13293
Sex Offenses,11072
Motor Vehicle Theft,10962
Flight to Avoid Prosecution,10634
Drug Equipment Violations,10536
Robbery,10100
Intimidation,10077
Destruction/Damage/Vandalism of Property,9251
Kidnapping/Abduction,8931
Credit Card/Automated Teller Machine Fraud,7228
Fraud Offenses,5369
Impersonation,4503
ROBBERY,4254
Murder and Nonnegligent Manslaughter,3288
BURGLARY/BREAKING AND ENTERING,3043
BURGLARY,3043
Animal Cruelty,2755
Rape,2509
Assisting or Promoting Prostitution,1678
Prostitution,1474
DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,1007
DAMAGE PROPERTY,1005
COUNTERFEITING/FORGERY,977
FORGERY,906
FRAUD OFFENSES,771
FRAUD,750
SEX OFFENSES,735
Homicide Offenses,726
Operating/Promoting/Assisting Gambling,694
Arson,633
RAPE,522
Betting/Wagering,475
ALL OTHER OFFENSES ,423
ALL OTHER OFFENSES,379
CRUELTY TO CHILDREN VIOLENT,327
Incest,325
TAX LAW VIOLATIONS,305
AFFRAY,271
DISORDERLY CONDUCT,244
PROBATION VIOLATION,202
CHILD MOLESTING,193
Pornography/Obscene Material,177
Gambling Equipment Violations,162
CRUELTY TO CHILDREN NONVIOLENT,136
Negligent Manslaughter,128
FAILURE TO APPEAR*,118
"Human Trafficking, Involuntary Servitude",114
Hacking/Computer Invasion,104
Bribery,97
SCALPING TICKET(S),80
STALKING,72
COUNTERFEITING,71
CONSPIRACY TO COMMIT,35
CRUELTY TO ANIMALs,35
ANIMAL CRUELTY,35
KIDNAPPING/ABDUCTION,34
PARENTAL KIDNAPPING,34
ARSON,33
DRIVING UNDER THE INFLUENCE,30
UNLAWFUL ASSEMBLY,26
CURFEW/LOITERING/VAGRANCY VIOLATIONS,26
DRIVING WHILE INTOXICATED (DWI),26
Assault Offenses,25
PEEPING TOM,24
Extortion/Blackmail,23
COMPUTER CRIME,21
CONTEMPT OF COURT,20
Identity Theft,20
PAROLE VIOLATION,15
PROSTITUTION OFFENSES,11
INCEST,11
CHILD NEGLECT,10
"FAMILY OFFENSES, NONVIOLENT",10
SODOMY,9
HOMICIDE OFFENSES,7
HOMICIDE,7
PIMPING,6
PANDERING,5
DRIVING UNDER THE INFLUENCE (DUI),4
Gambling Offenses,2
VANDALISM,2
INVASION OF PRIVACY,1
OBSCENE MATERIAL,1
CRIMINAL DEFAMATION,1
OBSCENE TELEPHONE CALL,1
PORNOGRAPHY/OBSCENE MATERIAL,1
BRIBERY,1
