fips,indicator,value
01001,food_insecurity,14.5
01003,food_insecurity,12.4
01005,food_insecurity,19.5
01007,food_insecurity,16.4
01009,food_insecurity,13.8
01011,food_insecurity,16.0
01013,food_insecurity,16.3
01015,food_insecurity,16.1
01017,food_insecurity,15.1
01019,food_insecurity,14.2
01021,food_insecurity,15.9
01023,food_insecurity,16.9
01025,food_insecurity,19.1
01027,food_insecurity,14.7
01029,food_insecurity,16.1
01031,food_insecurity,14.6
01033,food_insecurity,15.9
01035,food_insecurity,16.0
01037,food_insecurity,14.0
01039,food_insecurity,16.4
01041,food_insecurity,15.2
01043,food_insecurity,14.7
01045,food_insecurity,17.1
01047,food_insecurity,20.3
01049,food_insecurity,16.0
01051,food_insecurity,12.5
01053,food_insecurity,18.2
01055,food_insecurity,16.3
01057,food_insecurity,17.8
01059,food_insecurity,14.9
01061,food_insecurity,18.4
01063,food_insecurity,22.3
01065,food_insecurity,19.2
01067,food_insecurity,13.7
01069,food_insecurity,15.3
01071,food_insecurity,16.8
01073,food_insecurity,14.1
01075,food_insecurity,17.1
01077,food_insecurity,14.0
01079,food_insecurity,16.3
01081,food_insecurity,14.1
01083,food_insecurity,12.9
01085,food_insecurity,20.1
01087,food_insecurity,16.4
01089,food_insecurity,11.9
01091,food_insecurity,17.0
01093,food_insecurity,17.7
01095,food_insecurity,15.2
01097,food_insecurity,15.7
01099,food_insecurity,18.3
01101,food_insecurity,15.7
01103,food_insecurity,14.2
01105,food_insecurity,22.9
01107,food_insecurity,18.5
01109,food_insecurity,15.1
01111,food_insecurity,15.1
01113,food_insecurity,16.8
01115,food_insecurity,13.1
01117,food_insecurity,9.6
01119,food_insecurity,18.7
01121,food_insecurity,16.5
01123,food_insecurity,15.9
01125,food_insecurity,14.3
01127,food_insecurity,17.3
01129,food_insecurity,15.0
01131,food_insecurity,21.5
01133,food_insecurity,17.0
02013,food_insecurity,9.8
02016,food_insecurity,10.1
02020,food_insecurity,10.0
02050,food_insecurity,20.4
02060,food_insecurity,10.8
02068,food_insecurity,16.2
02070,food_insecurity,14.6
02090,food_insecurity,9.2
02100,food_insecurity,17.0
02105,food_insecurity,14.1
02110,food_insecurity,9.3
02122,food_insecurity,12.8
02130,food_insecurity,12.2
02150,food_insecurity,9.9
02164,food_insecurity,15.0
02170,food_insecurity,11.1
02180,food_insecurity,16.9
02185,food_insecurity,11.0
02188,food_insecurity,18.2
02195,food_insecurity,11.1
02198,food_insecurity,16.5
02220,food_insecurity,10.0
02230,food_insecurity,16.7
02240,food_insecurity,12.0
02261,food_insecurity,10.0
02275,food_insecurity,11.1
02282,food_insecurity,10.3
02290,food_insecurity,18.5
04001,food_insecurity,22.6
04003,food_insecurity,12.6
04005,food_insecurity,14.6
04007,food_insecurity,15.9
04009,food_insecurity,13.8
04011,food_insecurity,10.8
04012,food_insecurity,17.5
04013,food_insecurity,11.0
04015,food_insecurity,16.4
04017,food_insecurity,19.2
04019,food_insecurity,12.6
04021,food_insecurity,11.1
04023,food_insecurity,14.0
04025,food_insecurity,13.0
04027,food_insecurity,16.2
05001,food_insecurity,14.7
05003,food_insecurity,16.7
05005,food_insecurity,15.7
05007,food_insecurity,10.7
05009,food_insecurity,15.4
05011,food_insecurity,14.9
05013,food_insecurity,13.0
05015,food_insecurity,14.0
05017,food_insecurity,20.7
05019,food_insecurity,16.9
05021,food_insecurity,18.8
05023,food_insecurity,16.1
05025,food_insecurity,14.6
05027,food_insecurity,17.4
05029,food_insecurity,18.0
05031,food_insecurity,16.0
