fips,n_case
01001,73
01003,8
01005,167
01007,108
01009,36
01011,119
01013,27
01015,245
01017,34
01019,22
01021,33
01023,2
01025,6
01027,30
01029,12
01031,36
01033,59
01035,1
01037,21
01039,39
01041,6
01043,61
01045,66
01047,22
01049,47
01051,179
01053,64
01055,449
01057,10
01059,20
01061,22
01063,12
01065,6
01067,18
01069,139
01071,33
01073,1657
01075,10
01077,74
01079,22
01081,123
01083,106
01085,9
01087,26
01089,590
01091,6
01093,32
01095,64
01097,1680
01099,2
01101,627
01103,116
01105,2
01107,66
01109,33
01111,15
01113,56
01115,134
01117,160
01119,14
01121,226
01123,54
01125,344
01127,138
01131,3
01133,24
04001,121
04003,1015
04005,251
04007,67
04009,38
04011,4
04012,66
04013,6014
04015,315
04017,253
04019,3117
04021,1395
04023,1419
04025,185
04027,1107
05001,95
05003,32
05005,108
05007,284
05009,75
05011,8
05013,1
05015,33
05017,72
05019,27
05021,23
05023,22
05025,4
05027,28
05029,20
05031,209
05033,141
05035,90
05037,42
05039,17
05041,18
05043,15
05045,221
05047,30
05049,26
05051,211
05053,14
05055,71
05057,44
05059,100
05061,13
05063,28
05065,97
05067,156
05069,317
05071,49
05073,11
05075,35
05077,166
05079,292
05081,20
05083,31
05085,69
05087,15
05089,35
05091,144
05093,135
05095,20
05097,10
05099,24
05101,12
05103,40
05105,11
05107,51
05109,5
05111,133
05113,21
05115,82
05117,5
05119,919
05121,31
05123,237
05125,125
05127,14
05129,11
05131,285
05133,23
05135,37
05137,17
05139,86
05141,29
05143,405
05145,78
05147,15
05149,28
06001,2982
06003,3
06005,231
06007,124
06009,18
06011,16
06013,887
06015,156
06017,84
06019,1553
06021,13
06023,126
06025,346
06027,24
06029,1289
06031,695
06033,61
06035,226
06037,15439
06039,261
06041,779
06043,9
06045,79
06047,201
06049,7
06051,2
06053,687
06055,148
06057,48
06059,3912
06061,178
06063,10
06065,2530
06067,3908
06069,34
06071,2656
06073,11752
06075,1868
06077,555
06079,393
06081,444
06083,408
06085,2274
06087,137
06089,141
06091,1
06093,24
06095,749
06097,303
06099,278
06101,24
06103,30
06105,10
06107,331
06109,77
06111,680
06113,67
06115,40
08001,366
08003,15
08005,649
08007,9
08009,4
08011,21
08013,218
08014,33
08015,55
08017,1
08019,8
08021,8
08023,6
08025,64
08027,6
08029,21
08031,1503
08033,1
08035,209
08037,28
08039,12
08041,625
08043,416
08045,32
08047,6
08049,5
08051,12
08055,11
08057,1
08059,482
08061,1
08063,5
08065,6
08067,49
08069,139
08071,39
08073,35
08075,99
08077,109
08079,1
08081,5
08083,34
08085,24
08087,12
08089,12
08091,4
08093,16
08095,2
08097,34
08099,11
08101,242
08103,8
08105,12
08107,8
08109,2
08113,14
08117,15
08119,15
08121,5
08123,173
08125,4
10001,74
10003,2513
10005,39
11001,3410
12001,803
12003,54
12005,350
12007,57
12009,766
12011,5753
12013,47
12015,130
12017,133
12019,125
12021,277
12023,146
12027,95
12029,28
12031,1707
12033,782
12035,100
12037,68
12039,104
12041,24
12043,27
12045,59
12047,70
12049,20
12051,25
12053,168
12055,100
12057,3562
12059,37
12061,194
12063,211
12065,35
12067,17
12069,308
12071,919
12073,899
12075,68
12077,32
12079,56
12081,292
12083,501
12085,310
12086,10387
12087,260
12089,78
12091,175
12093,66
12095,1871
12097,364
12099,3458
12101,502
12103,1332
12105,660
12107,67
12109,166
12111,473
12113,267
12115,398
