stateName,mean_consensus,n_high,n
Alabama,1.7313432835820894,20,67
Alaska,1.2413793103448276,6,29
Arizona,1.8666666666666667,4,15
Arkansas,1.8,23,75
California,2.4482758620689653,26,58
Colorado,0.609375,1,64
Connecticut,0.625,0,8
Delaware,2.3333333333333335,1,3
District of Columbia,3.0,1,1
Florida,1.537313432835821,12,67
Georgia,1.5949367088607596,32,158
Hawaii,0.25,0,4
Idaho,0.6590909090909091,0,44
Illinois,0.7156862745098039,7,102
Indiana,0.6086956521739131,1,92
Iowa,0.23232323232323232,0,99
Kansas,0.6190476190476191,0,105
Kentucky,1.7333333333333334,29,120
Louisiana,3.171875,46,64
Maine,1.1875,1,16
Maryland,1.0,2,24
Massachusetts,1.1428571428571428,1,14
Michigan,0.927710843373494,8,83
Minnesota,1.0574712643678161,2,87
Mississippi,2.658536585365854,51,82
Missouri,0.9478260869565217,14,115
Montana,0.5892857142857143,5,56
Nebraska,0.25806451612903225,0,93
Nevada,0.5294117647058824,1,17
New Hampshire,0.8,0,10
New Jersey,2.761904761904762,14,21
New Mexico,1.34375,5,32
New York,0.8548387096774194,0,62
North Carolina,1.3434343434343434,19,99
North Dakota,0.3018867924528302,3,53
Ohio,1.2727272727272727,11,88
Oklahoma,2.4155844155844157,32,77
Oregon,1.3611111111111112,4,36
Pennsylvania,1.492537313432836,13,67
Rhode Island,1.6,0,5
South Carolina,2.1739130434782608,20,46
South Dakota,0.42424242424242425,3,66
Tennessee,1.0851063829787233,7,94
Texas,1.3794466403162056,41,253
Utah,0.5862068965517241,0,29
Vermont,0.2857142857142857,0,14
Virginia,0.6793893129770993,9,131
Washington,0.9230769230769231,1,39
West Virginia,1.7636363636363637,11,55
Wisconsin,0.8611111111111112,4,72
Wyoming,1.608695652173913,4,23
