fips,label,stateName,consensus,tier,env_burden,soc_burden,service_scarce,burden_index,mismatch_index
26163,Wayne County,Michigan,6.0,A (very high),3.0,3.0,0.0,1.3075906413929137,-1.1281053624817363
22017,Caddo Parish,Louisiana,6.0,A (very high),3.0,3.0,0.0,1.149203886015669,0.93363850047744
29510,St. Louis city,Missouri,5.0,A (very high),2.0,3.0,0.0,1.2895561548969023,0.263813657126182
24510,Baltimore city,Maryland,5.0,A (very high),2.0,3.0,0.0,1.287400681851867,-1.6020711998063677
05139,Union County,Arkansas,5.0,A (very high),3.0,2.0,0.0,1.187170409093173,0.8879935774430852
01005,Barbour County,Alabama,5.0,A (very high),2.0,3.0,1.0,1.0769613251052355,1.9751580535250453
28149,Warren County,Mississippi,5.0,A (very high),2.0,3.0,0.0,1.0513451495355515,0.9280140675077475
28153,Wayne County,Mississippi,5.0,A (very high),2.0,3.0,1.0,1.0309679309795068,1.8162047139716715
40127,Pushmataha County,Oklahoma,5.0,A (very high),2.0,3.0,1.0,0.9571388829840403,2.718511437626957
01091,Marengo County,Alabama,5.0,A (very high),2.0,3.0,0.0,0.9443242864555579,1.4137528600465297
28049,Hinds County,Mississippi,5.0,A (very high),3.0,2.0,0.0,0.9320907660686246,-0.09782536619656579
40063,Hughes County,Oklahoma,5.0,A (very high),3.0,2.0,0.0,0.9115066009573277,1.060106954798333
22119,Webster Parish,Louisiana,5.0,A (very high),3.0,2.0,0.0,0.9106943871741019,1.1342526170977505
22097,St. Landry Parish,Louisiana,5.0,A (very high),2.0,3.0,0.0,0.9029560049338934,0.7177835859491316
22047,Iberville Parish,Louisiana,5.0,A (very high),3.0,2.0,0.0,0.8936252346102926,1.0937890737094387
22013,Bienville Parish,Louisiana,5.0,A (very high),3.0,2.0,1.0,0.884332041197783,2.3499371274443845
22081,Red River Parish,Louisiana,5.0,A (very high),2.0,3.0,1.0,0.8803656613483319,2.3999646186402055
13245,Richmond County,Georgia,5.0,A (very high),3.0,2.0,0.0,0.8754806712385256,0.19180014674017198
12107,Putnam County,Florida,5.0,A (very high),2.0,3.0,1.0,0.8470206306077444,1.6466873862046674
40089,McCurtain County,Oklahoma,5.0,A (very high),2.0,3.0,0.0,0.7928593321234554,1.3835308732120368
47157,Shelby County,Tennessee,5.0,A (very high),2.0,3.0,0.0,0.7833201932126063,-0.4148242859757326
04017,Navajo County,Arizona,5.0,A (very high),2.0,3.0,0.0,0.7523532674805958,0.10136439210893733
22085,Sabine Parish,Louisiana,5.0,A (very high),2.0,3.0,1.0,0.7322060002654971,2.4641471355253963
22101,St. Mary Parish,Louisiana,5.0,A (very high),3.0,2.0,0.0,0.7104199639954328,0.603970432571539
40121,Pittsburg County,Oklahoma,5.0,A (very high),3.0,2.0,0.0,0.6681337936583779,0.35648975544947825
06037,Los Angeles County,California,4.0,B (high),3.0,1.0,0.0,4.52649683218852,-7.10843165181861
48201,Harris County,Texas,4.0,B (high),3.0,1.0,0.0,2.666680968897786,0.3752360964215682
06029,Kern County,California,4.0,B (high),3.0,1.0,0.0,1.7965527024253378,1.14062806490228
28051,Holmes County,Mississippi,4.0,B (high),1.0,3.0,0.0,1.7166481747209588,2.036050662013308
01131,Wilcox County,Alabama,4.0,B (high),1.0,3.0,1.0,1.666013389651884,4.1278386751335585
48245,Jefferson County,Texas,4.0,B (high),3.0,1.0,0.0,1.5987259022562166,1.3705440843873058
28063,Jefferson County,Mississippi,4.0,B (high),1.0,3.0,0.0,1.459812792103193,1.9449543079451068
28027,Coahoma County,Mississippi,4.0,B (high),1.0,3.0,0.0,1.3710505289819395,1.3175381264089416
28151,Washington County,Mississippi,4.0,B (high),1.0,3.0,0.0,1.340264749794662,1.6303685136629549
34013,Essex County,New Jersey,4.0,B (high),3.0,1.0,0.0,1.320152364668122,0.07047865500388117
28125,Sharkey County,Mississippi,4.0,B (high),1.0,3.0,1.0,1.2329543425294174,2.175638965949666
28119,Quitman County,Mississippi,4.0,B (high),1.0,3.0,1.0,1.2017230881334593,3.4527809910149285
28163,Yazoo County,Mississippi,4.0,B (high),1.0,3.0,0.0,1.1524211382963963,1.7111819749440218
06019,Fresno County,California,4.0,B (high),3.0,1.0,0.0,1.1467082852340782,0.014072875241849081
28021,Claiborne County,Mississippi,4.0,B (high),1.0,3.0,1.0,1.1462584592067655,3.007167920570244
