chemical,target,aop_role,disease,doid,mondo,in_oard,aop_structure,assay_activity,expression,disease_assoc,rare_disease,protein_annot,hazard,score
BPA,ESR1,MIE,arteriosclerosis,DOID_2349,MONDO_0002277,0,1,1,1,1,1,1,1,7
BPA,ESR1,MIE,breast cancer,DOID_1612,MONDO_0007254,0,1,1,1,1,1,1,1,7
BPA,ESR1,MIE,breast carcinoma,DOID_3459,MONDO_0004989,0,1,1,1,1,1,1,1,7
BPA,ESR1,MIE,colorectal cancer,DOID_9256,MONDO_0005575,0,1,1,1,1,1,1,1,7
BPA,ESR1,MIE,dermatitis,DOID_2723,MONDO_0002406,0,1,1,1,1,1,1,1,7
BPA,ESR1,MIE,diabetes mellitus,DOID_9351,MONDO_0005015,0,1,1,1,1,1,1,1,7
BPA,ESR1,MIE,endometriosis,DOID_289,MONDO_0005133,0,1,1,1,1,1,1,1,7
BPA,ESR1,MIE,liver cancer,DOID_3571,MONDO_0002691,0,1,1,1,1,1,1,1,7
BPA,ESR1,MIE,liver disease,DOID_409,MONDO_0005154,0,1,1,1,1,1,1,1,7
BPA,ESR1,MIE,lung cancer,DOID_1324,MONDO_0008903,0,1,1,1,1,1,1,1,7
BPA,ESR1,MIE,major depressive disorder,DOID_1470,MONDO_0002009,0,1,1,1,1,1,1,1,7
BPA,ESR1,MIE,migraine,DOID_6364,MONDO_0005277,0,1,1,1,1,1,1,1,7
BPA,ESR1,MIE,nervous system disease,DOID_863,MONDO_0005071,0,1,1,1,1,1,1,1,7
BPA,ESR1,MIE,nutrition disease,DOID_374,MONDO_0005137,0,1,1,1,1,1,1,1,7
BPA,ESR1,MIE,obesity,DOID_9970,MONDO_0011122,0,1,1,1,1,1,1,1,7
BPA,ESR1,MIE,ovarian cancer,DOID_2394,MONDO_0008170,0,1,1,1,1,1,1,1,7
BPA,ESR1,MIE,polycystic ovary syndrome,DOID_11612,MONDO_0008487,0,1,1,1,1,1,1,1,7
BPA,ESR1,MIE,prostate cancer,DOID_10283,MONDO_0008315,1,1,1,1,1,1,1,1,7
BPA,ESR1,MIE,uterine cancer,DOID_363,MONDO_0002715,0,1,1,1,1,1,1,1,7
BPA,ESR2,KE,breast cancer,DOID_1612,MONDO_0007254,0,1,1,1,1,1,1,1,7
BPA,ESR2,KE,endometriosis,DOID_289,MONDO_0005133,0,1,1,1,1,1,1,1,7
BPA,ESR2,KE,major depressive disorder,DOID_1470,MONDO_0002009,0,1,1,1,1,1,1,1,7
BPA,ESR2,KE,psoriasis,DOID_8893,MONDO_0005083,0,1,1,1,1,1,1,1,7
BPA,GATA3,KE,asthma,DOID_2841,MONDO_0004979,0,1,1,1,1,1,1,1,7
BPA,GATA3,KE,breast cancer,DOID_1612,MONDO_0007254,0,1,1,1,1,1,1,1,7
BPA,GATA3,KE,dermatitis,DOID_2723,MONDO_0002406,0,1,1,1,1,1,1,1,7
BPA,GATA3,KE,diabetes mellitus,DOID_9351,MONDO_0005015,0,1,1,1,1,1,1,1,7
BPA,GATA3,KE,epilepsy,DOID_1826,MONDO_0005027,0,1,1,1,1,1,1,1,7
BPA,GATA3,KE,Hodgkin's lymphoma,DOID_8567,MONDO_0004952,0,1,1,1,1,1,1,1,7
BPA,GATA3,KE,lymphoid leukemia,DOID_1037,MONDO_0005402,0,1,1,1,1,1,1,1,7
BPA,GATA3,KE,multiple sclerosis,DOID_2377,MONDO_0005301,0,1,1,1,1,1,1,1,7
BPA,GATA3,KE,psoriasis,DOID_8893,MONDO_0005083,0,1,1,1,1,1,1,1,7
BPA,GATA3,KE,rheumatoid arthritis,DOID_7148,MONDO_0008383,0,1,1,1,1,1,1,1,7
BPS,ESR1,assay/lit,arteriosclerosis,DOID_2349,MONDO_0002277,0,0,1,1,1,1,1,0,5
BPS,ESR1,assay/lit,breast cancer,DOID_1612,MONDO_0007254,0,0,1,1,1,1,1,0,5
BPS,ESR1,assay/lit,breast carcinoma,DOID_3459,MONDO_0004989,0,0,1,1,1,1,1,0,5
BPS,ESR1,assay/lit,colorectal cancer,DOID_9256,MONDO_0005575,0,0,1,1,1,1,1,0,5
BPS,ESR1,assay/lit,dermatitis,DOID_2723,MONDO_0002406,0,0,1,1,1,1,1,0,5
BPS,ESR1,assay/lit,diabetes mellitus,DOID_9351,MONDO_0005015,0,0,1,1,1,1,1,0,5
BPS,ESR1,assay/lit,endometriosis,DOID_289,MONDO_0005133,0,0,1,1,1,1,1,0,5
BPS,ESR1,assay/lit,liver cancer,DOID_3571,MONDO_0002691,0,0,1,1,1,1,1,0,5
BPS,ESR1,assay/lit,liver disease,DOID_409,MONDO_0005154,0,0,1,1,1,1,1,0,5
BPS,ESR1,assay/lit,lung cancer,DOID_1324,MONDO_0008903,0,0,1,1,1,1,1,0,5
BPS,ESR1,assay/lit,major depressive disorder,DOID_1470,MONDO_0002009,0,0,1,1,1,1,1,0,5
BPS,ESR1,assay/lit,migraine,DOID_6364,MONDO_0005277,0,0,1,1,1,1,1,0,5
BPS,ESR1,assay/lit,nervous system disease,DOID_863,MONDO_0005071,0,0,1,1,1,1,1,0,5
BPS,ESR1,assay/lit,nutrition disease,DOID_374,MONDO_0005137,0,0,1,1,1,1,1,0,5
BPS,ESR1,assay/lit,obesity,DOID_9970,MONDO_0011122,0,0,1,1,1,1,1,0,5
BPS,ESR1,assay/lit,ovarian cancer,DOID_2394,MONDO_0008170,0,0,1,1,1,1,1,0,5
BPS,ESR1,assay/lit,polycystic ovary syndrome,DOID_11612,MONDO_0008487,0,0,1,1,1,1,1,0,5
BPS,ESR1,assay/lit,prostate cancer,DOID_10283,MONDO_0008315,1,0,1,1,1,1,1,0,5
BPS,ESR1,assay/lit,uterine cancer,DOID_363,MONDO_0002715,0,0,1,1,1,1,1,0,5
BPS,ESR2,assay/lit,breast cancer,DOID_1612,MONDO_0007254,0,0,1,1,1,1,1,0,5
