chemical,disease,doid,mondo,corroboration_score,n_independent_sources,aop_anchored,mediating_targets,sources,ehr_phenotypes_in_oard
BPA,arteriosclerosis,DOID_2349,MONDO_0002277,7,7,1,ESR1,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,breast cancer,DOID_1612,MONDO_0007254,7,7,1,ESR1|ESR2|GATA3,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,breast carcinoma,DOID_3459,MONDO_0004989,7,7,1,ESR1,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,colorectal cancer,DOID_9256,MONDO_0005575,7,7,1,ESR1,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,dermatitis,DOID_2723,MONDO_0002406,7,7,1,ESR1|GATA3,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,diabetes mellitus,DOID_9351,MONDO_0005015,7,7,1,ESR1|GATA3,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,endometriosis,DOID_289,MONDO_0005133,7,7,1,ESR1|ESR2,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,liver cancer,DOID_3571,MONDO_0002691,7,7,1,ESR1,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,liver disease,DOID_409,MONDO_0005154,7,7,1,ESR1,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,lung cancer,DOID_1324,MONDO_0008903,7,7,1,ESR1,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,major depressive disorder,DOID_1470,MONDO_0002009,7,7,1,ESR1|ESR2,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,migraine,DOID_6364,MONDO_0005277,7,7,1,ESR1,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,nervous system disease,DOID_863,MONDO_0005071,7,7,1,ESR1,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,nutrition disease,DOID_374,MONDO_0005137,7,7,1,ESR1,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,obesity,DOID_9970,MONDO_0011122,7,7,1,ESR1,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,ovarian cancer,DOID_2394,MONDO_0008170,7,7,1,ESR1,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,polycystic ovary syndrome,DOID_11612,MONDO_0008487,7,7,1,ESR1,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,prostate cancer,DOID_10283,MONDO_0008315,7,7,1,ESR1,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,1
BPA,uterine cancer,DOID_363,MONDO_0002715,7,7,1,ESR1,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,psoriasis,DOID_8893,MONDO_0005083,7,7,1,ESR2|GATA3,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,asthma,DOID_2841,MONDO_0004979,7,7,1,GATA3,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,epilepsy,DOID_1826,MONDO_0005027,7,7,1,GATA3,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,Hodgkin's lymphoma,DOID_8567,MONDO_0004952,7,7,1,GATA3,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,lymphoid leukemia,DOID_1037,MONDO_0005402,7,7,1,GATA3,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,multiple sclerosis,DOID_2377,MONDO_0005301,7,7,1,GATA3,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
BPA,rheumatoid arthritis,DOID_7148,MONDO_0008383,7,7,1,GATA3,aop_structure|assay_activity|disease_assoc|expression|hazard|protein_annot|rare_disease,0
TBBPA,cardiomyopathy,DOID_0050700,MONDO_0004994,6,6,1,TTR,aop_structure|assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,epilepsy,DOID_1826,MONDO_0005027,6,6,1,TTR,aop_structure|assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,liver disease,DOID_409,MONDO_0005154,6,6,1,ESR1|TTR,aop_structure|assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,myopia,DOID_11830,MONDO_0001384,6,6,1,TTR,aop_structure|assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,nervous system disease,DOID_863,MONDO_0005071,6,6,1,ESR1|TTR,aop_structure|assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,rheumatoid arthritis,DOID_7148,MONDO_0008383,6,6,1,TTR,aop_structure|assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,asthma,DOID_2841,MONDO_0004979,6,6,1,THRA,aop_structure|assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,bipolar disorder,DOID_3312,MONDO_0004985,6,6,1,THRA,aop_structure|assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,chronic obstructive pulmonary disease,DOID_3083,MONDO_0005002,6,6,1,THRA,aop_structure|assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,diabetes mellitus,DOID_9351,MONDO_0005015,6,6,1,ESR1|THRB,aop_structure|assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,major depressive disorder,DOID_1470,MONDO_0002009,6,6,1,ESR1|ESR2|THRB,aop_structure|assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,uterine fibroid,DOID_13223,MONDO_0007886,6,6,1,THRB,aop_structure|assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAF,arteriosclerosis,DOID_2349,MONDO_0002277,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAF,breast cancer,DOID_1612,MONDO_0007254,5,5,0,ESR1|ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAF,breast carcinoma,DOID_3459,MONDO_0004989,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAF,colorectal cancer,DOID_9256,MONDO_0005575,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAF,dermatitis,DOID_2723,MONDO_0002406,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAF,diabetes mellitus,DOID_9351,MONDO_0005015,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAF,endometriosis,DOID_289,MONDO_0005133,5,5,0,ESR1|ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAF,liver cancer,DOID_3571,MONDO_0002691,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAF,liver disease,DOID_409,MONDO_0005154,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPAF,lung cancer,DOID_1324,MONDO_0008903,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
