doid,mondo,mondo_label,source,relationship,evidence_kind
DOID:0050589,MONDO_0005265,inflammatory bowel disease,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:0050700,MONDO_0004994,cardiomyopathy,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:10283,MONDO_0008315,prostate cancer,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:1037,MONDO_0005402,lymphoid leukemia,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:10763,MONDO_0005044,hypertensive disorder,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:11612,MONDO_0008487,polycystic ovary syndrome,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:11830,MONDO_0001384,myopia,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:12336,MONDO_0005372,male infertility,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:13223,MONDO_0007886,uterine corpus leiomyoma,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:1324,MONDO_0008903,lung cancer,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:14330,MONDO_0005180,Parkinson disease,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:1470,MONDO_0002009,major depressive disorder,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:1596,MONDO_0002050,depressive disorder,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:1612,MONDO_0007254,breast cancer,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:1686,MONDO_0005041,glaucoma,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:1749,MONDO_0005096,squamous cell carcinoma,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:1826,MONDO_0005027,epilepsy,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:2030,MONDO_0005618,anxiety disorder,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:231,MONDO_0020128,motor neuron disorder,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:2349,MONDO_0002277,arteriosclerosis disorder,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:2377,MONDO_0005301,multiple sclerosis,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:2394,MONDO_0008170,ovarian cancer,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:2723,MONDO_0002406,dermatitis,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:2841,MONDO_0004979,asthma,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:289,MONDO_0005133,endometriosis,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:2998,MONDO_0005447,testicular cancer,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:3083,MONDO_0005002,chronic obstructive pulmonary disease,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:3312,MONDO_0004985,bipolar disorder,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:3393,MONDO_0005010,coronary artery disorder,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:3459,MONDO_0004989,breast carcinoma,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:3571,MONDO_0002691,liver cancer,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:363,MONDO_0002715,uterine cancer,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:374,MONDO_0005137,nutritional disorder,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:409,MONDO_0005154,liver disorder,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:4989,MONDO_0004982,pancreatitis,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:6364,MONDO_0005277,migraine disorder,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:6713,MONDO_0011057,cerebrovascular disorder,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:7148,MONDO_0008383,rheumatoid arthritis,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:8567,MONDO_0004952,Hodgkins lymphoma,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:863,MONDO_0005071,nervous system disorder,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:8893,MONDO_0005083,psoriasis,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:8923,MONDO_0005012,cutaneous melanoma,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:9256,MONDO_0005575,colorectal cancer,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:9351,MONDO_0005015,diabetes mellitus,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
DOID:9970,MONDO_0011122,obesity disorder,ubergraph,ontology-bridge,ontology cross-reference (DOID<->MONDO)
