symbol,n_sig_contrasts,n_up,n_down,max_abs_log2fc,source,relationship,evidence_kind
PPARG,399,184,215,9.6,gene-expression-atlas-okn,differentially-expressed-in,measured differential expression
GATA3,374,147,227,9.1,gene-expression-atlas-okn,differentially-expressed-in,measured differential expression
AHR,290,164,126,4.9,gene-expression-atlas-okn,differentially-expressed-in,measured differential expression
GPER1,284,158,126,6.5,gene-expression-atlas-okn,differentially-expressed-in,measured differential expression
PGR,280,149,131,9.7,gene-expression-atlas-okn,differentially-expressed-in,measured differential expression
THRB,268,103,165,6.2,gene-expression-atlas-okn,differentially-expressed-in,measured differential expression
NR3C1,258,111,147,4.5,gene-expression-atlas-okn,differentially-expressed-in,measured differential expression
AR,244,90,154,9.2,gene-expression-atlas-okn,differentially-expressed-in,measured differential expression
ESR1,195,89,106,10.0,gene-expression-atlas-okn,differentially-expressed-in,measured differential expression
ESRRG,193,77,116,8.0,gene-expression-atlas-okn,differentially-expressed-in,measured differential expression
THRA,187,68,119,4.8,gene-expression-atlas-okn,differentially-expressed-in,measured differential expression
TTR,109,61,48,17.1,gene-expression-atlas-okn,differentially-expressed-in,measured differential expression
ESR2,107,53,54,7.3,gene-expression-atlas-okn,differentially-expressed-in,measured differential expression
NR1I2,103,45,58,10.1,gene-expression-atlas-okn,differentially-expressed-in,measured differential expression
ESRRA,89,52,37,4.3,gene-expression-atlas-okn,differentially-expressed-in,measured differential expression
NR1I3,88,30,58,6.9,gene-expression-atlas-okn,differentially-expressed-in,measured differential expression
