cas,use_type,category,source,relationship,evidence_kind
13595-25-0,Predicted Functional Use,Antioxidant,biobricks-ice,functional-use-of,ICE functional-use curation
13595-25-0,Predicted Functional Use,Uv absorber,biobricks-ice,functional-use-of,ICE functional-use curation
1571-75-1,Predicted Functional Use,Antioxidant,biobricks-ice,functional-use-of,ICE functional-use curation
1571-75-1,Predicted Functional Use,Uv absorber,biobricks-ice,functional-use-of,ICE functional-use curation
2081-08-5,Predicted Functional Use,Antioxidant,biobricks-ice,functional-use-of,ICE functional-use curation
2167-51-3,Predicted Functional Use,Antioxidant,biobricks-ice,functional-use-of,ICE functional-use curation
620-92-8,Predicted Functional Use,Antioxidant,biobricks-ice,functional-use-of,ICE functional-use curation
77-40-7,Predicted Functional Use,Antioxidant,biobricks-ice,functional-use-of,ICE functional-use curation
79-94-7,OECD Functional Use,Flame retardant,biobricks-ice,functional-use-of,ICE functional-use curation
79-94-7,Predicted Functional Use,Flame retardant,biobricks-ice,functional-use-of,ICE functional-use curation
79-95-8,Predicted Functional Use,Flame retardant,biobricks-ice,functional-use-of,ICE functional-use curation
79-97-0,Predicted Functional Use,Antioxidant,biobricks-ice,functional-use-of,ICE functional-use curation
79-97-0,Predicted Functional Use,Uv absorber,biobricks-ice,functional-use-of,ICE functional-use curation
80-05-7,OECD Functional Use,Binder,biobricks-ice,functional-use-of,ICE functional-use curation
80-05-7,OECD Functional Use,Catalyst,biobricks-ice,functional-use-of,ICE functional-use curation
80-05-7,OECD Functional Use,Hardener,biobricks-ice,functional-use-of,ICE functional-use curation
80-05-7,Predicted Functional Use,Antioxidant,biobricks-ice,functional-use-of,ICE functional-use curation
80-05-7,Predicted Functional Use,Uv absorber,biobricks-ice,functional-use-of,ICE functional-use curation
80-09-1,Predicted Functional Use,Colorant,biobricks-ice,functional-use-of,ICE functional-use curation
