symbol,uniprot,n_reactome_pathways,n_go_terms,source,relationship,evidence_kind
ESR1,P03372,15,31,prokn,protein-annotation,curated protein GO/Reactome annotation
NR3C1,P04150,8,25,prokn,protein-annotation,curated protein GO/Reactome annotation
PPARG,P37231,8,29,prokn,protein-annotation,curated protein GO/Reactome annotation
GATA3,P23771,7,21,prokn,protein-annotation,curated protein GO/Reactome annotation
AR,P10275,6,29,prokn,protein-annotation,curated protein GO/Reactome annotation
ESR2,Q92731,6,16,prokn,protein-annotation,curated protein GO/Reactome annotation
TTR,P02766,6,6,prokn,protein-annotation,curated protein GO/Reactome annotation
AHR,P35869,5,17,prokn,protein-annotation,curated protein GO/Reactome annotation
PGR,P06401,5,19,prokn,protein-annotation,curated protein GO/Reactome annotation
ESRRA,P11474,4,14,prokn,protein-annotation,curated protein GO/Reactome annotation
GPER1,Q99527,3,7,prokn,protein-annotation,curated protein GO/Reactome annotation
NR1I2,O75469,2,12,prokn,protein-annotation,curated protein GO/Reactome annotation
THRA,P10827,2,15,prokn,protein-annotation,curated protein GO/Reactome annotation
THRB,P10828,2,14,prokn,protein-annotation,curated protein GO/Reactome annotation
ESRRG,P62508,1,16,prokn,protein-annotation,curated protein GO/Reactome annotation
NR1I3,Q14994,1,12,prokn,protein-annotation,curated protein GO/Reactome annotation
