symbol,n_rare_disease_mondo,source,relationship,evidence_kind
ESR1,124,rdkg,associated-with-disease,curated rare-disease association (related_to MONDO)
PPARG,104,rdkg,associated-with-disease,curated rare-disease association (related_to MONDO)
ESR2,73,rdkg,associated-with-disease,curated rare-disease association (related_to MONDO)
AR,59,rdkg,associated-with-disease,curated rare-disease association (related_to MONDO)
PGR,52,rdkg,associated-with-disease,curated rare-disease association (related_to MONDO)
AHR,48,rdkg,associated-with-disease,curated rare-disease association (related_to MONDO)
GATA3,35,rdkg,associated-with-disease,curated rare-disease association (related_to MONDO)
NR3C1,29,rdkg,associated-with-disease,curated rare-disease association (related_to MONDO)
TTR,21,rdkg,associated-with-disease,curated rare-disease association (related_to MONDO)
NR1I2,20,rdkg,associated-with-disease,curated rare-disease association (related_to MONDO)
THRA,11,rdkg,associated-with-disease,curated rare-disease association (related_to MONDO)
GPER1,10,rdkg,associated-with-disease,curated rare-disease association (related_to MONDO)
ESRRA,9,rdkg,associated-with-disease,curated rare-disease association (related_to MONDO)
THRB,9,rdkg,associated-with-disease,curated rare-disease association (related_to MONDO)
NR1I3,8,rdkg,associated-with-disease,curated rare-disease association (related_to MONDO)
