finding_id,layer,chemical,entity,related_entity,source_kg,relationship_type,effect_or_score,evidence_kind,notes
F0001,chemical-identity,BPA,80-05-7,CID:6623; DTXSID7020182,aopwiki/ice/toxcast,has-identifier,,curated identity,Bisphenol A
F0002,chemical-identity,BPS,80-09-1,CID:NA; DTXSID3022409,aopwiki/ice/toxcast,has-identifier,,curated identity,"Bisphenol S (4,4'-sulfonyldiphenol)"
F0003,chemical-identity,BPF,620-92-8,CID:NA; DTXSID9022445,aopwiki/ice/toxcast,has-identifier,,curated identity,Bisphenol F (bis(4-hydroxyphenyl)methane)
F0004,chemical-identity,BPAF,1478-61-1,CID:NA; DTXSID7037717,aopwiki/ice/toxcast,has-identifier,,curated identity,Bisphenol AF (hexafluoro)
F0005,chemical-identity,BPB,77-40-7,CID:NA; DTXSID4022442,aopwiki/ice/toxcast,has-identifier,,curated identity,Bisphenol B
F0006,chemical-identity,BPAP,1571-75-1,CID:NA; DTXSID5051444,aopwiki/ice/toxcast,has-identifier,,curated identity,Bisphenol AP
F0007,chemical-identity,BPE,2081-08-5,CID:NA; DTXSID3047891,aopwiki/ice/toxcast,has-identifier,,curated identity,Bisphenol E
F0008,chemical-identity,BPC,79-97-0,CID:NA; DTXSID8047890,aopwiki/ice/toxcast,has-identifier,,curated identity,"Bisphenol C (3,3'-dimethyl BPA)"
F0009,chemical-identity,BPZ,843-55-0,CID:NA; DTXSID4047963,aopwiki/ice/toxcast,has-identifier,,curated identity,Bisphenol Z
F0010,chemical-identity,BPP,2167-51-3,CID:NA; DTXSID0058693,aopwiki/ice/toxcast,has-identifier,,curated identity,Bisphenol P
F0011,chemical-identity,BPM,13595-25-0,CID:NA; DTXSID7065548,aopwiki/ice/toxcast,has-identifier,,curated identity,Bisphenol M
F0012,chemical-identity,TBBPA,79-94-7,CID:6618; DTXSID1026081,aopwiki/ice/toxcast,has-identifier,,curated identity,Tetrabromobisphenol A
F0013,chemical-identity,TCBPA,79-95-8,CID:NA; DTXSID3021770,aopwiki/ice/toxcast,has-identifier,,curated identity,Tetrachlorobisphenol A
