fips,rucc,pop
01001,2,54571
01003,3,182265
01005,6,27457
01007,1,22915
01009,1,57322
01011,6,10914
01013,6,20947
01015,3,118572
01017,6,34215
01019,6,25989
01021,1,43643
01023,9,13859
01025,7,25833
01027,9,13932
01029,8,14972
01031,4,49948
01033,3,54428
01035,7,13228
01037,8,11539
01039,6,37765
01041,8,13906
01043,4,80406
01045,4,50251
01047,4,43820
01049,6,71109
01051,2,79303
01053,6,38319
01055,3,104430
01057,6,17241
01059,6,31704
01061,3,26790
01063,8,9045
01065,3,15760
01067,3,17302
01069,3,101547
01071,6,53227
01073,1,658466
01075,8,14564
01077,3,92709
01079,3,34339
01081,3,140247
01083,2,82782
01085,2,11299
01087,6,21452
01089,2,334811
01091,7,21027
01093,7,30776
01095,4,93019
01097,2,412992
01099,7,23068
01101,2,229363
01103,3,119490
01105,8,10591
01107,3,19746
01109,6,32899
01111,6,22913
01113,2,52947
01115,1,83593
01117,1,195085
01119,8,13763
01121,4,82291
01123,6,41616
01125,3,194656
01127,1,67023
01129,8,17581
01131,9,11670
01133,6,24484
02013,9,3141
02016,9,5561
02020,2,291826
02050,7,17013
02060,9,997
02068,8,1826
02070,9,4847
02090,3,97581
02100,9,2508
02105,9,2150
02110,5,31275
02122,7,55400
02130,7,13477
02150,7,13592
02164,9,1631
02170,2,88995
02180,7,9492
02185,7,9430
02188,7,7523
02195,9,3815
02198,9,5559
02220,7,8881
02230,9,968
02240,9,7029
02261,9,9636
02270,9,7459
02275,9,2369
02282,9,662
02290,9,5588
04001,6,71518
04003,3,131346
04005,3,134421
04007,4,53597
04009,7,37220
04011,7,8437
04012,6,20489
04013,1,3817117
04015,3,200186
04017,4,107449
04019,2,980263
04021,1,375770
04023,4,47420
04025,3,211033
04027,3,195751
05001,6,19019
05003,7,21853
05005,7,41513
05007,2,221339
05009,7,36903
05011,7,11508
05013,9,5368
05015,6,27446
05017,7,11800
05019,7,22995
05021,7,16083
05023,6,25970
05025,3,8689
05027,7,24552
05029,6,21273
05031,3,96443
