fips,label,local_fac,flood_buildings,flood_cells,max_depth_m,imported_fac,imported_fac_wt,upstream_src_reaches,upstream_src_counties,strongest_tier,ds_monitored_cells,ds_reaches,state,retained_score,imported_score,typology,cascade_score,rucc,pop,rural,baseline_rank,cascade_rank,rank_shift,lat,lng,sources,n_sources,st
17119,"Madison County, Illinois",249.0,3312.0,22.0,19.482,3828.0,957.0,390.0,57.0,C_same_HUC2,0.0,11.0,17,0.97495183044316,0.930635838150289,Compound,0.9527938342967244,1.0,269282.0,False,14.0,1.0,13.0,38.815315601075405,-90.0886947735752,"['ufokn', 'fiokg', 'hydrologykg', 'spatialkg', 'ruralkg']",5,IL
21111,"Jefferson County, Kentucky",648.0,830.0,98.0,2.279,2087.0,587.0,258.0,29.0,A_same_HUC8,1.0,24.0,21,0.9980732177263968,0.8709055876685935,Compound,0.9344894026974953,1.0,741096.0,False,2.0,2.0,0.0,38.15767145474193,-85.71537511815025,"['ufokn', 'fiokg', 'hydrologykg', 'spatialkg', 'ruralkg', 'sawgraph']",6,KY
27123,"Ramsey County, Minnesota",283.0,39.0,13.0,0.84,655.0,531.5,45.0,6.0,A_same_HUC8,15.0,13.0,27,0.9845857418111752,0.8631984585741811,Compound,0.9238921001926782,1.0,508640.0,False,9.0,3.0,6.0,45.04707213585468,-93.06284162362653,"['ufokn', 'fiokg', 'hydrologykg', 'spatialkg', 'ruralkg', 'sawgraph']",6,MN
17001,"Adams County, Illinois",51.0,36.0,12.0,0.657,3212.0,803.25,291.0,39.0,B_same_HUC4,0.0,59.0,17,0.9238921001926782,0.9171483622350676,Compound,0.9205202312138728,5.0,67103.0,True,40.0,4.0,36.0,39.86599035805206,-91.31318607735804,"['ufokn', 'fiokg', 'hydrologykg', 'spatialkg', 'ruralkg']",5,IL
21093,"Hardin County, Kentucky",153.0,147.0,26.0,2.198,628.0,564.5,115.0,12.0,A_same_HUC8,0.0,20.0,21,0.9653179190751444,0.8670520231213873,Compound,0.916184971098266,3.0,105543.0,False,19.0,5.0,14.0,37.64469117903569,-85.99684785065263,"['ufokn', 'fiokg', 'hydrologykg', 'spatialkg', 'ruralkg']",5,KY
39061,"Hamilton County, Ohio",201.0,110.0,40.0,0.663,601.0,496.0,90.0,7.0,A_same_HUC8,0.0,120.0,39,0.9720616570327552,0.8574181117533719,Compound,0.9147398843930636,1.0,802374.0,False,15.0,6.0,9.0,39.24851353065945,-84.61651435605035,"['ufokn', 'fiokg', 'hydrologykg', 'spatialkg', 'ruralkg']",5,OH
27053,"Hennepin County, Minnesota",273.0,98.0,26.0,0.561,354.0,319.0,16.0,4.0,A_same_HUC8,11.0,9.0,27,0.9826589595375722,0.8458574181117534,Compound,0.9142581888246628,1.0,1152425.0,False,10.0,7.0,3.0,45.07755687460275,-93.45317101043416,"['ufokn', 'fiokg', 'hydrologykg', 'spatialkg', 'ruralkg', 'sawgraph']",6,MN
27049,"Goodhue County, Minnesota",25.0,15.0,8.0,0.979,1895.0,1036.25,109.0,11.0,A_same_HUC8,2.0,83.0,27,0.8651252408477842,0.9556840077071292,Compound,0.9104046242774566,4.0,46183.0,True,70.0,8.0,62.0,44.29784349878869,-92.91759573728936,"['ufokn', 'fiokg', 'hydrologykg', 'spatialkg', 'ruralkg', 'sawgraph']",6,MN
21015,"Boone County, Kentucky",146.0,100.0,28.0,2.665,1029.0,422.75,136.0,10.0,A_same_HUC8,0.0,11.0,21,0.9633911368015414,0.8516377649325626,Compound,0.907514450867052,1.0,118811.0,False,20.0,9.0,11.0,39.01479055805694,-84.73677994693192,"['ufokn', 'fiokg', 'hydrologykg', 'spatialkg', 'ruralkg']",5,KY
21145,"McCracken County, Kentucky",15.0,24.0,3.0,0.066,4742.0,1520.75,622.0,62.0,B_same_HUC4,1.0,20.0,21,0.7967244701348748,0.9951830443159922,Compound,0.8959537572254335,5.0,65565.0,True,105.0,10.0,95.0,37.093170747401714,-88.76382942085066,"['ufokn', 'fiokg', 'hydrologykg', 'spatialkg', 'ruralkg', 'sawgraph']",6,KY
21029,"Bullitt County, Kentucky",113.0,333.0,23.0,1.195,292.0,292.0,51.0,6.0,A_same_HUC8,0.0,55.0,21,0.9556840077071292,0.8323699421965318,Compound,0.8940269749518305,1.0,74319.0,False,24.0,11.0,13.0,37.94869372298909,-85.68971213002771,"['ufokn', 'fiokg', 'hydrologykg', 'spatialkg', 'ruralkg']",5,KY
