epa_program,facilities
Statemaster,4236
Unspecifieduniverse,2138
CESQG,1220
Hazardouswasteprogram,1159
Enforcement-Complianceactivity,1087
Icis-Npdesnon-Major,677
Undergroundstoragetankprogram,594
Airminor,577
Criteriaandhazardousairpollutantinventory,341
Airprogram,333
SQG,330
Complianceactivity,296
Airmajor,295
Trireporter,294
Formalenforcementaction,281
Brownfieldsproperty,254
Npdespermit,241
Solidwasteprogram,185
Hazardouswastebiennialreporter,156
VSQG,153
Leakingstoragetank,146
EPCRA,137
Npdesstormwaterpermit,135
Airmonitoringsite,116
Airsyntheticminor,107
Leakingundergroundstoragetank-Arra,101
Drinkingwaterprogram,97
None,96
LQG,93
Refusedisposal,91
Undergroundstoragetankprograms,81
X-Rayequipment,81
Airemissionsclassificationunknown,60
Drinkingwatersystem,57
Wastewatertreatmentfacility,54
Scraptiremanagement,49
Transporter,47
Icis-Npdesmajor,43
Pesticideproducer,42
Statecleanupsite,34
Tscasubmitter,33
Wastewaterprogram,32
Oshaestablishment,29
Voluntarycleanupprogram,26
Drycleanerremediationprogram,25
Watertreatmentplant,23
Asbestosabatementprogram,23
TSD,21
Section404Permitting,20
401Certification-Coastalzonemanagement,19
Groundwaterprogram,19
Usedoilprogram,19
Electricgenerator,18
Brownfieldssite,18
Icis-Npdesunpermitted,17
Chemicalstorageandriskmanagementprograms,17
Stormwaterconstruction,15
Airprograms,14
Greenhousegasreporter,13
Communitywatersystem,12
Stormwaterindustrial,11
Radioactivematerials,11
Livestockwastecontrol,10
Wastewaterprograms,9
Correctiveaction,8
Npdespretreatmentprogram,8
Biosolids,8
Potw,8
Otherhazardouswasteactivities,8
Gasolineanddieselproducers,8
Electricpowergenerator-Gasbased,6
Superfund-Non-Npl,6
Chemicalaccidentprograms,6
Innocentowner-Operatorprogram,6
Icis-Npdesminor,6
Superfund,6
Coastalzonemanagement-Czm,6
Electricpowergenerator-Waterbased,5
Phaseiims4,5
Remediationprograms,5
Sewagesludgeutilization,5
Npdesnon-Major,4
Combinedseweroverflow,4
Ethanolfacility-Gasolineanddieselproducers,4
Groundwaterprograms,4
Laboratorycertification,4
Radioactivewaste,4
Damsite,3
Hazardousairpollutantmajor,3
Transferfacility,3
Ethanolfacility,3
Airemissioninventory,3
Releaseassessment,3
Infectiouswaste,2
Electricpowergenerator-Oilbased,2
Independentcleanup,2
Sdwis,2
Wuse,2
SPCC,2
Ustsdb,2
Aquiferprotectionprogram,2
Ustfacility,2
Facility,2
Electricpowergenerator-Coalbased,2
Radnpl,2
Closedcriminalenforcementcase,2
Oilcontrol,2
Materialrecycling,1
Remedialactionplanmonitoring,1
Npdesgeneralpermit,1
Waterqualityprogram,1
Pesticides-General,1
Spars,1
Ast,1
Solidwasteprograms,1
Environmentalcleanupstudyarea,1
Animalfeedingoperation,1
UIC,1
Wastewaterfacility,1
Hazardoussolidcdwastelandfill,1
Landfillgas-Lfgrecovery,1
Hazardouswaste,1
Radwipp,1
Radneshaps,1
Constructiondemolitionlandfill,1
Minegeneralpermit,1
Mineoperatingpermit,1
Lustincident,1
