id,well,use,purpose,depth
5525968780607356928,http://sawgraph.spatialai.org/v1/me-mgs-data#d.MGS-Well.37610,d.wellUse.Domestic,,
5525968780607356928,http://sawgraph.spatialai.org/v1/me-mgs-data#d.MGS-Well.19695,d.wellUse.Domestic,,
5525968780607356928,http://sawgraph.spatialai.org/v1/me-mgs-data#d.MGS-Well.91187,d.wellUse.Domestic,,
5526958444151570432,http://sawgraph.spatialai.org/v1/me-mgs-data#d.MGS-Well.19313,d.wellUse.Domestic,,
5526958444151570432,http://sawgraph.spatialai.org/v1/me-mgs-data#d.MGS-Well.125857,d.wellUse.Domestic,,
5526958444151570432,http://sawgraph.spatialai.org/v1/me-mgs-data#d.MGS-Well.114197,d.wellUse.Domestic,,
5526958444151570432,http://sawgraph.spatialai.org/v1/me-mgs-data#d.MGS-Well.18931,d.wellUse.Domestic,,
5526958444151570432,http://sawgraph.spatialai.org/v1/me-mgs-data#d.MGS-Well.18933,d.wellUse.Domestic,,
5526958444151570432,http://sawgraph.spatialai.org/v1/me-mgs-data#d.MGS-Well.19630,d.wellUse.Domestic,,
5526958444151570432,http://sawgraph.spatialai.org/v1/me-mgs-data#d.MGS-Well.125956,d.wellUse.Domestic,,
5526958444151570432,http://sawgraph.spatialai.org/v1/me-mgs-data#d.MGS-Well.74338,d.wellUse.Domestic,,
5526960299577442304,http://sawgraph.spatialai.org/v1/me-mgs-data#d.MGS-Well.122939,d.wellUse.Domestic,,
5526960299577442304,http://sawgraph.spatialai.org/v1/me-mgs-data#d.MGS-Well.145045,d.wellUse.Domestic,,
5526960299577442304,http://sawgraph.spatialai.org/v1/me-mgs-data#d.MGS-Well.115444,d.wellUse.Domestic,,
5526960299577442304,http://sawgraph.spatialai.org/v1/me-mgs-data#d.MGS-Well.131892,d.wellUse.Domestic,,
5526960299577442304,http://sawgraph.spatialai.org/v1/me-mgs-data#d.MGS-Well.82588,d.wellUse.Domestic,,
5526960299577442304,http://sawgraph.spatialai.org/v1/me-mgs-data#d.MGS-Well.86130,d.wellUse.Commercial,,
5526986790935724032,http://sawgraph.spatialai.org/v1/me-mgs-data#d.MGS-Well.101982,d.wellUse.Domestic,,
