ds_fips,n_src_reaches,n_src_counties,upstream_fac
21145,622,62,4742.0
21139,622,62,4742.0
21007,622,62,4742.0
17069,494,57,4159.0
21055,494,57,4159.0
21225,494,57,4159.0
29133,399,60,4018.0
17003,399,60,4018.0
29201,399,60,4018.0
17181,396,59,3985.0
17133,396,59,3985.0
29031,396,59,3985.0
29186,396,59,3985.0
17077,396,59,3985.0
17157,396,59,3985.0
29157,396,59,3985.0
17163,395,58,3902.0
21101,459,45,3845.0
17119,390,57,3828.0
29183,389,56,3826.0
17083,386,56,3816.0
17013,385,55,3814.0
17149,381,52,3797.0
29113,310,45,3410.0
29163,309,44,3402.0
29127,304,41,3349.0
18147,405,41,3341.0
18163,405,41,3341.0
21059,405,41,3341.0
21091,405,41,3341.0
21163,403,40,3337.0
21027,403,40,3337.0
29111,292,40,3217.0
17067,291,39,3212.0
17001,291,39,3212.0
19111,289,37,3193.0
17071,244,32,2884.0
19057,244,32,2884.0
19139,243,31,2833.0
17131,243,31,2833.0
19115,243,31,2833.0
17161,228,28,2743.0
55023,199,23,2563.0
19045,199,23,2563.0
17085,199,23,2563.0
19097,199,23,2563.0
19043,199,23,2563.0
55043,199,23,2563.0
19061,199,23,2563.0
19163,199,23,2563.0
17015,199,23,2563.0
19005,160,17,2450.0
55063,160,17,2450.0
55121,160,17,2450.0
55123,160,17,2450.0
27055,160,17,2450.0
27169,153,16,2415.0
55011,158,16,2410.0
27157,156,15,2408.0
21111,258,29,2087.0
21185,248,28,2036.0
21041,246,26,2007.0
21223,242,26,2000.0
55091,126,12,1944.0
55093,124,11,1928.0
27049,109,11,1895.0
27037,105,10,1885.0
21077,163,11,1342.0
27163,71,7,1125.0
21015,136,10,1029.0
18029,99,8,707.0
27123,45,6,655.0
21187,78,15,650.0
21073,75,14,632.0
21093,115,12,628.0
39061,90,7,601.0
21221,128,6,583.0
47037,128,6,583.0
47125,128,6,583.0
21207,128,6,583.0
21171,128,6,583.0
21143,128,6,583.0
47189,128,6,583.0
47169,128,6,583.0
21231,128,6,583.0
47027,128,6,583.0
21057,128,6,583.0
47159,128,6,583.0
47165,128,6,583.0
47021,128,6,583.0
47161,128,6,583.0
47087,128,6,583.0
21199,127,5,571.0
39017,68,5,507.0
21183,54,5,504.0
21149,54,5,504.0
21233,54,5,504.0
21177,46,5,484.0
21031,45,4,483.0
39165,59,2,471.0
21061,41,3,468.0
17061,73,10,402.0
17017,70,8,388.0
17125,70,8,388.0
21239,64,12,371.0
27053,16,4,354.0
17169,65,7,353.0
21167,59,11,342.0
18051,35,13,314.0
18129,35,13,314.0
17193,35,13,314.0
29045,45,5,309.0
21235,57,2,299.0
21029,51,6,292.0
21079,41,8,283.0
21113,57,11,283.0
27131,10,1,279.0
17057,51,5,278.0
21121,39,1,243.0
18083,17,8,205.0
17073,28,5,173.0
17195,28,5,173.0
17141,28,5,173.0
17103,28,5,173.0
17201,28,5,173.0
19051,13,4,166.0
19177,13,4,166.0
25015,39,3,160.0
09130,39,3,160.0
25013,39,3,160.0
33019,39,3,160.0
33005,39,3,160.0
25011,39,3,160.0
09110,39,3,160.0
17179,28,3,158.0
27003,10,3,138.0
33009,29,2,132.0
55105,20,3,123.0
55103,38,5,112.0
55049,38,5,112.0
55055,12,2,107.0
18125,21,7,101.0
21037,17,3,98.0
21151,29,5,95.0
17143,5,3,93.0
21065,26,4,92.0
21129,26,4,92.0
21117,3,1,91.0
17063,4,2,86.0
17123,4,2,86.0
17099,4,2,86.0
17155,4,2,86.0
17203,4,2,86.0
21189,22,2,83.0
21179,14,5,80.0
18121,10,4,79.0
18171,10,4,79.0
18153,10,4,79.0
17185,10,4,79.0
18167,10,4,79.0
55111,21,4,77.0
18101,13,6,71.0
18015,5,3,65.0
18157,5,3,65.0
19135,7,3,63.0
19179,7,3,63.0
27171,1,1,63.0
19123,7,3,63.0
21209,3,1,59.0
18047,9,3,58.0
21215,10,3,56.0
18093,9,5,56.0
17187,1,1,51.0
17177,8,2,50.0
39025,11,3,46.0
17129,6,2,40.0
55019,2,1,40.0
55053,2,1,40.0
21137,13,2,38.0
21097,2,1,36.0
21017,2,1,36.0
21191,2,1,36.0
21005,1,1,35.0
18069,2,1,32.0
18075,2,1,32.0
18041,2,1,32.0
18103,2,1,32.0
18169,2,1,32.0
18001,2,1,32.0
18179,2,1,32.0
18017,2,1,32.0
29205,1,1,31.0
29173,1,1,31.0
29137,1,1,31.0
29103,1,1,31.0
