feat,cell,ftype,s2
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522341869704445952,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522341869704445952,,5522341869704445952
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522341904064184320,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522341904064184320,,5522341904064184320
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522341972783661056,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522341972783661056,,5522341972783661056
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342007143399424,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342007143399424,,5522342007143399424
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342041503137792,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342041503137792,,5522342041503137792
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342075862876160,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342075862876160,,5522342075862876160
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342110222614528,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342110222614528,,5522342110222614528
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342282021306368,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342282021306368,,5522342282021306368
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342316381044736,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342316381044736,,5522342316381044736
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342350740783104,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342350740783104,,5522342350740783104
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342385100521472,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342385100521472,,5522342385100521472
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342419460259840,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342419460259840,,5522342419460259840
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342453819998208,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342453819998208,,5522342453819998208
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342488179736576,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342488179736576,,5522342488179736576
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342522539474944,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342522539474944,,5522342522539474944
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342556899213312,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342556899213312,,5522342556899213312
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342591258951680,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342591258951680,,5522342591258951680
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342625618690048,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342625618690048,,5522342625618690048
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342659978428416,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342659978428416,,5522342659978428416
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342694338166784,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342694338166784,,5522342694338166784
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342728697905152,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342728697905152,,5522342728697905152
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342763057643520,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342763057643520,,5522342763057643520
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342797417381888,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522342797417381888,,5522342797417381888
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522346989305462784,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522346989305462784,,5522346989305462784
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522347023665201152,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522347023665201152,,5522347023665201152
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522347951378137088,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522347951378137088,,5522347951378137088
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522348020097613824,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5522348020097613824,,5522348020097613824
