comid,s2
10106697,9830958915368517632
10107049,9831062166382313472
10108619,9830897480156315648
10161556,9829703651046719488
10161556,9829703754125934592
10161558,9829703651046719488
10161558,9829703754125934592
10161578,9829703754125934592
10161614,9829704716198608896
10161614,9829705369033637888
10161812,9829703651046719488
10163474,9829532230312001536
10163532,9829531371318542336
10163536,9829531371318542336
10163538,9829531474397757440
10163574,9829510549317091328
10163594,9829509003128864768
10163596,9829509003128864768
10163606,9829510549317091328
10163614,9829509003128864768
10163668,9829559305785835520
10163680,9829559374505312256
10163680,9829561951485689856
10163680,9829562020205166592
10163680,9829562054564904960
10163680,9829562192003858432
10163686,9829562432522027008
10163710,9829516837149212672
10163710,9829516871508951040
10163710,9829516905868689408
10163710,9829561745327259648
10163710,9829563360234962944
10163710,9829563394594701312
10163726,9829562535601242112
10163726,9829563188436271104
10163728,9829516287393398784
10163730,9829513950931189760
10163732,9829516630990782464
10163732,9829563085357056000
10163734,9829516493551828992
10163734,9829516527911567360
10163734,9829516630990782464
10163736,9829399429923209216
10163736,9829399533002424320
10163744,9829399636081639424
10163744,9829399670441377792
10163744,9829399807880331264
10163744,9829399842240069632
10163744,9829399876599808000
10163744,9829400254556930048
10163744,9829400426355621888
10163746,9829399017606348800
10163746,9829400426355621888
10163746,9829400460715360256
10163746,9829400495075098624
10163776,9829413105099079680
10163778,9829413105099079680
10163780,9829413070739341312
10163788,9829413036379602944
10163788,9829413070739341312
10163788,9829413105099079680
10163872,9829562982277840896
10163872,9829563154076532736
10163872,9829563188436271104
10163874,9829516630990782464
10163874,9829516699710259200
10163874,9829563188436271104
10163874,9829563325875224576
10163874,9829563428954439680
10163874,9829563463314178048
10163884,9829513950931189760
10163886,9829400185837453312
10163886,9829400254556930048
10163886,9829400288916668416
10163886,9829400426355621888
10163886,9829401422788034560
10163886,9829401457147772928
10163886,9829401491507511296
10163886,9829401525867249664
10163886,9829401766385418240
10163886,9829402144342540288
10163886,9829402178702278656
10163886,9829513916571451392
10163886,9829513950931189760
10163944,9829531371318542336
10163946,9829531371318542336
10163946,9829531474397757440
10182249,9828933340072247296
10182255,9828933340072247296
10186650,9825951773775364096
10186652,9825951601976672256
10186654,9825951601976672256
10186662,9825951705055887360
10186666,9825951705055887360
10186668,9825951601976672256
10186674,9825928065555890176
10186680,9825928065555890176
10186682,9825928065555890176
10186688,9825926691166355456
10186688,9825926725526093824
10186690,9825926725526093824
10186694,9825926725526093824
10186698,9825926725526093824
10186704,9825928065555890176
10186722,9825952598409084928
10186726,9825928374793535488
10186730,9825949883989753856
10186732,9825928443513012224
10186734,9825950055788445696
10186734,9825952598409084928
10186740,9825950708623474688
10186742,9825929130707779584
10186742,9825929165067517952
10186744,9825929130707779584
10186746,9825950055788445696
10186750,9825929130707779584
10186750,9825929165067517952
10186752,9825950021428707328
10186756,9825929130707779584
10186764,9825950021428707328
10186764,9825950055788445696
10186766,9825950296306614272
10186766,9825950330666352640
10186768,9825950296306614272
10186770,9825950330666352640
10186770,9825950433745567744
10186772,9825950296306614272
10186772,9825950330666352640
10186794,9825928787110395904
10186908,9818748014108344320
10186910,9818748014108344320
10186912,9818748014108344320
10186914,9818747876669390848
10186916,9818747876669390848
10186918,9825952048653271040
10186920,9825952048653271040
10186922,9825953663560974336
10186924,9825953663560974336
10186928,9825952048653271040
10186932,9825953663560974336
10186934,9825953663560974336
10186936,9825953491762282496
10186938,9825953663560974336
10186938,9825953732280451072
10186940,9825953423042805760
10186940,9825953491762282496
10186940,9825953800999927808
10186942,9825954144597311488
10186944,9825953938438881280
10186944,9825954350755741696
10186944,9825954385115480064
10186950,9825953457402544128
10186966,9825953938438881280
10186966,9825954591273910272
10186968,9825959917033357312
10186968,9825959951393095680
10186970,9825954419475218432
10186970,9825954453834956800
10186976,9825954453834956800
10186978,9825959917033357312
10186980,9825954591273910272
10186980,9825954659993387008
10186980,9825954694353125376
10186982,9825953010725945344
10186982,9825954659993387008
10186982,9825954763072602112
10186984,9825953010725945344
10186986,9825953010725945344
10186988,9825953010725945344
10186990,9825959435997020160
10186992,9825953319963590656
10187002,9825959435997020160
10187004,9825954763072602112
10187006,9825953010725945344
10187006,9825954763072602112
10187014,9825952942006468608
10187022,9825949883989753856
10187024,9825949849630015488
10187024,9825949883989753856
10187024,9825955725145276416
10187026,9825955725145276416
10187028,9825955725145276416
10187030,9825955725145276416
10187036,9825958680082776064
10187042,9825949815270277120
10187042,9825949849630015488
10187042,9825955725145276416
10187044,9825958783161991168
10187048,9825949815270277120
10187054,9825955725145276416
10187056,9825956034382921728
10187060,9825956034382921728
10187062,9825955415907631104
10187062,9825955518986846208
10187062,9825956034382921728
10187064,9825958370845130752
10187064,9825958783161991168
10187066,9825958370845130752
10187070,9825949815270277120
10187074,9825956034382921728
10187076,9825958370845130752
10187078,9825958370845130752
10187084,9825956034382921728
10187086,9825956034382921728
10187090,9825958370845130752
10187110,9825958095967223808
10187112,9825958095967223808
10187118,9825955896943968256
10187118,9825956274901090304
10187120,9825958095967223808
10187128,9825957408772456448
10187130,9825957408772456448
10187132,9825956034382921728
10187138,9825958095967223808
10187144,9825956274901090304
10187150,9825955896943968256
10187150,9825956274901090304
10187152,9825956274901090304
10187154,9825957408772456448
10187178,9825958095967223808
10187200,9825953010725945344
10187200,9825953113805160448
10187782,9825946448015917056
10187782,9825946482375655424
10187800,9825946482375655424
10187814,9825946482375655424
10187816,9825946482375655424
10187818,9825946482375655424
10187866,9825946619814608896
10187874,9825946551095132160
10187874,9825946585454870528
10187874,9825947238289899520
10187876,9825946585454870528
10187876,9825946619814608896
10187876,9825947238289899520
10187924,9825946551095132160
10187924,9825947238289899520
10187924,9825947307009376256
10187926,9825946585454870528
10187926,9825947238289899520
