s2_l13,n_buildings,max_depth,mean_depth,lat,lng
5525937169648058368,1,0.349,0.349,45.3733,-69.3181
5525968780607356928,1,1.721,1.721,45.0568,-69.2559
5526597254581846016,2,0.011,0.011,44.137100000000004,-70.2251
5526597323301322752,2,0.011,0.011,44.1328,-70.22465
5526835298849259520,3,0.415,0.415,43.732466666666674,-71.58666666666666
5526835333208997888,1,0.415,0.415,43.7323,-71.5827
5526836638879055872,4,0.357,0.19574999999999998,43.71805,-71.619325
5526913673412476928,1,0.149,0.149,44.3621,-71.3985
5526958444151570432,1,0.645,0.645,44.1574,-70.722
5526960299577442304,3,0.617,0.5953333333333334,44.2131,-70.67833333333333
5526960368296919040,2,2.0,1.8165,44.2097,-70.6617
5526986790935724032,1,0.048,0.048,44.3548,-70.5583
5527093718441525248,1,0.041,0.041,44.6425,-71.9793
5527096261062164480,1,0.438,0.438,44.5535,-71.9695
5527096364141379584,1,0.892,0.892,44.552,-71.991
5527096707738763264,2,1.202,0.6925,44.54435,-72.00095
5527097394933530624,1,0.793,0.793,44.5995,-71.9719
5527099937554169856,1,0.125,0.125,44.5391,-72.06
5527102926851407872,1,0.297,0.297,44.538,-72.0097
5527103236089053184,1,0.094,0.094,44.5161,-72.0098
5527103785844867072,2,1.045,1.045,44.4997,-71.9991
5527104232521465856,1,0.338,0.338,44.4665,-71.9933
5527119316446609408,2,0.489,0.303,44.37535,-72.02555000000001
5527119350806347776,1,0.562,0.562,44.3758,-72.0252
5527119797482946560,1,1.703,1.703,44.425,-72.013
5527121893426987008,14,1.99,0.6775,44.45684285714286,-72.01570714285715
5527121927786725376,3,0.693,0.40433333333333327,44.461733333333335,-72.01466666666666
5527132682384834560,2,0.126,0.093,44.3374,-72.1593
5527148212986576896,3,1.491,1.2583333333333335,44.166333333333334,-71.96646666666666
5527156390604308480,1,0.767,0.767,44.2568,-71.8938
5527156459323785216,3,0.036,0.036,44.2665,-71.90616666666666
5527195114029449216,2,0.588,0.5505,44.15675,-71.97354999999999
5527195423267094528,1,0.426,0.426,44.1339,-71.9508
5527212396977848320,1,0.059,0.059,43.949,-71.8915
5527213049812877312,1,0.158,0.158,43.9537,-71.8574
5527253250706767872,1,0.876,0.876,43.8678,-72.1647
5527312521255452672,1,1.173,1.173,44.1528,-72.0348
5527730713631129600,1,0.123,0.123,44.9376,-72.1805
5527740471796826112,2,0.13,0.0775,44.94029999999999,-72.1089
5527740746674733056,4,1.364,0.7192500000000001,44.9193,-72.10045
5527741433869500416,1,0.231,0.231,44.8852,-72.0557
5527750470480691200,1,0.401,0.401,44.8062,-71.8588
5529117060354801664,1,0.048,0.048,46.5565,-68.3255
5533935292106407936,2,0.166,0.166,44.6299,-74.8254
5533935326466146304,1,0.434,0.434,44.6277,-74.8152
5533936425977774080,1,0.1,0.1,44.6011,-74.7461
5533996349361487872,1,0.559,0.559,44.0855,-75.2546
5563696323091234816,5,1.075,0.5993999999999999,46.49316,-84.32508
5563696357450973184,10,4.588,1.9873,46.49244,-84.32160999999999
5563696529249665024,5,13.373,11.3292,46.48404,-84.30319999999999
5563696563609403392,5,11.598,4.4408,46.48882,-84.31158
5563696666688618496,7,11.008,8.092857142857143,46.466857142857144,-84.29924285714286
5563696735408095232,1,5.576,5.576,46.4608,-84.3095
5563697010286002176,5,1.993,1.3938,46.4906,-84.31844
5563704913025826816,2,0.918,0.881,46.37675,-84.28094999999999
5563704947385565184,3,1.082,0.49100000000000005,46.37803333333333,-84.27676666666666
5563704981745303552,1,0.213,0.213,46.383,-84.2707
5563705119184257024,13,2.04,1.4584615384615385,46.405699999999996,-84.26934615384616
5563705497141379072,1,0.783,0.783,46.4489,-84.2902
5563705531501117440,4,11.054,6.9845,46.4491,-84.283125
5563705600220594176,20,1.977,1.06125,46.433165,-84.2707
5563705703299809280,46,9.327,5.519282608695653,46.433156521739136,-84.26502173913043
5563705737659547648,47,9.196,5.962063829787234,46.42674042553191,-84.26389361702127
5563705772019286016,6,1.892,1.2356666666666667,46.42896666666667,-84.27315
5563705806379024384,12,1.157,0.47525,46.417608333333334,-84.279325
5563705840738762752,15,6.581,4.4703333333333335,46.41920666666667,-84.2655
5563705875098501120,31,10.082,8.860516129032257,46.41853870967742,-84.25924838709678
5563705943817977856,2,0.928,0.8745,46.428700000000006,-84.2384
5563705978177716224,20,9.755,8.9845,46.42199,-84.259695
5563706115616669696,12,1.306,0.6541666666666667,46.431425,-84.23895
5563706321775099904,5,0.625,0.3854,46.42608,-84.23542
5563706356134838272,18,1.573,0.7989444444444445,46.412305555555555,-84.2326611111111
5563706424854315008,4,2.578,1.7342499999999998,46.401075,-84.230275
5563706459214053376,24,1.968,1.3817083333333333,46.39613333333333,-84.2283
5563706527933530112,11,2.083,1.1658181818181819,46.40678181818182,-84.23138181818182
5563706596653006848,12,7.559,6.325,46.406299999999995,-84.25765
5563706699732221952,3,1.713,1.47,46.38426666666667,-84.2512
5563706734091960320,3,1.08,0.7926666666666667,46.3847,-84.26076666666667
5563707043329605632,9,1.329,0.7727777777777778,46.381455555555554,-84.20616666666666
5563707077689344000,1,1.321,1.321,46.3893,-84.2171
5563707112049082368,3,0.536,0.4033333333333333,46.391,-84.21886666666667
5563707455646466048,10,1.555,0.9869,46.3766,-84.19820999999999
5563712300369575936,3,1.331,1.2813333333333332,46.46266666666667,-84.2473
5563712781405913088,1,12.498,12.498,46.4519,-84.2784
5563712815765651456,2,2.082,1.8699999999999999,46.459050000000005,-84.29769999999999
5563712850125389824,1,11.125,11.125,46.462,-84.2894
5563745732395008000,2,1.951,1.783,46.22775,-84.1516
5563745801114484736,1,4.354,4.354,46.2173,-84.168
5563745835474223104,3,3.806,3.5026666666666664,46.23093333333333,-84.15656666666666
5563745869833961472,7,3.118,1.8227142857142857,46.23448571428571,-84.15841428571427
5563749030929891328,1,0.047,0.047,46.3408,-84.1681
5563749958642827264,1,4.851,4.851,46.3117,-84.196
5563750027362304000,7,4.699,4.331428571428572,46.295728571428576,-84.20598571428572
5563750061722042368,3,5.723,5.566333333333333,46.293299999999995,-84.21013333333333
5563750130441519104,77,6.387,5.424012987012987,46.30771168831169,-84.22322467532467
5563750164801257472,15,6.975,5.748733333333333,46.29526666666666,-84.22289333333333
5563750302240210944,20,5.698,4.9594000000000005,46.31497,-84.22284499999999
5563750405319426048,1,0.115,0.115,46.3334,-84.2245
5563750439679164416,2,1.845,1.75,46.35035,-84.22595
5563750748916809728,1,0.344,0.344,46.3668,-84.1839
5563751058154455040,6,2.362,2.146666666666667,46.359316666666665,-84.23226666666666
5563751504831053824,5,0.505,0.19,46.368700000000004,-84.27938
5563755627999657984,1,1.358,1.358,46.2452,-84.2207
5563756109035995136,62,6.217,4.333774193548387,46.28940322580645,-84.22294677419355
5563756177755471872,3,8.531,6.136666666666667,46.283366666666666,-84.21443333333333
5563756212115210240,34,10.536,5.660294117647059,46.28836470588235,-84.21302058823528
5563756246474948608,2,7.554,6.6775,46.28895,-84.20865
5563756280834686976,17,9.237,6.446058823529412,46.27886470588235,-84.20736470588236
5563756452633378816,4,6.452,5.394,46.2626,-84.19295
5563756486993117184,49,9.139,4.168040816326531,46.258579591836735,-84.18963673469388
5563756521352855552,10,9.488,7.289199999999999,46.26639,-84.18431000000001
5563756555712593920,29,10.138,7.838586206896552,46.26496206896552,-84.1949172413793
5563756933669715968,10,4.464,2.2782,46.25637,-84.17661
5563757036748931072,2,4.718,4.3454999999999995,46.2392,-84.16964999999999
5563757071108669440,11,4.733,4.440909090909091,46.24296363636363,-84.18297272727273
5563757105468407808,41,5.238,3.601170731707317,46.24663170731707,-84.18188536585366
5563757139828146176,14,5.41,2.1507857142857145,46.24907857142857,-84.18661428571428
5563757174187884544,6,5.261,4.561,46.24576666666667,-84.1996
5563757242907361280,2,4.779,4.584,46.243300000000005,-84.19225
5563769646772912128,6,0.503,0.15566666666666665,46.17483333333333,-84.12748333333333
5563769681132650496,1,0.008,0.008,46.1734,-84.1152
5563770333967679488,10,1.03,0.4896,46.170139999999996,-84.11467999999999
5563770368327417856,22,1.148,0.4173636363636364,46.17011818181818,-84.13057272727272
5563770780644278272,14,2.009,1.263642857142857,46.1465,-84.08489999999999
5563770815004016640,8,1.757,0.81275,46.147525,-84.0794375
5563770952442970112,15,3.338,2.5962666666666667,46.144639999999995,-84.05902666666667
5563770986802708480,5,2.835,1.4789999999999999,46.14414,-84.06322
5563772739149365248,1,1.667,1.667,46.1376,-84.0437
5563772979667533824,9,2.954,2.0844444444444443,46.12571111111111,-84.03037777777779
5563773357624655872,72,3.605,1.8226527777777777,46.11751527777778,-84.05318472222223
5563773426344132608,1,0.971,0.971,46.1241,-84.0321
5563773460703870976,3,3.279,3.0576666666666665,46.12186666666667,-84.0488
5563773529423347712,3,2.42,1.4366666666666665,46.11593333333334,-84.0564
5563774044819423232,29,2.615,1.424,46.087213793103444,-84.06602413793102
5563774147898638336,4,2.042,1.7254999999999998,46.092575,-84.07265
5563774663294713856,1,2.4,2.4,46.0724,-84.0451
5563774732014190592,9,2.169,1.6032222222222223,46.08336666666666,-84.05931111111111
5563774766373928960,15,2.37,1.6314,46.08439333333333,-84.06126666666667
5569438282049126400,1,0.066,0.066,45.2618,-84.9324
5572172252071329792,1,0.055,0.055,45.6321,-89.3703
5572172286431068160,1,0.055,0.055,45.6326,-89.3755
5572310343859830784,1,0.01,0.01,45.009,-89.2605
5572398442229006336,1,0.081,0.081,45.2669,-89.5349
5572496642361262080,1,0.443,0.443,45.5191,-89.9536
5572524061432479744,1,0.094,0.094,45.8756,-89.7239
5572547872731168768,1,0.055,0.055,45.6263,-89.3957
5572570825036398592,1,0.095,0.095,45.8826,-89.6555
5572570996835090432,3,0.472,0.38566666666666666,45.86643333333333,-89.67220000000002
5956424284346777600,1,0.133,0.133,46.323,-90.6693
5956685865034973184,1,0.101,0.101,45.7385,-90.2555
5956737645160693760,2,0.111,0.0885,45.302400000000006,-90.2996
5956793960771878912,9,0.036,0.03422222222222222,45.13276666666667,-90.34513333333332
5956997404782755840,1,0.051,0.051,45.6158,-91.1744
5957568257476001792,2,0.026,0.026,45.7447,-92.46465
5957877014084976640,1,0.143,0.143,46.2652,-91.561
5957879453626400768,1,0.973,0.973,46.288,-91.5425
5957879487986139136,1,0.762,0.762,46.2843,-91.5479
5959028924313763840,1,0.246,0.246,45.1741,-92.7443
5959057889573208064,1,0.272,0.272,45.0163,-93.0056
5959058301890068480,2,0.272,0.272,45.0186,-93.0205
5959058473688760320,1,0.525,0.525,45.0301,-93.0443
5959060226035417088,1,0.003,0.003,45.0133,-93.0637
5959060294754893824,1,0.073,0.073,45.0236,-93.0775
5959060569632800768,17,0.84,0.6328823529411765,45.034864705882356,-93.10005294117647
5959060638352277504,3,0.32,0.28633333333333333,45.0489,-93.09543333333333
