iso2,nInstitutions,nAuthorOrcids
AE,2,3
AM,1,1
AR,17,15
AT,25,111
AU,92,245
AZ,2,2
BD,7,17
BE,23,90
BF,3,6
BG,2,2
BI,1,8
BJ,7,7
BM,1,1
BN,1,1
BO,1,1
BR,55,66
BW,2,2
BY,1,3
CA,91,227
CG,1,2
CH,43,166
CI,2,2
CL,13,12
CN,355,389
CO,4,15
CR,4,6
CU,3,4
CY,4,6
CZ,10,28
DE,159,533
DJ,1,1
DK,19,54
DO,1,1
DZ,1,1
EC,1,2
EE,4,7
EG,2,2
ES,72,121
ET,13,10
FI,15,55
FR,234,453
GB,153,699
GF,3,2
GH,3,4
GL,2,6
GM,1,1
GP,1,1
GR,13,24
GY,1,1
HK,6,27
HR,2,2
HU,6,7
ID,5,7
IE,13,21
IL,6,17
IN,59,68
IR,7,8
IS,4,5
IT,87,154
JM,2,3
JP,100,194
KE,14,17
KH,2,2
KR,35,74
KZ,1,8
LB,2,5
LK,2,2
LT,2,2
MA,6,9
MD,2,2
ME,2,15
MK,1,2
MN,1,1
MO,2,3
MQ,1,1
MX,9,11
MY,7,5
MZ,1,1
NE,1,2
NG,7,7
NL,48,187
NO,34,136
NP,3,5
NZ,16,45
OM,1,1
PA,1,2
PE,7,5
PG,1,1
PH,4,11
PK,3,2
PL,12,14
PR,4,3
PT,19,28
RE,3,1
RO,8,16
RU,73,73
RW,3,6
SA,6,21
SD,2,2
SE,33,116
SG,7,13
SI,2,5
SJ,1,4
SK,10,29
SL,2,3
SN,2,2
SS,1,5
TH,7,5
TJ,1,4
TN,2,40
TR,16,25
TW,11,8
TZ,1,1
UA,5,5
UG,1,7
US,666,1305
VE,1,1
VN,5,9
ZA,23,64
ZM,1,1
ZW,1,1
