name,lat,lon,fcode,nPapers
Hawaiian Arch,20.0,-152.0,ARCU,3
Dogger Bank,55.25,3.5,ARRU,2
Bay of Fundy,45.0,-66.0,BAY,2
Great Bahama Bank,23.25,-78.0,BNKU,1
Georges Bank,41.25,-67.5,BNKU,1
Dogger Bank,55.0,3.0,BNKU,2
Rockall Bank,57.5,-13.83333,BNKU,1
Spitsbergen Bank,76.0,23.0,BNKU,5
Brazil Basin,-15.0,-25.0,BSNU,2
Angola Basin,-15.0,3.0,BSNU,1
Cape Basin,-37.0,7.0,BSNU,1
Argentine Basin,-45.0,-45.0,BSNU,1
Southeast Pacific Basin,-60.0,-115.0,BSNU,4
Guinea Basin,0.0,-5.0,BSNU,1
Cariaco Basin,10.61667,-65.16667,BSNU,1
Northeast Pacific Basin,20.0,-140.0,BSNU,16
Murray Basin,27.08333,-93.6,BSNU,1
Guaymas Basin,27.25,-111.5,BSNU,1
Levantine Basin,33.0,29.0,BSNU,1
Santa Barbara Basin,34.25,-120.05,BSNU,1
Iberian Basin,39.0,-16.0,BSNU,1
Tyrrhenian Basin,40.0,13.0,BSNU,5
Northwest Pacific Basin,40.0,155.0,BSNU,7
Murray Basin,42.5,-69.83333,BSNU,1
Central Pacific Basin,5.0,-175.0,BSNU,15
Murray Basin,51.61667,176.45,BSNU,1
Iceland Basin,61.0,-19.0,BSNU,4
Irminger Basin,61.0,-36.0,BSNU,2
Canada Basin,80.0,-145.0,BSNU,2
Nansen Basin,84.5,75.0,BSNU,1
Makarov Basin,87.0,170.0,BSNU,1
Eurasia Basin,87.0,80.0,BSNU,6
Mid-Atlantic Ridge,0.0,-20.0,CDAU,3
North Passage,-16.2,150.03333,CHN,1
Bransfield Strait,-63.0,-59.0,CHNM,1
Antarctic Circumpolar Current,-62.64985,-4.15661,CRNT,1
Kuroshio,40.0,150.0,CRNT,2
Sahara,26.0,13.0,DSRT,49
Saharan Fan,24.5,-18.33333,FANU,3
Charlie-Gibbs Fracture Zone,52.75,-35.5,FRZU,1
Gulf of Oman,25.0,58.0,GULF,1
Gulf of Sidra,31.5,18.0,GULF,1
Gulf of Lion,43.0,4.0,GULF,6
South Pacific Islands,-14.43468,174.11133,ISLS,25
Spratly Islands,10.0,114.0,ISLS,1
Mariana Islands,17.79054,145.89844,ISLS,2
Andes Mountains,-16.87815,-70.30151,MTS,2
Himalayas,28.0,84.0,MTS,31
Atlas Mountains,32.0,-2.0,MTS,3
Pyrenees,42.66667,1.0,MTS,9
Alps,46.41667,10.0,MTS,26
Carpathians,47.0,25.5,MTS,1
Jura,47.16667,7.0,MTS,1
Southern Ocean,-60.0,90.0,OCN,231
Atlantic Ocean,10.0,-25.0,OCN,117
Pacific Ocean,3.51342,-132.1875,OCN,219
Arabian Peninsula,25.0,45.0,PEN,21
Korean Peninsula,38.62545,127.55127,PEN,4
Malay Peninsula,4.03962,102.12891,PEN,2
Iberian Peninsula,40.0,-5.0,PEN,17
Kerguelen Plateau,-55.0,75.0,PLTU,3
Yermak Plateau,82.0,5.0,PLTU,1
North Pole,90.0,0.0,PT,8
Mentawai Ridge,-1.0,98.66667,RDGU,1
