instr,firstStartYear,lastStartYear,nDsDated
11.5um Radiometer,1969,1970,28
6.7um Radiometer,1969,1970,28
AATSR,1982,2021,69
ABI,1982,2023,60
ACC,1900,2021,47
ACE-FTS,1979,2004,10
ACRIM,2000,2000,2
ACRIM II,1979,2004,17
AHI,1983,2022,24
AIRS,1978,2023,799
ALT (TOPEX),1950,2021,26
ALTIKA Altimeter,1992,2020,5
ALTIMETERS,1958,2021,54
AMI,1985,2021,31
AMR,1950,2022,110
AMR-2,1992,2021,21
AMR-C,1992,2020,49
AMSR,1978,2003,3
AMSR-E,1950,2023,1305
AMSR2,1978,2024,77
AMSU-A,1970,2023,848
AMSU-B,1970,2025,832
AQUARIUS_RADIOMETER,2011,2011,173
AQUARIUS_SCATTEROMETER,2011,2011,173
ASAR,1982,2021,69
ASCAT,1982,2025,99
ASTER,1950,2023,864
ATLAS,1985,2025,44
ATMOS,1985,1985,7
ATMS,1978,2025,925
ATSR-2,1985,2021,31
AVCS Nimbus-1,1964,1969,10
AVCS Nimbus-2,1964,1969,12
AVHRR,1962,2025,646
AVHRR-2,1970,2021,139
AVHRR-3,1970,2025,481
AWIFS,2007,2008,3
BUV,1969,1970,28
C-SAR,1972,2024,27
CALIOP,1979,2020,76
CAMERA,1974,2019,20
CAMERAS,1962,2021,108
CATS,1979,2022,131
CCD IMAGER,2000,2021,48
CD,1985,2003,18
CERES SCANNER,1950,2025,2069
CERES-FM1,1950,2023,793
CERES-FM2,1950,2023,793
CERES-FM3,1978,2023,717
CERES-FM4,1978,2023,717
CERES-FM5,1978,2025,526
CERES-FM6,1978,2025,340
CERES-PFM,1982,2014,80
CLAES,1979,2004,17
CloudSat-CPR,2006,2006,6
Computer,1962,2025,197
COWVR,1979,2022,131
CrIS,1978,2025,1533
CZCS,1966,2005,74
DDMI,2017,2024,45
DORIS,1950,2022,187
DORIS GROUND STATION BEACON,1950,2021,46
DPR,1982,2022,51
ECOSTRESS,1979,2022,131
EMIT Imaging Spectrometer,1979,2022,131
EPIC,2015,2020,26
ERB-SCANNER,1970,2016,129
ERBE,1970,2016,129
ERBE WFOV Nonscanner,1978,1992,72
ERS-1 ALTIMETER,1985,2021,25
ERS-2 Altimeter,1985,2021,24
ESMR,1970,1978,27
ETM+,1948,2013,61
GEDI,1979,2022,131
GEOS-3 ALTIMETER,1975,1975,2
GFC RADIOMETER,1984,1994,6
GFO Altimeter,1993,2021,3
GIS,2002,2012,7
GLAS,1958,2007,24
GLM,1982,2023,45
GMI,1982,2022,51
GNSS,1992,2020,49
GNSS RECEIVER,1992,2020,49
GNSS-RO RECEIVER,1992,2020,49
GOES I-M Imager,1966,2014,41
GOES N-P Imager,1966,2021,32
GOES-10 Imager,1983,2013,13
