instr,nPlat,nDs
11.5um Radiometer,1,28
6.7um Radiometer,1,28
AATSR,1,69
ABI,4,60
ACC,2,47
ACE-FTS,1,10
ACRIM,1,2
ACRIM II,1,17
AHI,2,24
AIRS,2,799
ALT (TOPEX),1,26
ALTIKA Altimeter,1,5
ALTIMETERS,4,54
AMI,2,31
AMR,5,110
AMR-2,1,21
AMR-C,1,49
AMSR,1,3
AMSR-E,3,1305
AMSR2,1,77
AMSU-A,7,848
AMSU-B,6,832
AQUARIUS_RADIOMETER,3,173
AQUARIUS_SCATTEROMETER,3,173
ASAR,1,69
ASCAT,5,99
ASTER,2,864
ATLAS,1,44
ATMOS,5,7
ATMS,4,926
ATSR-2,2,31
AVCS Nimbus-1,1,10
AVCS Nimbus-2,1,12
AVHRR,23,646
AVHRR-2,7,139
AVHRR-3,8,481
AWIFS,1,3
BUV,1,28
C-SAR,5,27
CALIOP,1,76
CAMERA,6,20
CAMERAS,9,108
CATS,1,131
CCD IMAGER,2,48
CD,1,18
CERES SCANNER,5,2070
CERES-FM1,1,793
CERES-FM2,1,793
CERES-FM3,1,717
CERES-FM4,1,717
CERES-FM5,1,527
CERES-FM6,2,340
CERES-PFM,1,80
CLAES,1,17
CloudSat-CPR,1,6
Computer,7,197
COWVR,1,131
CrIS,4,1534
CZCS,1,74
DDMI,1,45
DORIS,16,187
DORIS GROUND STATION BEACON,9,46
DPR,1,51
ECOSTRESS,1,131
EMIT Imaging Spectrometer,1,131
EPIC,1,26
ERB-SCANNER,3,129
ERBE,3,129
ERBE WFOV Nonscanner,2,72
ERS-1 ALTIMETER,1,25
ERS-2 Altimeter,1,24
ESMR,2,27
ETM+,2,61
GEDI,1,131
GEOS-3 ALTIMETER,1,2
GFC RADIOMETER,3,6
GFO Altimeter,1,3
GIS,1,7
GLAS,2,24
GLM,4,45
GMI,1,51
GNSS,1,49
GNSS RECEIVER,1,49
GNSS-RO RECEIVER,1,49
GOES I-M Imager,9,41
GOES N-P Imager,3,32
GOES-10 Imager,1,13
GOES-11 Imager,2,30
