k,nKeywords,nProjects,nDaacs
11.5um radiometer,7,2,2
6.7um radiometer,7,2,2
aatsr,39,8,6
abi,17,20,5
acc,21,7,2
ace-fts,3,1,1
acrim,4,1,1
acrim ii,8,4,2
ahi,6,6,4
airs,51,35,14
alt (topex),10,8,3
altika altimeter,7,2,2
altimeters,39,11,6
ami,31,10,5
amr,26,12,4
amr-2,10,5,3
amr-c,12,4,3
amsr,8,1,2
amsr-e,62,47,14
amsr2,25,11,6
amsu-a,50,40,14
amsu-b,50,40,14
aquarius_radiometer,14,2,2
aquarius_scatterometer,14,2,2
asar,39,8,6
ascat,38,18,7
aster,59,39,13
atlas,19,1,1
atmos,5,1,1
atms,54,24,13
atsr-2,31,10,5
avcs nimbus-1,5,1,2
avcs nimbus-2,5,1,2
avhrr,55,49,14
avhrr-2,35,15,8
avhrr-3,44,32,13
awifs,4,2,1
buv,7,2,2
c-sar,16,1,3
caliop,17,3,2
camera,11,2,2
cameras,39,14,6
cats,37,10,6
ccd imager,25,11,5
cd,20,1,2
ceres scanner,71,55,15
ceres-fm1,59,33,11
ceres-fm2,59,33,11
ceres-fm3,49,31,14
ceres-fm4,49,31,14
ceres-fm5,53,19,13
ceres-fm6,39,18,11
ceres-pfm,29,11,5
claes,8,4,2
cloudsat-cpr,9,2,2
computer,42,27,9
cowvr,37,10,6
cris,61,41,15
czcs,24,6,5
ddmi,13,1,2
doris,56,23,8
doris ground station beacon,28,14,5
dpr,13,9,3
ecostress,37,10,6
emit imaging spectrometer,37,10,6
epic,19,1,1
erb-scanner,32,15,7
erbe,32,15,7
erbe wfov nonscanner,23,13,5
ers-1 altimeter,26,8,4
ers-2 altimeter,27,9,5
esmr,12,3,2
etm+,33,4,4
gedi,37,10,6
geos-3 altimeter,5,2,2
gfc radiometer,3,1,1
gfo altimeter,2,1,1
gis,9,1,2
glas,22,1,2
glm,17,13,5
gmi,13,9,3
gnss,12,4,3
gnss receiver,12,4,3
gnss-ro receiver,12,4,3
goes i-m imager,28,18,4
goes n-p imager,12,13,6
goes-10 imager,20,6,3
goes-11 imager,17,10,4
goes-12 imager,17,6,3
goes-13 imager,7,11,4
goes-14 imager,4,3,3
goes-15 imager,12,10,6
goes-16 imager,21,16,7
goes-17 imager,12,10,5
goes-8 imager,24,10,3
goes-9 imager,16,7,2
gome,27,9,5
gome-2,23,12,6
gps,76,67,14
gps p,18,3,2
gps receiver,20,1,2
gps receivers,18,3,2
gpsp,29,9,4
grace acc,21,7,2
grace interferometer,21,7,2
