k,instr,nPlat,nDs,nKeywords,nProjects,nDaacs,allPubs,dsWithPubs,firstStartYear,lastStartYear,nDsDated,R1_cmMentionPapers,R2_cmModelPapers,R2_cmDistinctModels,R3_doiPapers,R3_doiDatasets,R4_modelTitlePubs,R4_modelTitleDatasets,R1b_platMentionPapers,R5_nSoleVars,R5_soleVars,fracDs,R5_nModelVars,category,soleKeyword
11.5um radiometer,11.5um Radiometer,1,28,7,2,2,0.0,0.0,1969,1970,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.11111,0,science instrument,
6.7um radiometer,6.7um Radiometer,1,28,7,2,2,0.0,0.0,1969,1970,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.11111,0,science instrument,
aatsr,AATSR,1,69,39,8,6,657.0,24.0,1982,2021,69,3.0,1.0,1.0,1.0,1.0,8.0,4.0,36.0,0.0,,9.85714,0,science instrument,
abi,ABI,4,60,17,20,5,59.0,13.0,1982,2023,60,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,,25.3333,0,science instrument,
acc,ACC,2,47,21,7,2,169.0,23.0,1900,2021,47,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,,7.66667,0,science instrument,
ace-fts,ACE-FTS,1,10,3,1,1,19.0,8.0,1979,2004,10,6.0,2.0,27.0,0.0,0.0,2.0,1.0,0.0,0.0,,10.0,0,science instrument,
acrim,ACRIM,1,2,4,1,1,0.0,0.0,2000,2000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,2.0,0,science instrument,
acrim ii,ACRIM II,1,17,8,4,2,44.0,10.0,1979,2004,17,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,,4.25,0,science instrument,
ahi,AHI,2,24,6,6,4,56.0,9.0,1983,2022,24,1.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,,24.0,0,science instrument,
airs,AIRS,2,799,51,35,14,7203.0,422.0,1978,2023,799,10.0,2.0,2.0,7.0,9.0,148.0,93.0,73.0,0.0,,87.0833,0,science instrument,
alt (topex),ALT (TOPEX),1,26,10,8,3,72.0,10.0,1950,2021,26,0.0,0.0,0.0,0.0,0.0,5.0,2.0,12.0,0.0,,3.25,0,science instrument,
altika altimeter,ALTIKA Altimeter,1,5,7,2,2,7.0,1.0,1992,2020,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,2.5,0,science instrument,
altimeters,ALTIMETERS,4,54,39,11,6,945.0,42.0,1958,2021,54,0.0,0.0,0.0,1.0,1.0,19.0,8.0,17.0,0.0,,10.3214,0,generic GCMD class,
ami,AMI,2,31,31,10,5,746.0,21.0,1985,2021,31,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,,4.75,0,science instrument,
amr,AMR,5,110,26,12,4,124.0,29.0,1950,2022,110,1.0,0.0,0.0,0.0,0.0,5.0,2.0,16.0,0.0,,23.8194,0,science instrument,
amr-2,AMR-2,1,21,10,5,3,72.0,10.0,1992,2021,21,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,,3.5,0,science instrument,
amr-c,AMR-C,1,49,12,4,3,24.0,7.0,1992,2020,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,5.44444,0,science instrument,
amsr,AMSR,1,3,8,1,2,31.0,1.0,1978,2003,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.5,0,science instrument,
amsr-e,AMSR-E,3,1305,62,47,14,13553.0,630.0,1950,2023,1305,18.0,6.0,22.0,13.0,19.0,227.0,155.0,110.0,0.0,,159.174,0,science instrument,
amsr2,AMSR2,1,77,25,11,6,549.0,41.0,1978,2024,77,0.0,0.0,0.0,1.0,1.0,17.0,6.0,1.0,0.0,,77.0,0,science instrument,
amsu-a,AMSU-A,7,848,50,40,14,6752.0,403.0,1970,2023,848,7.0,3.0,28.0,8.0,8.0,135.0,89.0,73.0,0.0,,100.379,0,science instrument,
amsu-b,AMSU-B,6,832,50,40,14,6766.0,399.0,1970,2025,832,0.0,0.0,0.0,8.0,8.0,135.0,87.0,73.0,0.0,,87.375,0,science instrument,
aquarius_radiometer,AQUARIUS_RADIOMETER,3,173,14,2,2,64.0,22.0,2011,2011,173,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,86.5,0,science instrument,
aquarius_scatterometer,AQUARIUS_SCATTEROMETER,3,173,14,2,2,64.0,22.0,2011,2011,173,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,86.5,0,science instrument,
asar,ASAR,1,69,39,8,6,657.0,24.0,1982,2021,69,0.0,0.0,0.0,1.0,1.0,8.0,4.0,36.0,0.0,,9.85714,0,science instrument,
ascat,ASCAT,5,99,38,18,7,824.0,48.0,1982,2025,99,5.0,1.0,1.0,0.0,0.0,15.0,15.0,13.0,0.0,,15.8611,0,science instrument,
aster,ASTER,2,864,59,39,13,11687.0,375.0,1950,2023,864,8.0,0.0,0.0,12.0,16.0,171.0,109.0,80.0,0.0,,95.7576,0,science instrument,
atlas,ATLAS,1,44,19,1,1,524.0,34.0,1985,2025,44,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,,44.0,0,science instrument,BATHYMETRY/SEAFLOOR TOPOGRAPHY
atmos,ATMOS,5,7,5,1,1,0.0,0.0,1985,1985,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.0,0,science instrument,
atms,ATMS,4,926,54,24,13,686.0,204.0,1978,2025,925,0.0,0.0,0.0,1.0,1.0,9.0,15.0,4.0,0.0,,152.702,0,science instrument,
atsr-2,ATSR-2,2,31,31,10,5,746.0,21.0,1985,2021,31,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,,4.75,0,science instrument,
avcs nimbus-1,AVCS Nimbus-1,1,10,5,1,2,3.0,2.0,1964,1969,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.33333,0,science instrument,
avcs nimbus-2,AVCS Nimbus-2,1,12,5,1,2,3.0,2.0,1964,1969,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0,science instrument,
avhrr,AVHRR,23,646,55,49,14,1321.0,111.0,1962,2025,646,27.0,9.0,32.0,2.0,2.0,51.0,31.0,41.0,0.0,,161.273,0,science instrument,
avhrr-2,AVHRR-2,7,139,35,15,8,679.0,26.0,1970,2021,139,0.0,0.0,0.0,1.0,1.0,23.0,6.0,4.0,0.0,,51.9107,0,science instrument,
avhrr-3,AVHRR-3,8,481,44,32,13,650.0,80.0,1970,2025,481,0.0,0.0,0.0,2.0,2.0,17.0,21.0,4.0,0.0,,82.0813,0,science instrument,
awifs,AWIFS,1,3,4,2,1,0.0,0.0,2007,2008,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0,science instrument,
buv,BUV,1,28,7,2,2,0.0,0.0,1969,1970,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.11111,0,science instrument,
c-sar,C-SAR,5,27,16,1,3,842.0,21.0,1972,2024,27,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,0.0,,30.5,0,science instrument,
caliop,CALIOP,1,76,17,3,2,260.0,40.0,1979,2020,76,0.0,0.0,0.0,0.0,0.0,9.0,6.0,26.0,0.0,,25.3333,0,science instrument,
camera,CAMERA,6,20,11,2,2,194.0,10.0,1974,2019,20,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,,12.5,0,generic GCMD class,
cameras,CAMERAS,9,108,39,14,6,199.0,15.0,1962,2021,108,0.0,0.0,0.0,0.0,0.0,2.0,1.0,20.0,0.0,,29.9444,0,generic GCMD class,
cats,CATS,1,131,37,10,6,350.0,47.0,1979,2022,131,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,,11.9091,0,science instrument,
ccd imager,CCD IMAGER,2,48,25,11,5,33.0,11.0,2000,2021,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,14.1667,0,generic GCMD class,
cd,CD,1,18,20,1,2,76.0,16.0,1985,2003,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,,2.57143,0,platform/bus subsystem,
ceres scanner,CERES SCANNER,5,2070,71,55,15,13462.0,784.0,1950,2025,2069,0.0,0.0,0.0,13.0,17.0,210.0,154.0,123.0,0.0,,258.555,0,science instrument,
ceres-fm1,CERES-FM1,1,793,59,33,11,11420.0,329.0,1950,2023,793,0.0,0.0,0.0,12.0,14.0,163.0,96.0,80.0,0.0,,72.0909,0,science instrument,
ceres-fm2,CERES-FM2,1,793,59,33,11,11420.0,329.0,1950,2023,793,0.0,0.0,0.0,12.0,14.0,163.0,96.0,80.0,0.0,,72.0909,0,science instrument,
ceres-fm3,CERES-FM3,1,717,49,31,14,6624.0,372.0,1978,2023,717,0.0,0.0,0.0,7.0,7.0,127.0,80.0,73.0,0.0,,59.75,0,science instrument,
ceres-fm4,CERES-FM4,1,717,49,31,14,6624.0,372.0,1978,2023,717,0.0,0.0,0.0,7.0,7.0,127.0,80.0,73.0,0.0,,59.75,0,science instrument,
ceres-fm5,CERES-FM5,1,527,53,19,13,568.0,160.0,1978,2025,526,0.0,0.0,0.0,0.0,0.0,5.0,10.0,3.0,0.0,,75.2857,0,science instrument,
ceres-fm6,CERES-FM6,2,340,39,18,11,229.0,49.0,1978,2025,340,0.0,0.0,0.0,1.0,1.0,6.0,6.0,4.0,0.0,,48.75,0,science instrument,
ceres-pfm,CERES-PFM,1,80,29,11,5,200.0,33.0,1982,2014,80,0.0,0.0,0.0,1.0,1.0,12.0,4.0,17.0,0.0,,11.4286,0,science instrument,
claes,CLAES,1,17,8,4,2,44.0,10.0,1979,2004,17,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,,4.25,0,science instrument,
cloudsat-cpr,CloudSat-CPR,1,6,9,2,2,20.0,4.0,2006,2006,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,6.0,0,science instrument,
computer,Computer,7,197,42,27,9,418.0,49.0,1962,2025,197,0.0,0.0,0.0,1.0,1.0,12.0,15.0,15.0,0.0,,33.854,0,platform/bus subsystem,
cowvr,COWVR,1,131,37,10,6,350.0,47.0,1979,2022,131,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,,11.9091,0,science instrument,
cris,CrIS,4,1534,61,41,15,7042.0,562.0,1978,2025,1533,1.0,1.0,1.0,7.0,7.0,131.0,92.0,73.0,0.0,,183.786,0,science instrument,
czcs,CZCS,1,74,24,6,5,1536.0,33.0,1966,2005,74,0.0,0.0,0.0,5.0,3.0,69.0,10.0,0.0,0.0,,8.22222,0,science instrument,
ddmi,DDMI,1,45,13,1,2,120.0,27.0,2017,2024,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,45.0,0,science instrument,WATER QUALITY
doris,DORIS,16,187,56,23,8,988.0,55.0,1950,2022,187,0.0,0.0,0.0,2.0,2.0,11.0,7.0,62.0,0.0,,61.5099,0,science instrument,
doris ground station beacon,DORIS GROUND STATION BEACON,9,46,28,14,5,355.0,22.0,1950,2021,46,0.0,0.0,0.0,1.0,1.0,8.0,5.0,27.0,0.0,,30.3333,0,platform/bus subsystem,
dpr,DPR,1,51,13,9,3,166.0,33.0,1982,2022,51,0.0,0.0,0.0,1.0,1.0,13.0,6.0,7.0,0.0,,25.5,0,science instrument,
ecostress,ECOSTRESS,1,131,37,10,6,350.0,47.0,1979,2022,131,2.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,,11.9091,0,science instrument,
emit imaging spectrometer,EMIT Imaging Spectrometer,1,131,37,10,6,350.0,47.0,1979,2022,131,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,,11.9091,0,science instrument,
epic,EPIC,1,26,19,1,1,17.0,7.0,2015,2020,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,8.66667,0,science instrument,
erb-scanner,ERB-SCANNER,3,129,32,15,7,644.0,26.0,1970,2016,129,0.0,0.0,0.0,1.0,1.0,19.0,4.0,5.0,0.0,,22.6,0,science instrument,
erbe,ERBE,3,129,32,15,7,644.0,26.0,1970,2016,129,8.0,4.0,3.0,1.0,1.0,19.0,4.0,5.0,0.0,,22.6,0,science instrument,
