rank,instr,k,category,tier,riskClass,criticality,footprint_score,footprint_frac_score,rank_gap,corroboration,DB,IR,nPlat,nDs,fracDs,allPubs,nKeywords,nProjects,nDaacs,firstStartYear,lastStartYear,R1_cmMentionPapers,R1b_platMentionPapers,R2_cmModelPapers,R2_cmDistinctModels,R3_doiPapers,R4_modelTitlePubs,R5_nModelVars,R5_nSoleVars,R5_soleVars,soleKeyword,nSources
1,MODIS,modis,science instrument,A,A: broadly relied on,100.0,94.5136,93.3979,3.0,5,1.0,1.0,5,1414,187.241,13629.0,65,56,16,1950,2023,170.0,125.0,60.0,52.0,13.0,229.0,0,4.0,albsn | nppLut | tsSprd | vegFrac,,2
2,AMSR-E,amsr-e,science instrument,A,A: broadly relied on,59.2003,93.359,90.0796,3.0,5,0.8036,0.0,3,1305,159.174,13553.0,62,47,14,1950,2023,18.0,110.0,6.0,22.0,13.0,227.0,0,0.0,,,2
3,MISR,misr,science instrument,A,A: broadly relied on,57.3666,87.4247,79.7206,5.0,5,0.7703,0.0,2,864,95.7576,11687.0,59,39,13,1950,2023,16.0,80.0,6.0,15.0,12.0,171.0,0,0.0,,,2
4,MOPITT,mopitt,science instrument,A,A: broadly relied on,53.3442,86.1911,73.9558,9.0,5,0.6972,0.0,1,793,72.0909,11420.0,59,33,11,1950,2023,12.0,80.0,1.0,1.0,12.0,163.0,0,0.0,,,2
5,AMSU-A,amsu-a,science instrument,A,A: broadly relied on,52.0433,87.1558,80.6795,5.0,5,0.6735,0.0,7,848,100.379,6752.0,50,40,14,1970,2023,7.0,73.0,3.0,28.0,8.0,135.0,0,0.0,,,2
6,VIIRS,viirs,science instrument,A,A: broadly relied on,51.9693,96.4979,96.7372,-4.0,5,0.6722,0.0,6,1623,220.452,7068.0,61,42,15,1978,2025,9.0,73.0,3.0,2.0,7.0,131.0,0,0.0,,,2
7,AIRS,airs,science instrument,A,A: broadly relied on,51.6485,86.2995,77.7903,5.0,5,0.6663,0.0,2,799,87.0833,7203.0,51,35,14,1978,2023,10.0,73.0,2.0,2.0,7.0,148.0,0,0.0,,,2
8,SSMIS,ssmis,science instrument,A,A: broadly relied on,50.6121,64.0753,78.0184,26.0,5,0.6475,0.0,7,170,88.0667,1812.0,49,26,7,1958,2024,11.0,22.0,5.0,33.0,8.0,94.0,0,0.0,,,2
9,AVHRR,avhrr,science instrument,A,A: broadly relied on,49.3631,83.2421,90.3472,10.0,5,0.6248,0.0,23,646,161.273,1321.0,55,49,14,1962,2025,27.0,41.0,9.0,32.0,2.0,51.0,0,0.0,,,2
10,ASTER,aster,science instrument,A,A: broadly relied on,47.7991,87.4247,79.7206,-2.0,4,0.6509,0.0,2,864,95.7576,11687.0,59,39,13,1950,2023,8.0,80.0,0.0,0.0,12.0,171.0,0,0.0,,,2
11,CrIS,cris,science instrument,A,A: broadly relied on,46.6714,95.6861,93.0172,-8.0,5,0.5758,0.0,4,1534,183.786,7042.0,61,41,15,1978,2025,1.0,73.0,1.0,1.0,7.0,131.0,0,0.0,,,2
12,OMI,omi,science instrument,A,A: broadly relied on,42.5414,74.185,73.009,11.0,5,0.5008,0.0,1,344,68.8,924.0,31,7,2,1978,2021,17.0,25.0,2.0,4.0,2.0,23.0,0,0.0,,,2
13,CERES SCANNER,ceres scanner,science instrument,B,A: broadly relied on,41.7892,100.0,100.0,-12.0,3,0.5962,0.0,5,2070,258.555,13462.0,71,55,15,1950,2025,0.0,123.0,0.0,0.0,13.0,210.0,0,0.0,,,2
14,TOVS,tovs,science instrument,A,A: broadly relied on,40.9644,68.8977,78.4372,13.0,5,0.4721,0.0,16,238,89.9,802.0,45,30,10,1962,2021,6.0,19.0,5.0,27.0,1.0,36.0,0,0.0,,,2
15,CERES-FM1,ceres-fm1,science instrument,B,A: broadly relied on,40.002,86.1911,73.9558,-2.0,3,0.5637,0.0,1,793,72.0909,11420.0,59,33,11,1950,2023,0.0,80.0,0.0,0.0,12.0,163.0,0,0.0,,,2
16,CERES-FM2,ceres-fm2,science instrument,B,A: broadly relied on,40.002,86.1911,73.9558,-2.0,3,0.5637,0.0,1,793,72.0909,11420.0,59,33,11,1950,2023,0.0,80.0,0.0,0.0,12.0,163.0,0,0.0,,,2
17,MLS,mls,science instrument,A,A: broadly relied on,39.9736,74.5559,74.2237,5.0,5,0.4541,0.0,2,353,73.05,946.0,31,10,2,1978,2021,8.0,25.0,1.0,3.0,2.0,23.0,0,0.0,,,2
18,TES,tes,science instrument,A,A: broadly relied on,39.9736,74.185,73.009,6.0,5,0.4541,0.0,1,344,68.8,924.0,31,7,2,1978,2021,8.0,25.0,1.0,5.0,2.0,23.0,0,0.0,,,2
