study	family	rule	direction	background	tests	n	N	significant	status
OSD-25	GO BP	strict	all	all annotated	9381.0	58.0	7578.0	0.0	run
OSD-25	GO BP	strict	all	retained conditional	5415.0	58.0	2133.0	0.0	run
OSD-25	GO BP	strict	up	all annotated	9381.0	45.0	7578.0	0.0	run
OSD-25	GO BP	strict	up	retained conditional	5415.0	45.0	2133.0	0.0	run
OSD-25	GO BP	strict	down	all annotated	9381.0	13.0	7578.0	0.0	run
OSD-25	GO BP	strict	down	retained conditional	5415.0	13.0	2133.0	0.0	run
OSD-25	GO BP	sensitivity	all	all annotated	9381.0	1548.0	7578.0	12.0	run
OSD-25	GO BP	sensitivity	all	retained conditional	5415.0	1548.0	2133.0	0.0	run
OSD-25	GO BP	sensitivity	up	all annotated	9381.0	1216.0	7578.0	21.0	run
OSD-25	GO BP	sensitivity	up	retained conditional	5415.0	1216.0	2133.0	1.0	run
OSD-25	GO BP	sensitivity	down	all annotated	9381.0	332.0	7578.0	3.0	run
OSD-25	GO BP	sensitivity	down	retained conditional	5415.0	332.0	2133.0	2.0	run
OSD-25	Reactome	strict	all	all annotated	2124.0	46.0	5972.0	0.0	run
OSD-25	Reactome	strict	all	retained conditional	1628.0	46.0	1706.0	0.0	run
OSD-25	Reactome	strict	up	all annotated	2124.0	33.0	5972.0	0.0	run
OSD-25	Reactome	strict	up	retained conditional	1628.0	33.0	1706.0	0.0	run
OSD-25	Reactome	strict	down	all annotated	2124.0	13.0	5972.0	0.0	run
OSD-25	Reactome	strict	down	retained conditional	1628.0	13.0	1706.0	0.0	run
OSD-25	Reactome	sensitivity	all	all annotated	2124.0	1237.0	5972.0	2.0	run
OSD-25	Reactome	sensitivity	all	retained conditional	1628.0	1237.0	1706.0	0.0	run
OSD-25	Reactome	sensitivity	up	all annotated	2124.0	960.0	5972.0	6.0	run
OSD-25	Reactome	sensitivity	up	retained conditional	1628.0	960.0	1706.0	0.0	run
OSD-25	Reactome	sensitivity	down	all annotated	2124.0	277.0	5972.0	3.0	run
OSD-25	Reactome	sensitivity	down	retained conditional	1628.0	277.0	1706.0	4.0	run
OSD-25	RDKG curated genetic	strict	all	all annotated	192.0	2.0	486.0	0.0	run
OSD-25	RDKG curated genetic	strict	all	retained conditional	83.0	2.0	130.0	0.0	run
OSD-25	RDKG curated genetic	strict	up	all annotated	192.0	2.0	486.0	0.0	run
OSD-25	RDKG curated genetic	strict	up	retained conditional	83.0	2.0	130.0	0.0	run
OSD-25	RDKG curated genetic	strict	down	all annotated					skipped: no mapped foreground
OSD-25	RDKG curated genetic	strict	down	retained conditional					skipped: no mapped foreground
OSD-25	RDKG curated genetic	sensitivity	all	all annotated	192.0	93.0	486.0	0.0	run
OSD-25	RDKG curated genetic	sensitivity	all	retained conditional	83.0	93.0	130.0	0.0	run
OSD-25	RDKG curated genetic	sensitivity	up	all annotated	192.0	62.0	486.0	0.0	run
