study	mouse_genes	human_entrez	log2fc	adj_p	direction	tier	score	lipid_terms	diseases	traits	sources_n	sources	ambiguity	rank
OSD-25	Sult1e1	6783	2.6712	0.00269574	up	B	14.26712	lipid metabolic process	alcoholic hepatitis; drug-induced liver injury; familial prostate carcinoma; ischemia reperfusion injury; prostate cancer; prostate carcinoma	LDL cholesterol	4	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	one-to-one	1
OSD-25	Acot1|Acot2|Acot5	10965	2.1145	4.13738e-05	up	C	14.21145	Mitochondrial Fatty Acid Beta-Oxidation; fatty acid metabolic process; lipid metabolic process; long-chain fatty acid metabolic process; very long-chain fatty acid metabolic process	coronary artery disease; myocardial ischemia	HDL cholesterol	4	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	ambiguous	2
OSD-25	Pnpla2	57104	1.4574	6.69068e-07	up	B	14.14574	intracellular triglyceride homeostasis; lipid catabolic process; lipid droplet disassembly; lipid droplet organization; lipid metabolic process; lipid storage; negative regulation of triglyceride storage; positive regulation of triglyceride catabolic process; triglyceride catabolic process	dilated cardiomyopathy; neutral lipid storage myopathy; polycystic ovary syndrome	HDL cholesterol; LDL cholesterol; non-alcoholic fatty liver disease; triglyceride measurement	4	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	one-to-one	3
OSD-25	Elovl6	79071	-1.2864	0.00408496	down	B	14.12864	fatty acid biosynthetic process; fatty acid elongation; fatty acid elongation, monounsaturated fatty acid; fatty acid elongation, saturated fatty acid; fatty acid metabolic process; lipid metabolic process; long-chain fatty acid biosynthetic process; unsaturated fatty acid biosynthetic process; very long-chain fatty acid biosynthetic process	congestive heart failure; heart failure	HDL cholesterol; LDL cholesterol; triglyceride measurement	4	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	one-to-one	4
OSD-25	Adora1	134	1.2317	0.000687742	up	B	14.12317	fatty acid homeostasis; lipid catabolic process; negative regulation of circadian sleep/wake cycle, non-REM sleep; negative regulation of circadian sleep/wake cycle, sleep; negative regulation of lipid catabolic process; positive regulation of lipid catabolic process; triglyceride homeostasis	acquired aneurysmal subarachnoid hemorrhage; colorectal cancer; colorectal carcinoma; colorectal neoplasm; coronary thrombosis; hemoglobinopathy; hypotensive disorder; middle cerebral artery infarction; myocardial infarction; myocardial infarction (disease); schizophrenia; subarachnoid hemorrhage (disease); substance withdrawal syndrome; transient ischemic attack (disease); vertebrobasilar insufficiency	non-alcoholic fatty liver disease; triglyceride measurement	4	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	one-to-one	5
OSD-25	Apoa4	337	1.1963	2.38579e-05	up	B	14.11963	cholesterol efflux; cholesterol homeostasis; cholesterol metabolic process; high-density lipoprotein particle remodeling; lipid catabolic process; lipid homeostasis; lipid transport; lipoprotein metabolic process; negative regulation of plasma lipoprotein oxidation; phospholipid efflux; positive regulation of fatty acid biosynthetic process; positive regulation of triglyceride catabolic process; protein-lipid complex assembly; regulation of cholesterol transport; response to lipid hydroperoxide; response to triglyceride; reverse cholesterol transport; very-low-density lipoprotein particle remodeling	arteriolosclerosis; arteriosclerosis disorder; atherosclerosis; familial hypercholesterolemia; hypercholesterolemia, autosomal dominant; obsolete familial combined hyperlipidemia; schizophrenia	HDL cholesterol; LDL cholesterol; non-alcoholic fatty liver disease; triglyceride measurement	4	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	one-to-one	6
OSD-25	Cyp26a1	1592	-1.1063	0.00627134	down	B	14.11063	lipid metabolic process	Barrett esophagus; adenocarcinoma; carcinoma of esophagus; colonic neoplasm; colorectal cancer; cribriform carcinoma; cribriform carcinoma of breast; endometriosis (disease); endometriosis of uterus; esophageal cancer; familial adenomatous polyposis; genetic intestinal polyposis; granular cell carcinoma; malignant colon neoplasm; ovarian endometriosis; pancreatic neuroendocrine neoplasm; salivary gland basal cell adenocarcinoma; squamous cell carcinoma of colon; tubular adenocarcinoma	HDL cholesterol; LDL cholesterol; triglyceride measurement	4	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	one-to-one	7
OSD-25	Crat	1384	1.0291	4.12544e-06	up	B	14.10291	fatty acid beta-oxidation using acyl-CoA oxidase; fatty acid metabolic process; lipid metabolic process; medium-chain fatty acid metabolic process; short-chain fatty acid metabolic process	neurodegeneration with brain iron accumulation	HDL cholesterol; LDL cholesterol	4	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	one-to-one	8
OSD-25	Gpd2	2820	1.5355	2.09722e-06	up	B	13.15355	Triglyceride catabolism	complex regional pain syndrome; diabetes mellitus (disease); methylmalonic acidemia; osteoporosis; postmenopausal osteoporosis; type 2 diabetes mellitus		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	9
OSD-25	Hsd17b7	51478	1.4382	0.000357923	up	B	13.14382	Cholesterol biosynthesis; cholesterol biosynthetic process; cholesterol biosynthetic process via desmosterol; cholesterol biosynthetic process via lathosterol; lipid metabolic process		LDL cholesterol	3	['spoke-genelab', 'prokn', 'digcfdekg']	one-to-one	10
OSD-25	Tbl1xr1	79718	1.3643	1.70731e-05	up	B	13.13643	BMAL1:CLOCK,NPAS2 activates circadian expression; NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux; Regulation of lipid metabolism by PPARalpha	B-cell neoplasm; Langerhans cell histiocytosis; Pierpont syndrome; acute promyelocytic leukemia; autism (disease); autism spectrum disorder; autism susceptibility 1; benign mesothelioma; bladder benign neoplasm; bladder carcinoma in situ; colorectal adenocarcinoma; familial prostate carcinoma; intellectual disability, autosomal dominant; lymphoma; lymphoma, non-Hodgkin, familial; lymphosarcoma; malignant mesothelioma; mantle cell lymphoma; mesothelioma; non-Hodgkin lymphoma; non-papillary transitional cell carcinoma of the bladder; primary central nervous system lymphoma; prostate cancer; prostate carcinoma; urinary bladder cancer; urinary bladder carcinoma; urinary bladder neoplasm; urinary bladder small cell neuroendocrine carcinoma; urothelial papilloma		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	11
OSD-25	Chka	1119	-1.1629	0.00271557	down	B	13.11629	lipid metabolic process; lipid transport; phospholipid biosynthetic process	isolated spina bifida; lipomyelomeningocele; myelocystocele; myelomeningocele; neural tube defects, susceptibility to; posterior meningocele; spina bifida; spina bifida aperta; spina bifida cystica; spina bifida-hypospadias syndrome; tethered spinal cord syndrome		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	12
OSD-25	Fundc2	65991	1.147	0.000923004	up	B	13.1147	intracellular triglyceride homeostasis		non-alcoholic fatty liver disease; triglyceride measurement	3	['spoke-genelab', 'prokn', 'digcfdekg']	one-to-one	13
OSD-25	Nceh1	57552	1.1282	0.000267698	up	B	13.11282	ether lipid metabolic process; lipid catabolic process; lipid metabolic process; low-density lipoprotein particle clearance		HDL cholesterol	3	['spoke-genelab', 'prokn', 'digcfdekg']	one-to-one	14
OSD-25	Pex19	5824	1.107	2.04299e-06	up	B	13.1107	ABC transporters in lipid homeostasis; negative regulation of lipid binding	Zellweger spectrum disorders; infantile Refsum disease; neonatal adrenoleukodystrophy; peroxisome biogenesis disorder		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	15
OSD-25	Elovl3	83401	1.8779	0.000204746	up	B	12.18779	fatty acid biosynthetic process; fatty acid elongation; fatty acid elongation, monounsaturated fatty acid; fatty acid elongation, polyunsaturated fatty acid; fatty acid elongation, saturated fatty acid; fatty acid metabolic process; lipid metabolic process; unsaturated fatty acid biosynthetic process; very long-chain fatty acid biosynthetic process			2	['spoke-genelab', 'prokn']	one-to-one	16
OSD-25	Tlr5	7100	2.1032	1.96958e-07	up	C	4.21032		Legionnaires' disease; Pontiac fever; drug-induced liver injury; familial prostate carcinoma; legionellosis; melioidosis; pediatric systemic lupus erythematosus; prostate cancer; prostate carcinoma; subacute bacterial endocarditis; systemic lupus erythematosus	HDL cholesterol	4	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	one-to-one	17
OSD-25	Inhbe	83729	1.8836	6.83591e-06	up	C	4.18836		Fabry disease; Wolman disease; breast cancer; breast neoplasm; chylomicron retention disease; hereditary breast carcinoma; hereditary breast ovarian cancer syndrome; lysosomal lipid storage disorder; squamous cell carcinoma of the corpus uteri; undifferentiated carcinoma of the corpus uteri	HDL cholesterol; triglyceride measurement	4	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	one-to-one	18
OSD-25	Cdkn1a	1026	1.6626	0.000240587	up	C	4.16626		HIV infectious disease; atrial fibrillation (disease); benign mesothelioma; colonic neoplasm; colorectal cancer; diabetic nephropathy; diffuse gastric adenocarcinoma; esophageal squamous cell carcinoma; facioscapulohumeral muscular dystrophy; familial prostate carcinoma; gastric cancer; gastric carcinoma; gastric linitis plastica; gastric neoplasm; intestinal cancer; ischemia reperfusion injury; limb-girdle muscular dystrophy; lung cancer; lung neoplasm; malignant colon neoplasm; malignant mesothelioma; mesothelioma; multiple endocrine neoplasia; non-papillary transitional cell carcinoma of the bladder; papilloma; papillomatosis; prostate cancer; prostate carcinoma; squamous cell carcinoma of colon; squamous papilloma; squamous papillomatosis; transitional cell carcinoma; urinary bladder cancer; urinary bladder carcinoma; urinary bladder neoplasm; urinary bladder small cell neuroendocrine carcinoma	triglyceride measurement	4	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	one-to-one	19
OSD-25	Bcl6	604	-1.6103	0.00802322	down	C	4.16103		B-cell neoplasm; Burkitt lymphoma; Langerhans cell histiocytosis; Richter syndrome; acute lymphoblastic/lymphocytic leukemia; diffuse large B-cell lymphoma; follicular lymphoma; interdigitating dendritic cell sarcoma; intravascular large B-cell lymphoma; lymphoma; lymphoma, non-Hodgkin, familial; lymphosarcoma; mantle cell lymphoma; neoplasm of mature B-cells; non-Hodgkin lymphoma; primary mediastinal large B-cell lymphoma; reticulum cell sarcoma; subcutaneous panniculitis-like T-cell lymphoma	HDL cholesterol; triglyceride measurement	4	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	one-to-one	20
OSD-25	Slc22a21|Slc22a5	6584	1.322	2.8774e-07	up	C	4.1322		Crohn disease; Crohn's colitis; benign mesothelioma; dilated cardiomyopathy; heart disease; inflammation of heart layer; inflammatory bowel disease; malignant mesothelioma; mesothelioma; myocarditis; propionic acidemia; systemic primary carnitine deficiency disease	LDL cholesterol	4	['spoke-genelab', 'prokn', 'rdkg', 'digcfdekg']	ambiguous	21
