trait	trait_label	gene	gene_label	weight
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/10006	ABI1	1.73
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/1005	CDH7	1.38
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/1009	CDH11	1.19
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/10165	SLC25A13	1.19
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/10174	SORBS3	1.32
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/10246	SLC17A2	1.17
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/10452	TOMM40	1.69
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/10477	UBE2E3	1.21
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/10512	SEMA3C	1.03
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/1053	CEBPE	1.13
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/10687	PNMA2	1.63
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/10691	GMEB1	1.08
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/10786	SLC17A3	1.28
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/10804	GJB6	1.07
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/10846	PDE10A	1.88
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/10867	TSPAN9	1.14
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/10981	RAB32	1.15
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/1103	CHAT	1.02
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/11034	DSTN	1.48
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/1105	CHD1	1.05
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/11281	POU6F2	1.29
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/113277	TMEM106A	1.05
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/113835	ZNF257	2.73
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/1139	CHRNA7	1.89
http://purl.obolibrary.org/obo/HP_0001394	Cirrhosis	http://www.ncbi.nlm.nih.gov/gene/114784	CSMD2	1.07
