category	K	k	n	N	expected	fold	p	fdr
non-alcoholic fatty liver disease	105	10	124	4604	2.83	3.54	0.0004622835008067507	0.007396536012908011
liver fat measurement	14	2	124	4604	0.38	5.3	0.05300965739066986	0.2834480264102051
non-alcoholic steatohepatitis	2	1	124	4604	0.05	18.56	0.05314650495191346	0.2834480264102051
alcoholic liver disease	19	2	124	4604	0.51	3.91	0.09136171833565394	0.3015161818491439
NAFLD	69	4	124	4604	1.86	2.15	0.11417227864358709	0.3015161818491439
non-alcoholic fatty liver disease severity measurement	5	1	124	4604	0.13	7.43	0.1276568226077898	0.3015161818491439
NAFLD in type 2 diabetes (T2D)	47	3	124	4604	1.27	2.37	0.13191332955900045	0.3015161818491439
primary biliary cirrhosis	116	5	124	4604	3.12	1.6	0.2018690963253938	0.3490971208162634
cirrhosis of liver	10	1	124	4604	0.27	3.71	0.2391319721989722	0.3490971208162634
NAFLD Activity Score (NAS)	63	3	124	4604	1.7	1.77	0.24019646898456584	0.3490971208162634
alcoholic liver cirrhosis	11	1	124	4604	0.3	3.38	0.25966911530896936	0.3490971208162634
Rare metabolic liver disease	259	9	124	4604	6.98	1.29	0.2618228406121975	0.3490971208162634
Liver fat content	40	2	124	4604	1.08	1.86	0.2931083677401364	0.3607487602955525
biliary liver cirrhosis	17	1	124	4604	0.46	2.18	0.3718404933441491	0.4249605638218847
Liver fibrosis score in NAFLD	65	2	124	4604	1.75	1.14	0.5270240486512737	0.5621589852280253
Cirrhosis	74	1	124	4604	1.99	0.5	0.8695540441655412	0.8695540441655412
