category	K	k	n	N	expected	fold	p	fdr	label	id	family	threshold
http://purl.obolibrary.org/obo/GO_0016042	20	4	61	2160	0.56	7.08	0.0019884470985566762	0.027416799277727395	lipid catabolic process	GO_0016042	GO	workflow rule  |log2FC| >= 1
http://purl.obolibrary.org/obo/GO_0006954	50	6	61	2160	1.41	4.25	0.002384069502411078	0.027416799277727395	inflammatory response	GO_0006954	GO	workflow rule  |log2FC| >= 1
http://purl.obolibrary.org/obo/GO_0008285	42	5	61	2160	1.19	4.22	0.005796344520189972	0.04443864132145645	negative regulation of cell population proliferation	GO_0008285	GO	workflow rule  |log2FC| >= 1
http://purl.obolibrary.org/obo/GO_0001822	18	3	61	2160	0.51	5.9	0.01292777191947544	0.0665142194853962	kidney development	GO_0001822	GO	workflow rule  |log2FC| >= 1
http://purl.obolibrary.org/obo/GO_0006629	165	10	61	2160	4.66	2.15	0.015261301400852682	0.0665142194853962	lipid metabolic process	GO_0006629	GO	workflow rule  |log2FC| >= 1
http://purl.obolibrary.org/obo/GO_0006986	20	3	61	2160	0.56	5.31	0.01735153551792944	0.0665142194853962	response to unfolded protein	GO_0006986	GO	workflow rule  |log2FC| >= 1
http://purl.obolibrary.org/obo/GO_0034220	23	3	61	2160	0.65	4.62	0.025387951635366286	0.08341755537334637	monoatomic ion transmembrane transport	GO_0034220	GO	workflow rule  |log2FC| >= 1
http://purl.obolibrary.org/obo/GO_0005975	27	3	61	2160	0.76	3.93	0.03872423855817517	0.1113321858547536	carbohydrate metabolic process	GO_0005975	GO	workflow rule  |log2FC| >= 1
http://purl.obolibrary.org/obo/GO_0006631	51	4	61	2160	1.44	2.78	0.053543523768386225	0.13683344963032035	fatty acid metabolic process	GO_0006631	GO	workflow rule  |log2FC| >= 1
http://purl.obolibrary.org/obo/GO_0007165	187	9	61	2160	5.28	1.7	0.07565453981589627	0.17400544157656145	signal transduction	GO_0007165	GO	workflow rule  |log2FC| >= 1
http://purl.obolibrary.org/obo/GO_0007186	61	4	61	2160	1.72	2.32	0.09096772443732282	0.19020524200531136	G protein-coupled receptor signaling pathway	GO_0007186	GO	workflow rule  |log2FC| >= 1
http://purl.obolibrary.org/obo/GO_0006811	66	4	61	2160	1.86	2.15	0.11339786143173078	0.217345901077484	monoatomic ion transport	GO_0006811	GO	workflow rule  |log2FC| >= 1
http://purl.obolibrary.org/obo/GO_0006457	45	3	61	2160	1.27	2.36	0.13199515933941364	0.23352989729280876	protein folding	GO_0006457	GO	workflow rule  |log2FC| >= 1
http://purl.obolibrary.org/obo/GO_0055085	61	3	61	2160	1.72	1.74	0.24649426230809177	0.40495485950615073	transmembrane transport	GO_0055085	GO	workflow rule  |log2FC| >= 1
