hEntrez	humanSymbol	mouse_symbols	log2fc	log2fc_mean	adj_p_value	n_mouse_map	sign_flip	n_datasets	direction	osd_sources
7170	TPM3	Tpm3-rs7	5.5092	5.5092	0.0183924	1	False	1	up in flight	OSD-47
8912	CACNA1H	Cacna1h	-4.0775	-4.0775	0.0328389	1	False	1	down in flight	OSD-47
7273	TTN	Ttn	-3.7451	-3.7451	0.0337535	1	False	1	down in flight	OSD-47
775	CACNA1C|CACNA1C-IT2	Cacna1c	-2.9471	-2.9471	0.0366324	1	False	1	down in flight	OSD-47
6783	SULT1E1	Sult1e1	2.6712	2.6712	0.00269574	1	False	1	up in flight	OSD-25
63924	CIDEC	Cidec	2.5991	2.5991	1.12049e-06	1	False	1	up in flight	OSD-25
23213	SULF1	Sulf1	-2.5107	-2.5107	0.0178325	1	False	1	down in flight	OSD-47
4616	GADD45B	Gadd45b	2.2018	2.2018	1.79266e-05	1	False	1	up in flight	OSD-25
10965	ACOT2	Acot1|Acot2|Acot5	2.1145	1.5291	4.13738e-05	3	False	1	up in flight	OSD-25
641371	ACOT1	Acot1|Acot2|Acot5	2.1145	1.5291	4.13738e-05	3	False	1	up in flight	OSD-25
7100	TLR5	Tlr5	2.1032	2.1032	1.96958e-07	1	False	1	up in flight	OSD-25
84803	GPAT3	Gpat3	2.0694	2.0694	2.38654e-07	1	False	1	up in flight	OSD-25
3164	NR4A1	Nr4a1	-2.0099	-2.0099	0.00172	1	False	1	down in flight	OSD-25
5918	RARRES1	Rarres1	1.9883	1.9883	7.83277e-05	1	False	1	up in flight	OSD-25
10808	HSPH1	Hsph1	-1.9583	-1.9583	4.32814e-05	1	False	1	down in flight	OSD-25
5157	PDGFRL	Pdgfrl	-1.9574	-1.9574	1.75643e-05	1	False	1	down in flight	OSD-25
83729	INHBE	Inhbe	1.8836	1.8836	6.83591e-06	1	False	1	up in flight	OSD-25
83401	ELOVL3	Elovl3	1.8779	1.8779	0.000204746	1	False	1	up in flight	OSD-25
64222	TOR3A	Tor3a	1.8409	1.8409	6.76353e-06	1	False	1	up in flight	OSD-25
11067	DEPP1	Depp1	-1.7252	-1.3736	0.000281436	1	False	2	down in flight	OSD-25|OSD-47
1026	CDKN1A	Cdkn1a	1.6626	1.6626	0.000240587	1	False	1	up in flight	OSD-25
130013	ACMSD	Acmsd	-1.6147	-1.6147	1.05087e-06	1	False	1	down in flight	OSD-25
604	BCL6	Bcl6	-1.6103	-1.6103	0.00802322	1	False	1	down in flight	OSD-25
56261	GPCPD1	Gpcpd1	1.5945	1.5945	0.000329533	1	False	1	up in flight	OSD-25
84910	TMEM87B	Tmem87b	1.5421	1.5421	1.79266e-05	1	False	1	up in flight	OSD-25
2820	GPD2	Gpd2	1.5355	1.5355	2.09722e-06	1	False	1	up in flight	OSD-25
57561	ARRDC3	Arrdc3	-1.5302	-1.5302	9.44848e-05	1	False	1	down in flight	OSD-47
27314	RAB30	Rab30	1.53	1.53	0.000106862	1	False	1	up in flight	OSD-25
55714	TENM3	Tenm3	1.4948	1.4948	6.5053e-06	1	False	1	up in flight	OSD-25
57104	PNPLA2	Pnpla2	1.4574	1.4574	6.69068e-07	1	False	1	up in flight	OSD-25
51478	HSD17B7	Hsd17b7	1.4382	1.4382	0.000357923	1	False	1	up in flight	OSD-25
1135	CHRNA2	Chrna2	1.4273	1.4273	1.08937e-05	1	False	1	up in flight	OSD-25
79718	TBL1XR1	Tbl1xr1	1.3643	1.3643	1.70731e-05	1	False	1	up in flight	OSD-25
6526	SLC5A3	Slc5a3	-1.3637	-1.3637	3.65326e-06	1	False	1	down in flight	OSD-25
22824	HSPA4L	Hspa4l	-1.3619	-1.3619	1.03034e-07	1	False	1	down in flight	OSD-25
5033	P4HA1	P4ha1	-1.3599	-1.3599	5.61684e-05	1	False	1	down in flight	OSD-25
2353	FOS	Fos	-1.3546	-1.3546	0.0251745	1	False	1	down in flight	OSD-25
8876	VNN1	Vnn1	1.3415	1.3415	0.000358349	1	False	1	up in flight	OSD-25
100528062	GPRASP2|ARMCX5-GPRASP2	Bhlhb9	1.3336	1.3336	0.00035935	1	False	1	up in flight	OSD-25
80823	BHLHB9	Bhlhb9	1.3336	1.3336	0.00035935	1	False	1	up in flight	OSD-25
6584	SLC22A5	Slc22a5	1.322	1.322	2.8774e-07	1	False	1	up in flight	OSD-25
148523	CIART	Ciart	1.3147	1.3147	0.00643471	1	False	1	up in flight	OSD-25
5144	PDE4D	Pde4d	1.3057	1.3057	2.8774e-07	1	False	1	up in flight	OSD-25
55640	FLVCR2	Flvcr2	1.3038	1.3038	0.000738608	1	False	1	up in flight	OSD-25
54946	SLC41A3	Slc41a3	1.2954	1.2954	5.55622e-05	1	False	1	up in flight	OSD-25
2521	FUS	Fus	1.2908	1.2908	9.20916e-06	1	False	1	up in flight	OSD-25
7336	UBE2V2	Ube2v2	1.2881	1.2881	1.61583e-05	1	False	1	up in flight	OSD-25
79071	ELOVL6	Elovl6	-1.2864	-1.2864	0.00408496	1	False	1	down in flight	OSD-25
6906	SERPINA7	Serpina7	1.2807	1.2807	0.0458775	1	False	1	up in flight	OSD-25
22901	ARSG	Arsg	1.2526	1.2526	4.89248e-07	1	False	1	up in flight	OSD-25
6857	SYT1	Syt1	1.2356	1.2356	0.00203409	1	False	1	up in flight	OSD-25
134	ADORA1	Adora1	1.2317	1.2317	0.000687742	1	False	1	up in flight	OSD-25
9697	TRAM2	Tram2	1.216	1.216	2.38654e-07	1	False	1	up in flight	OSD-25
6536	SLC6A9	Slc6a9	1.2135	1.2135	0.000128864	1	False	1	up in flight	OSD-25
337	APOA4	Apoa4	1.1963	1.1963	2.38579e-05	1	False	1	up in flight	OSD-25
253512	SLC25A30	Slc25a30	1.1958	1.1958	0.0103298	1	False	1	up in flight	OSD-25
53838	C11orf24	1810055G02Rik	1.1887	1.1887	0.00080156	1	False	1	up in flight	OSD-25
10110	SGK2	Sgk2	1.1869	1.1869	0.00114471	1	False	1	up in flight	OSD-25
56246	MRAP	Mrap	1.1798	1.1798	0.000118163	1	False	1	up in flight	OSD-25
2863	GPR39	Gpr39	1.1795	1.1795	2.38579e-05	1	False	1	up in flight	OSD-25
51085	MLXIPL	Mlxipl	-1.1792	-1.1792	0.000531668	1	False	1	down in flight	OSD-25
