assay	gene	symbol	taxonomy	log2fc	adj_p_value	group_mean_1	group_mean_2	osd	entrez
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100036520	Gata5os	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.236063	0.0556768	5.95358	6.18964	OSD-25	100036520
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100037278	Niban3	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.257883	0.0615728	6.74491	7.00279	OSD-25	100037278
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100038347	Fam174b	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.267921	0.0784478	6.79171	7.05963	OSD-25	100038347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100038363	F630028O10Rik	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.368132	0.076135	5.87817	6.2463	OSD-25	100038363
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100038392	Gm10785	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.628409	0.0202161	7.94322	8.57163	OSD-25	100038392
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100038464	Gm15441	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.13089	0.000544809	6.62221	5.49131	OSD-25	100038464
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100038574	Gm10415	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.236717	0.0683223	5.31533	5.55205	OSD-25	100038574
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100038732	Gm11681	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.2511	0.0797276	7.17523	7.42633	OSD-25	100038732
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100038746	Gm1976	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.353971	0.0904403	5.87399	6.22797	OSD-25	100038746
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100039678	Gm16419	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.278366	0.0563787	5.2256	5.50397	OSD-25	100039678
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100039681	Zcwpw2	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.522306	0.00142821	4.58844	5.11074	OSD-25	100039681
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100039795	Ildr2	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.739782	0.0220939	8.85371	8.11393	OSD-25	100039795
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-47-65754b3ba1b48856d4afd330ef225e46	http://www.ncbi.nlm.nih.gov/gene/100040691	Gm11914	http://purl.obolibrary.org/obo/NCBITaxon_10090	2.68946	0.0655906	53.9073	9.2921	OSD-47	100040691
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100041036	Gm11360	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.349829	0.061797	6.30609	6.65592	OSD-25	100041036
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-47-65754b3ba1b48856d4afd330ef225e46	http://www.ncbi.nlm.nih.gov/gene/100041449	Cyp3a59	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.96099	0.0524728	884.99	455.304	OSD-47	100041449
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100041655	Gm10863	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.351399	0.076086	5.84204	6.19344	OSD-25	100041655
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100042107	Gm3671	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.494591	0.0292654	11.237	11.7316	OSD-25	100042107
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-47-65754b3ba1b48856d4afd330ef225e46	http://www.ncbi.nlm.nih.gov/gene/100043010	Rpl10-ps6	http://purl.obolibrary.org/obo/NCBITaxon_10090	-6.65616	0.0502381	1.0	20.2936	OSD-47	100043010
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100043040	1110002L01Rik	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.556512	0.0155766	7.01323	7.56974	OSD-25	100043040
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100043546	Gm15542	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.80214	0.00386656	9.16418	9.96632	OSD-25	100043546
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100043580	Septin1|Gm4532	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.396336	0.0201227	7.16015	7.55649	OSD-25	100043580
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100045676	Gm15031	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.352044	0.0107131	6.32477	6.67681	OSD-25	100045676
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100072	Camta1	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.232117	0.0875875	9.13053	9.36265	OSD-25	100072
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100087	Kti12	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.595599	0.00319625	9.87211	9.27651	OSD-25	100087
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100093700	Gm10400	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.270227	0.0997253	5.43121	5.70144	OSD-25	100093700
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100102	Pcsk9	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.91605	0.000679363	7.5022	8.41825	OSD-25	100102
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100126034	Gm10644	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.619292	0.0336902	7.61227	8.23156	OSD-25	100126034
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100134990	Selenok-ps1	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.223825	0.0730265	6.59534	6.81917	OSD-25	100134990
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100163	Pafah2	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.507375	0.00371081	9.93191	9.42454	OSD-25	100163
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100177	Zmym6	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.737589	0.000128864	6.83305	7.57064	OSD-25	100177
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100191011	Gm17383	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.425472	0.0288873	6.69022	7.11569	OSD-25	100191011
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100198	H6pd	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.416613	0.00572543	10.763	11.1796	OSD-25	100198
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100201	Tmem64	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.286194	0.0332034	9.21801	8.93181	OSD-25	100201
