assay	gene	symbol	taxonomy	log2fc	adj_p_value	group_mean_1	group_mean_2	osd	entrez
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100038464	Gm15441	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.13089	0.000544809	6.62221	5.49131	OSD-25	100038464
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-137-2d49c2d99e55a9e2c2729122a7521106	http://www.ncbi.nlm.nih.gov/gene/102465959	Mir6236	http://purl.obolibrary.org/obo/NCBITaxon_10090	3.84639	0.0321181	22.5638	2.54922	OSD-137	102465959
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-47-65754b3ba1b48856d4afd330ef225e46	http://www.ncbi.nlm.nih.gov/gene/105171	Arrdc3	http://purl.obolibrary.org/obo/NCBITaxon_10090	-1.5302	9.44848e-05	1053.99	3042.83	OSD-47	105171
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/106338	Nsun3	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.05279	0.000528475	8.39439	7.3416	OSD-25	106338
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/108148	Galnt2	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.05741	3.38641e-06	9.61108	8.55367	OSD-25	108148
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/108961	E2f8	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.12888	0.0013885	8.21248	7.0836	OSD-25	108961
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/109222	Rarres1	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.98834	7.83277e-05	9.79615	7.80781	OSD-25	109222
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/109785	Pgm3	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.08143	0.00335912	8.50907	7.42764	OSD-25	109785
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/110902	Chrna2	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.4273	1.08937e-05	8.23043	6.80313	OSD-25	110902
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/11539	Adora1	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.23174	0.000687742	8.53444	7.3027	OSD-25	11539
