disease	disease_label	phenotype	phenotype_label	mondo	hp
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0000016	Urinary retention	MONDO_0001382	HP_0000016
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0000083	Renal insufficiency	MONDO_0001382	HP_0000083
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0000092	Renal tubular atrophy	MONDO_0001382	HP_0000092
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0000093	Proteinuria	MONDO_0001382	HP_0000093
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0000096	Glomerular sclerosis	MONDO_0001382	HP_0000096
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0000100	Nephrotic syndrome	MONDO_0001382	HP_0000100
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0000107	Renal cyst	MONDO_0001382	HP_0000107
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0000112	Nephropathy	MONDO_0001382	HP_0000112
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0000421	Epistaxis	MONDO_0001382	HP_0000421
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0000790	Hematuria	MONDO_0001382	HP_0000790
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0000819	Diabetes mellitus	MONDO_0001382	HP_0000819
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0000822	Hypertension	MONDO_0001382	HP_0000822
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0000952	Jaundice	MONDO_0001382	HP_0000952
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0000967	Petechiae	MONDO_0001382	HP_0000967
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0000969	Edema	MONDO_0001382	HP_0000969
