disease	disease_label	gene	gene_symbol	entrez	mondo
http://purl.obolibrary.org/obo/MONDO_0000447	autosomal dominant polycystic liver disease	http://identifiers.org/ncbigene/11231	SEC63	11231	MONDO_0000447
http://purl.obolibrary.org/obo/MONDO_0000447	autosomal dominant polycystic liver disease	http://identifiers.org/ncbigene/4041	LRP5	4041	MONDO_0000447
http://purl.obolibrary.org/obo/MONDO_0000447	autosomal dominant polycystic liver disease	http://identifiers.org/ncbigene/5589	PRKCSH	5589	MONDO_0000447
http://purl.obolibrary.org/obo/MONDO_0000447	autosomal dominant polycystic liver disease	http://identifiers.org/ncbigene/79053	ALG8	79053	MONDO_0000447
http://purl.obolibrary.org/obo/MONDO_0000447	autosomal dominant polycystic liver disease	http://identifiers.org/ncbigene/79796	ALG9	79796	MONDO_0000447
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://identifiers.org/ncbigene/1906	EDN1	1906	MONDO_0001382
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://identifiers.org/ncbigene/3162	HMOX1	3162	MONDO_0001382
http://purl.obolibrary.org/obo/MONDO_0001505	alcoholic hepatitis	http://identifiers.org/ncbigene/3576	CXCL8	3576	MONDO_0001505
http://purl.obolibrary.org/obo/MONDO_0001505	alcoholic hepatitis	http://identifiers.org/ncbigene/412	STS	412	MONDO_0001505
http://purl.obolibrary.org/obo/MONDO_0001505	alcoholic hepatitis	http://identifiers.org/ncbigene/6352	CCL5	6352	MONDO_0001505
http://purl.obolibrary.org/obo/MONDO_0001505	alcoholic hepatitis	http://identifiers.org/ncbigene/6783	SULT1E1	6783	MONDO_0001505
http://purl.obolibrary.org/obo/MONDO_0001505	alcoholic hepatitis	http://identifiers.org/ncbigene/7124	TNF	7124	MONDO_0001505
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/10063	COX17	10063	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/10457	GPNMB	10457	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/10468	FST	10468	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/1356	CP	1356	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/1440	CSF3	1440	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/150684	COMMD1	150684	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/213	ALB	213	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/229	ALDOB	229	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/24145	PANX1	24145	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/2638	GC	2638	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/2671	GFER	2671	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/27232	GNMT	27232	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/2876	GPX1	2876	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/3082	HGF	3082	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/3440	IFNA2	3440	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/355	FAS	355	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/3557	IL1RN	3557	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/356	FASLG	356	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/3624	INHBA	3624	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/3630	INS	3630	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/3855	KRT7	3855	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/3856	KRT8	3856	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/3875	KRT18	3875	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/3880	KRT19	3880	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/4087	SMAD2	4087	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/4233	MET	4233	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/4288	MKI67	4288	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/4489	MT1A	4489	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/462	SERPINC1	462	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/475	ATOX1	475	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/538	ATP7A	538	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/540	ATP7B	540	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/5443	POMC	5443	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/5599	MAPK8	5599	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/59	ACTA2	59	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/6341	SCO1	6341	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/6647	SOD1	6647	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/6774	STAT3	6774	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/7040	TGFB1	7040	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/7124	TNF	7124	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/831	CAST	831	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/836	CASP3	836	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/847	CAT	847	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/972	CD74	972	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://identifiers.org/ncbigene/9973	CCS	9973	MONDO_0002251
http://purl.obolibrary.org/obo/MONDO_0002670	ampulla of vater adenocarcinoma	http://identifiers.org/ncbigene/7428	VHL	7428	MONDO_0002670
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10	NAT2	10	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/100124700	HOTAIR	100124700	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/100126334	MIR885	100126334	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10024	TROAP	10024	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/100507436	MICA	100507436	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10112	KIF20A	10112	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/1012	CDH13	1012	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10188	TNK2	10188	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/1019	CDK4	1019	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/1027	CDKN1B	1027	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/1029	CDKN2A	1029	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10293	TRAIP	10293	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/1031	CDKN2C	1031	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/1033	CDKN3	1033	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10332	CLEC4M	10332	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10397	NDRG1	10397	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10403	NDC80	10403	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10413	YAP1	10413	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10460	TACC3	10460	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10468	FST	10468	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10476	ATP5PD	10476	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10486	CAP2	10486	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/1050	CEBPA	1050	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/1051	CEBPB	1051	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/1052	CEBPD	1052	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10533	ATG7	10533	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10537	UBD	10537	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/105416157	NKILA	105416157	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10553	HTATIP2	10553	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/1058	CENPA	1058	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10584	COLEC10	10584	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/1062	CENPE	1062	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/1063	CENPF	1063	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10642	IGF2BP1	10642	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10643	IGF2BP3	10643	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10669	CGREF1	10669	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/1071	CETP	1071	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10788	IQGAP2	10788	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10855	HPSE	10855	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10894	LYVE1	10894	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10897	YIF1A	10897	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10961	ERP29	10961	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10987	COPS5	10987	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/10990	LILRB5	10990	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/11004	KIF2C	11004	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/11065	UBE2C	11065	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/11082	ESM1	11082	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/11093	ADAMTS13	11093	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/11130	ZWINT	11130	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/11185	INMT	11185	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/112399	EGLN3	112399	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/1124	CHN2	1124	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/113130	CDCA5	113130	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/11315	PARK7	11315	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/11318	GPR182	11318	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/11326	VSIG4	11326	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/114804	RNF157	114804	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/1149	CIDEA	1149	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/114990	VASN	114990	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/116966	WDR17	116966	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/117145	THEM4	117145	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/117159	DCD	117159	MONDO_0002691
http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer	http://identifiers.org/ncbigene/118	ADD1	118	MONDO_0002691
