gene	gene_symbol	disease	doid
http://www.ncbi.nlm.nih.gov/gene/100	ADA	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/1000	CDH2	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10019	SH2B3	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10020	GNE	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10043	TOM1	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/100506658	OCLN	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10056	FARSB	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10068	IL18BP	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10092	ARPC5	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10102	TSFM	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10112	KIF20A	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10125	RASGRP1	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10128	LRPPRC	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10134	BCAP31	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10155	TRIM28	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10159	ATP6AP2	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10165	SLC25A13	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10166	SLC25A15	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10195	ALG3	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10221	TRIB1	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10225	CD96	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/1027	CDKN1B	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10277	UBE4B	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/1028	CDKN1C	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/1029	CDKN2A	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10297	APC2	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/103	ADAR	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10312	TCIRG1	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10320	IKZF1	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10367	MICU1	http://purl.obolibrary.org/obo/DOID_409	DOID_409
