gene,biotype,spoke-okn,rdkg,digcfdekg,gxa_DE,n_assoc_sources,digcfdekg_weight,confidence_tier
IL7R,protein-coding,1,1,1,0,3,10.0,T1 very-high
CD40,protein-coding,1,1,1,0,3,8.73,T1 very-high
IL2RA,protein-coding,1,1,1,0,3,8.47,T1 very-high
CD6,protein-coding,1,1,1,0,3,7.98,T1 very-high
HLA-DRB1,protein-coding,1,1,1,0,3,6.04,T1 very-high
STAT4,protein-coding,1,1,1,0,3,5.86,T1 very-high
TNFSF14,protein-coding,1,1,1,0,3,5.74,T1 very-high
CBLB,protein-coding,1,1,1,0,3,5.13,T1 very-high
IL12A,protein-coding,1,1,1,0,3,4.75,T1 very-high
CD58,protein-coding,1,1,1,0,3,4.67,T1 very-high
IFNG,protein-coding,1,1,1,0,3,4.0,T1 very-high
TNFRSF1A,protein-coding,1,1,1,0,3,3.85,T1 very-high
TYK2,protein-coding,1,1,1,0,3,3.49,T1 very-high
IKZF3,protein-coding,1,0,1,0,2,9.76,T2 high
CD86,protein-coding,1,0,1,1,2,8.5,T2 high
HLA-DQB1,protein-coding,0,1,1,0,2,8.37,T2 high
RGS1,protein-coding,1,0,1,0,2,8.11,T2 high
CXCR5,protein-coding,1,0,1,0,2,8.08,T2 high
BATF,protein-coding,1,0,1,0,2,7.68,T2 high
ETS1,protein-coding,1,0,1,0,2,7.56,T2 high
TNF,protein-coding,1,0,1,0,2,7.46,T2 high
IRF8,protein-coding,0,1,1,0,2,7.38,T2 high
TAGAP,protein-coding,1,0,1,1,2,6.95,T2 high
PTPRC,protein-coding,1,0,1,1,2,6.9,T2 high
TNFAIP3,protein-coding,0,1,1,0,2,6.87,T2 high
LEF1,protein-coding,1,0,1,0,2,6.83,T2 high
SP140,protein-coding,1,0,1,0,2,6.64,T2 high
STAT3,protein-coding,1,0,1,0,2,6.62,T2 high
CD69,protein-coding,1,0,1,0,2,6.38,T2 high
FOXP1,protein-coding,1,0,1,0,2,6.37,T2 high
VCAM1,protein-coding,0,1,1,0,2,6.3,T2 high
