GO,term,k,K,n,N,expected,fold,p,fdr
GO_0007259,cell surface receptor signaling pathway via JAK-STAT,16,47,86,7663,0.53,30.33,1.6698978315121308e-20,2.254362072541377e-18
GO_0006955,immune response,24,227,86,7663,2.55,9.42,1.5259372006641354e-17,1.0300076104482915e-15
GO_0042102,positive regulation of T cell proliferation,8,32,86,7663,0.36,22.28,1.5268511480042997e-09,6.787849093472513e-08
GO_0019221,cytokine-mediated signaling pathway,10,65,86,7663,0.73,13.71,2.011214546214078e-09,6.787849093472513e-08
GO_0002376,immune system process,21,435,86,7663,4.88,4.3,7.862500915233454e-09,2.122875247113033e-07
GO_0097696,cell surface receptor signaling pathway via STAT,6,17,86,7663,0.19,31.45,1.8778149544613964e-08,4.225083647538142e-07
GO_0050729,positive regulation of inflammatory response,8,65,86,7663,0.73,10.97,5.426585623458913e-07,1.0465557988099333e-05
GO_0071222,cellular response to lipopolysaccharide,9,90,86,7663,1.01,8.91,6.216693677975856e-07,1.0490670581584255e-05
GO_0070665,positive regulation of leukocyte proliferation,4,8,86,7663,0.09,44.55,1.0004147711137842e-06,1.2277817645487352e-05
GO_0038110,interleukin-2-mediated signaling pathway,4,8,86,7663,0.09,44.55,1.0004147711137842e-06,1.2277817645487352e-05
GO_0072540,T-helper 17 cell lineage commitment,4,8,86,7663,0.09,44.55,1.0004147711137842e-06,1.2277817645487352e-05
GO_0060333,type II interferon-mediated signaling pathway,4,11,86,7663,0.12,32.4,4.596241776903532e-06,4.9193888707214795e-05
GO_0032731,positive regulation of interleukin-1 beta production,6,40,86,7663,0.45,13.37,4.73718928291698e-06,4.9193888707214795e-05
GO_0002250,adaptive immune response,10,154,86,7663,1.73,5.79,7.66642510958803e-06,7.392624212817028e-05
GO_0050852,T cell receptor signaling pathway,6,47,86,7663,0.53,11.38,1.2445555348330318e-05,0.00010716398030887054
GO_0051240,positive regulation of multicellular organismal process,5,28,86,7663,0.31,15.91,1.2700916184755027e-05,0.00010716398030887054
GO_1900017,positive regulation of cytokine production involved in inflammatory response,4,14,86,7663,0.16,25.46,1.3587467981178461e-05,0.00010790048102700543
GO_0010628,positive regulation of gene expression,11,206,86,7663,2.31,4.76,1.697197789843567e-05,0.00011832604273748417
GO_0042113,B cell activation,5,30,86,7663,0.34,14.85,1.809423082761429e-05,0.00011832604273748417
GO_0033280,response to vitamin D,4,15,86,7663,0.17,23.76,1.8370073343230742e-05,0.00011832604273748417
GO_0045944,positive regulation of transcription by RNA polymerase II,18,531,86,7663,5.96,3.02,1.840627331471976e-05,0.00011832604273748417
GO_0032755,positive regulation of interleukin-6 production,6,51,86,7663,0.57,10.48,2.0138952534236958e-05,0.00012357993600554498
GO_0030225,macrophage differentiation,4,16,86,7663,0.18,22.28,2.4284232628221502e-05,0.00014253788716564795
GO_0043011,myeloid dendritic cell differentiation,3,6,86,7663,0.07,44.55,2.664241783667442e-05,0.00014386905631804187
GO_0032747,positive regulation of interleukin-23 production,3,6,86,7663,0.07,44.55,2.664241783667442e-05,0.00014386905631804187
GO_0007166,cell surface receptor signaling pathway,10,181,86,7663,2.03,4.92,3.154669367036564e-05,0.00016380014021151392
GO_0002639,positive regulation of immunoglobulin production,4,18,86,7663,0.2,19.8,4.013533350190636e-05,0.0002006766675095318
GO_0038043,interleukin-5-mediated signaling pathway,3,7,86,7663,0.08,38.19,4.624583714931952e-05,0.00020810626717193784
GO_0140105,interleukin-10-mediated signaling pathway,3,7,86,7663,0.08,38.19,4.624583714931952e-05,0.00020810626717193784
GO_1902107,positive regulation of leukocyte differentiation,3,7,86,7663,0.08,38.19,4.624583714931952e-05,0.00020810626717193784
GO_0098586,cellular response to virus,5,38,86,7663,0.43,11.72,5.9392713691722396e-05,0.00025864568865750076
GO_0001774,microglial cell activation,4,20,86,7663,0.22,17.82,6.246771533933609e-05,0.00026353567408782415
GO_0032700,negative regulation of interleukin-17 production,3,8,86,7663,0.09,33.41,7.339309057624298e-05,0.00027522408966091115
GO_0035723,interleukin-15-mediated signaling pathway,3,8,86,7663,0.09,33.41,7.339309057624298e-05,0.00027522408966091115
GO_2000343,positive regulation of chemokine (C-X-C motif) ligand 2 production,3,8,86,7663,0.09,33.41,7.339309057624298e-05,0.00027522408966091115
GO_1904894,positive regulation of receptor signaling pathway via STAT,3,8,86,7663,0.09,33.41,7.339309057624298e-05,0.00027522408966091115
GO_0045071,negative regulation of viral genome replication,4,21,86,7663,0.24,16.97,7.650779345885272e-05,0.0002791500572147329
GO_1900182,positive regulation of protein localization to nucleus,4,22,86,7663,0.25,16.2,9.27121233481665e-05,0.0003293720171579599
GO_0051239,regulation of multicellular organismal process,4,23,86,7663,0.26,15.5,0.00011127367599650472,0.0003851781092186702
GO_0043123,positive regulation of canonical NF-kappaB signal transduction,8,135,86,7663,1.52,5.28,0.00012601224027165576,0.00042529131091683823
GO_0032733,positive regulation of interleukin-10 production,4,24,86,7663,0.27,14.85,0.00013239035756110713,0.00042554043501784436
GO_0045582,positive regulation of T cell differentiation,4,24,86,7663,0.27,14.85,0.00013239035756110713,0.00042554043501784436
GO_0042110,T cell activation,5,46,86,7663,0.52,9.69,0.00015116515414736879,0.00044884527455780294
GO_0045321,leukocyte activation,3,10,86,7663,0.11,26.73,0.00015473133336622443,0.00044884527455780294
GO_0060252,positive regulation of glial cell proliferation,3,10,86,7663,0.11,26.73,0.00015473133336622443,0.00044884527455780294
GO_0070102,interleukin-6-mediated signaling pathway,3,10,86,7663,0.11,26.73,0.00015473133336622443,0.00044884527455780294
GO_0045429,positive regulation of nitric oxide biosynthetic process,4,25,86,7663,0.28,14.26,0.0001562646511423462,0.00044884527455780294
GO_0032757,positive regulation of interleukin-8 production,5,47,86,7663,0.53,9.48,0.00016767939209963537,0.0004715982902802245
GO_0032496,response to lipopolysaccharide,6,75,86,7663,0.84,7.13,0.00018163641192505263,0.0005004268491812674
GO_0042116,macrophage activation,3,11,86,7663,0.12,24.3,0.00021103199271221967,0.0005478715195413395
GO_0150078,positive regulation of neuroinflammatory response,3,11,86,7663,0.12,24.3,0.00021103199271221967,0.0005478715195413395
GO_0055010,ventricular cardiac muscle tissue morphogenesis,3,11,86,7663,0.12,24.3,0.00021103199271221967,0.0005478715195413395
GO_0032760,positive regulation of tumor necrosis factor production,6,79,86,7663,0.89,6.77,0.0002419292493028208,0.0006162348802996379
GO_0045087,innate immune response,11,281,86,7663,3.15,3.49,0.0002804330974941688,0.000701082743735422
GO_0006468,protein phosphorylation,9,193,86,7663,2.17,4.16,0.0002917460458752555,0.000716103930784718
GO_0071356,cellular response to tumor necrosis factor,5,53,86,7663,0.59,8.41,0.00029757472676627595,0.0007173676448829866
GO_0071346,cellular response to type II interferon,4,30,86,7663,0.34,11.88,0.00032436470529980077,0.000768232196762686
GO_0048143,astrocyte activation,3,13,86,7663,0.15,20.56,0.00035989007775546073,0.0008376751809825378
GO_0032740,positive regulation of interleukin-17 production,3,14,86,7663,0.16,19.09,0.0004543362440575376,0.0010279071489977987
GO_0045471,response to ethanol,6,89,86,7663,1.0,6.01,0.0004625569785209245,0.0010279071489977987
GO_0032722,positive regulation of chemokine production,4,33,86,7663,0.37,10.8,0.000472075875836026,0.0010279071489977987
GO_0050766,positive regulation of phagocytosis,4,33,86,7663,0.37,10.8,0.000472075875836026,0.0010279071489977987
GO_0032743,positive regulation of interleukin-2 production,4,34,86,7663,0.38,10.48,0.000530471836823352,0.0011367253646214683
GO_2000353,positive regulation of endothelial cell apoptotic process,3,15,86,7663,0.17,17.82,0.0005633277867361146,0.0011882695501464918
GO_0048661,positive regulation of smooth muscle cell proliferation,4,35,86,7663,0.39,10.18,0.0005938306112681734,0.0012333405003262061
GO_0009615,response to virus,5,63,86,7663,0.71,7.07,0.0006675993871585651,0.001365544201006156
GO_0051607,defense response to virus,6,96,86,7663,1.08,5.57,0.0006932378096199225,0.0013762809455689637
GO_0010468,regulation of gene expression,6,96,86,7663,1.08,5.57,0.0006932378096199225,0.0013762809455689637
GO_1902895,positive regulation of miRNA transcription,4,38,86,7663,0.43,9.38,0.0008160100713877759,0.0015166517679257652
GO_0009617,response to bacterium,3,17,86,7663,0.19,15.72,0.0008283447334983365,0.0015166517679257652
GO_0042100,B cell proliferation,3,17,86,7663,0.19,15.72,0.0008283447334983365,0.0015166517679257652
GO_0050680,negative regulation of epithelial cell proliferation,3,17,86,7663,0.19,15.72,0.0008283447334983365,0.0015166517679257652
GO_0030217,T cell differentiation,3,17,86,7663,0.19,15.72,0.0008283447334983365,0.0015166517679257652
GO_0008284,positive regulation of cell population proliferation,10,270,86,7663,3.03,3.3,0.0008313498579741232,0.0015166517679257652
GO_0045672,positive regulation of osteoclast differentiation,3,18,86,7663,0.2,14.85,0.0009859866134976222,0.00177477590429572
GO_0050728,negative regulation of inflammatory response,5,69,86,7663,0.77,6.46,0.0010127339595523246,0.0017989353228889976
GO_0043410,positive regulation of MAPK cascade,6,104,86,7663,1.17,5.14,0.0010565660158776144,0.001852420936928285
GO_0000122,negative regulation of transcription by RNA polymerase II,12,385,86,7663,4.32,2.78,0.0011413654716316657,0.00191207465969275
GO_0071479,cellular response to ionizing radiation,3,19,86,7663,0.21,14.07,0.001161408311813374,0.00191207465969275
GO_0030101,natural killer cell activation,3,19,86,7663,0.21,14.07,0.001161408311813374,0.00191207465969275
GO_0036120,cellular response to platelet-derived growth factor stimulus,3,19,86,7663,0.21,14.07,0.001161408311813374,0.00191207465969275
GO_0060337,type I interferon-mediated signaling pathway,3,19,86,7663,0.21,14.07,0.001161408311813374,0.00191207465969275
GO_0001819,positive regulation of cytokine production,4,43,86,7663,0.48,8.29,0.0013073811406366944,0.002126463301035587
GO_0045892,negative regulation of DNA-templated transcription,10,287,86,7663,3.22,3.1,0.0013242233757616302,0.0021282161396169058
GO_0010557,positive regulation of macromolecule biosynthetic process,3,21,86,7663,0.24,12.73,0.001568477540617117,0.0024621449765501254
GO_0097421,liver regeneration,3,21,86,7663,0.24,12.73,0.001568477540617117,0.0024621449765501254
GO_0050793,regulation of developmental process,3,22,86,7663,0.25,12.15,0.0018014931328174766,0.0027636542378449928
GO_0042267,natural killer cell mediated cytotoxicity,3,22,86,7663,0.25,12.15,0.0018014931328174766,0.0027636542378449928
GO_0042552,myelination,3,24,86,7663,0.27,11.14,0.0023296882933091247,0.003456130984579471
GO_0045599,negative regulation of fat cell differentiation,3,24,86,7663,0.27,11.14,0.0023296882933091247,0.003456130984579471
GO_0006959,humoral immune response,3,24,86,7663,0.27,11.14,0.0023296882933091247,0.003456130984579471
GO_0071260,cellular response to mechanical stimulus,4,51,86,7663,0.57,6.99,0.0024732916305347003,0.0036292866317628753
GO_0006952,defense response,4,53,86,7663,0.59,6.72,0.002849327686313394,0.004136120834971056
GO_0097191,extrinsic apoptotic signaling pathway,3,28,86,7663,0.31,9.55,0.0036509175829113755,0.0052433390818408055
GO_0050796,regulation of insulin secretion,3,29,86,7663,0.33,9.22,0.004039462460704589,0.005740288759948626
GO_0034341,response to type II interferon,3,30,86,7663,0.34,8.91,0.004452251100194014,0.006223205112817037
GO_0032355,response to estradiol,4,60,86,7663,0.67,5.94,0.0044714881180981676,0.006223205112817037
GO_0050830,defense response to Gram-positive bacterium,3,31,86,7663,0.35,8.62,0.0048897154319693555,0.006601115833158629
GO_0050829,defense response to Gram-negative bacterium,3,31,86,7663,0.35,8.62,0.0048897154319693555,0.006601115833158629
GO_0019882,antigen processing and presentation,3,31,86,7663,0.35,8.62,0.0048897154319693555,0.006601115833158629
GO_0006954,inflammatory response,8,245,86,7663,2.75,2.91,0.006020360751907479,0.008047016846609006
GO_0001837,epithelial to mesenchymal transition,3,35,86,7663,0.39,7.64,0.0068941641649661566,0.009036040410392536
GO_0007173,epidermal growth factor receptor signaling pathway,3,35,86,7663,0.39,7.64,0.0068941641649661566,0.009036040410392536
GO_0070098,chemokine-mediated signaling pathway,3,36,86,7663,0.4,7.43,0.007460689605480186,0.009684549007113703
GO_0071347,cellular response to interleukin-1,3,37,86,7663,0.42,7.22,0.008054012264287366,0.010355158625512327
GO_0006355,regulation of DNA-templated transcription,11,429,86,7663,4.81,2.28,0.008159508058119758,0.010391826300435541
