aspect,GO,term,k,K,n,N,expected,fold,p,fdr
MF,GO_0005125,cytokine activity,10,83,65,8033,0.67,14.89,8.988711568827541e-10,3.865145974595842e-08
MF,GO_0015026,coreceptor activity,6,50,65,8033,0.4,14.83,2.6686516929707502e-06,5.737601139887113e-05
MF,GO_0042802,identical protein binding,21,972,65,8033,7.87,2.67,1.415915064964227e-05,0.00020294782597820587
MF,GO_0008083,growth factor activity,6,84,65,8033,0.68,8.83,5.508529760348492e-05,0.0005921669492374629
MF,GO_0003700,DNA-binding transcription factor activity,9,231,65,8033,1.87,4.81,9.042962939736033e-05,0.0007776948128172988
MF,GO_0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",9,247,65,8033,2.0,4.5,0.00015079426472005552,0.0010806922304937314
MF,GO_0038023,signaling receptor activity,7,171,65,8033,1.38,5.06,0.00043135120731782806,0.0026497288449523725
MF,GO_1990837,sequence-specific double-stranded DNA binding,7,176,65,8033,1.42,4.92,0.000513139293301458,0.002758123701495337
MF,GO_0042605,peptide antigen binding,3,22,65,8033,0.18,16.85,0.0006977309904478418,0.0033336036210285776
MF,GO_0001222,transcription corepressor binding,3,32,65,8033,0.26,11.59,0.0021213050389042734,0.009121611667288376
MF,GO_0043565,sequence-specific DNA binding,6,173,65,8033,1.4,4.29,0.002640645452657256,0.010249663352472545
MF,GO_0019903,protein phosphatase binding,4,75,65,8033,0.61,6.59,0.003086438749944686,0.010249663352472545
MF,GO_0005102,signaling receptor binding,7,240,65,8033,1.94,3.6,0.0030987354321428628,0.010249663352472545
MF,GO_0019901,protein kinase binding,7,263,65,8033,2.13,3.29,0.005123741904991374,0.015737207279616364
MF,GO_0004715,non-membrane spanning protein tyrosine kinase activity,3,46,65,8033,0.37,8.06,0.005990461500595074,0.01717265630170588
MF,GO_0005515,protein binding,60,6448,65,8033,52.17,1.15,0.006504631523989296,0.017481197220721233
MF,GO_0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,6,215,65,8033,1.74,3.45,0.007607777164116377,0.01924320106217672
MF,GO_0004713,protein tyrosine kinase activity,4,121,65,8033,0.98,4.09,0.01637155026121988,0.038079413961044174
MF,GO_0000976,transcription cis-regulatory region binding,4,122,65,8033,0.99,4.05,0.01682578756418231,0.038079413961044174
MF,GO_0003677,DNA binding,12,778,65,8033,6.3,1.91,0.020692343779529873,0.04448853912598923
MF,GO_0005200,structural constituent of cytoskeleton,3,75,65,8033,0.61,4.94,0.022583872098140112,0.04624316667714404
MF,GO_0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",3,77,65,8033,0.62,4.81,0.02418904065712672,0.04632299497535122
MF,GO_0019904,protein domain specific binding,4,139,65,8033,1.12,3.56,0.025779409601419036,0.04632299497535122
MF,GO_0020037,heme binding,3,79,65,8033,0.64,4.69,0.025854694869963474,0.04632299497535122
MF,GO_0002020,protease binding,3,83,65,8033,0.67,4.47,0.02936717585025511,0.05051154246243879
MF,GO_0004888,transmembrane signaling receptor activity,4,150,65,8033,1.21,3.3,0.03285527402101559,0.054337568573218094
MF,GO_0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,3,94,65,8033,0.76,3.94,0.040261595769191486,0.06412031918797162
MF,GO_0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",4,168,65,8033,1.36,2.94,0.04667623366019881,0.07168135883530533
MF,GO_0005178,integrin binding,3,117,65,8033,0.95,3.17,0.06866645288447029,0.10181577496662837
MF,GO_0016491,oxidoreductase activity,5,327,65,8033,2.65,1.89,0.12420998680311612,0.17803431441779977
MF,GO_0004672,protein kinase activity,6,448,65,8033,3.63,1.66,0.15295162297538692,0.212158702836827
MF,GO_0044877,protein-containing complex binding,3,232,65,8033,1.88,1.6,0.2894641931262136,0.3889675095133495
MF,GO_0003682,chromatin binding,3,246,65,8033,1.99,1.51,0.320654462606107,0.4178224815776546
MF,GO_0016301,kinase activity,5,512,65,8033,4.14,1.21,0.3999879163615553,0.492331512700948
MF,GO_0019899,enzyme binding,3,282,65,8033,2.28,1.31,0.400734952198446,0.492331512700948
MF,GO_0042803,protein homodimerization activity,3,440,65,8033,3.56,0.84,0.6991999436201248,0.8351554882129268
MF,GO_0005524,ATP binding,7,1006,65,8033,8.14,0.86,0.7213843557582463,0.838365602637962
MF,GO_0008270,zinc ion binding,5,756,65,8033,6.12,0.82,0.7448578773460233,0.8428654927862894
MF,GO_0003723,RNA binding,6,1024,65,8033,8.29,0.72,0.852629212897233,0.9400783629379749
MF,GO_0000166,nucleotide binding,6,1142,65,8033,9.24,0.65,0.9159112754336695,0.9735428568826876
MF,GO_0016740,transferase activity,5,1142,65,8033,9.24,0.54,0.9640237662130584,0.9735428568826876
MF,GO_0016787,hydrolase activity,4,1023,65,8033,8.28,0.48,0.9732387793783318,0.9735428568826876
