Reactome,pathway,k,K,n,N,expected,fold,p,fdr
R-HSA-6783783,Interleukin-10 signaling,9,31,71,6032,0.36,24.67,4.223948129491831e-11,1.9852556208611605e-09
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,11,92,71,6032,1.08,10.16,6.836547193025192e-09,1.6065885903609202e-07
R-HSA-877300,Interferon gamma signaling,8,48,71,6032,0.56,14.16,6.38495118761671e-08,1.0003090193932846e-06
R-HSA-912526,Interleukin receptor SHC signaling,6,22,71,6032,0.26,23.17,1.3801960940126862e-07,1.6217304104649064e-06
R-HSA-9732724,IFNG signaling activates MAPKs,4,8,71,6032,0.09,42.48,1.1909373451941966e-06,9.329009204021207e-06
R-HSA-8984722,Interleukin-35 Signalling,4,8,71,6032,0.09,42.48,1.1909373451941966e-06,9.329009204021207e-06
R-HSA-112411,MAPK1 (ERK2) activation,4,9,71,6032,0.11,37.76,2.1246439930463257e-06,1.42654668104539e-05
R-HSA-1059683,Interleukin-6 signaling,4,10,71,6032,0.12,33.98,3.5096241012832376e-06,2.061904159503902e-05
R-HSA-5673001,RAF/MAP kinase cascade,8,93,71,6032,1.09,7.31,1.1311904667478515e-05,5.9073279930165584e-05
R-HSA-8854691,Interleukin-20 family signaling,4,14,71,6032,0.16,24.27,1.6143122255052935e-05,7.587267459874879e-05
R-HSA-9674555,Signaling by CSF3 (G-CSF),4,15,71,6032,0.18,22.66,2.1818079430574026e-05,9.322270302154356e-05
R-HSA-1266695,Interleukin-7 signaling,4,16,71,6032,0.19,21.24,2.8832786758634195e-05,0.00011019420192760927
R-HSA-9020591,Interleukin-12 signaling,3,6,71,6032,0.07,42.48,3.047924734167916e-05,0.00011019420192760927
R-HSA-9020933,Interleukin-23 signaling,3,7,71,6032,0.08,36.41,5.288807747994812e-05,0.00017755283153982583
R-HSA-909733,Interferon alpha/beta signaling,5,37,71,6032,0.44,11.48,6.374340758522079e-05,0.00019972934376702515
R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,4,20,71,6032,0.24,16.99,7.407030091599316e-05,0.0002175815089407299
R-HSA-8877330,RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs),3,8,71,6032,0.09,31.86,8.390636156080046e-05,0.0002190888329643123
R-HSA-9020956,Interleukin-27 signaling,3,8,71,6032,0.09,31.86,8.390636156080046e-05,0.0002190888329643123
R-HSA-9020958,Interleukin-21 signaling,3,9,71,6032,0.11,28.32,0.00012479722034467754,0.00030870891348420233
R-HSA-877312,Regulation of IFNG signaling,3,10,71,6032,0.12,25.49,0.00017677761873470367,0.0003956451466919558
R-HSA-110056,MAPK3 (ERK1) activation,3,10,71,6032,0.12,25.49,0.00017677761873470367,0.0003956451466919558
R-HSA-8983432,Interleukin-15 signaling,3,11,71,6032,0.13,23.17,0.00024101941797378856,0.0005149051202167301
R-HSA-912694,Regulation of IFNA/IFNB signaling,3,12,71,6032,0.14,21.24,0.0003186504083883191,0.0006240237164271249
R-HSA-9020558,Interleukin-2 signaling,3,12,71,6032,0.14,21.24,0.0003186504083883191,0.0006240237164271249
R-HSA-449836,Other interleukin signaling,3,17,71,6032,0.2,14.99,0.0009441570697817761,0.001775015291189739
R-HSA-202430,Translocation of ZAP-70 to Immunological synapse,3,18,71,6032,0.21,14.16,0.0011234642012660384,0.0020308775945963
R-HSA-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling",3,20,71,6032,0.24,12.74,0.0015432862765779312,0.0025905162499700986
R-HSA-9705462,Inactivation of CSF3 (G-CSF) signaling,3,20,71,6032,0.24,12.74,0.0015432862765779312,0.0025905162499700986
R-HSA-9833109,Evasion by RSV of host interferon responses,3,22,71,6032,0.26,11.59,0.0020499427519388123,0.0032115769780374725
R-HSA-389948,Co-inhibition by PD-1,3,22,71,6032,0.26,11.59,0.0020499427519388123,0.0032115769780374725
R-HSA-9824585,Regulation of MITF-M-dependent genes involved in pigmentation,3,25,71,6032,0.29,10.19,0.002985250332059369,0.004526024696993237
R-HSA-202433,Generation of second messenger molecules,3,30,71,6032,0.35,8.5,0.005052815389903351,0.007421322603920547
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,5,96,71,6032,1.13,4.42,0.005229012574674368,0.007447381545748343
R-HSA-9705671,SARS-CoV-2 activates/modulates innate and adaptive immune responses,5,100,71,6032,1.18,4.25,0.006211988162715341,0.008587160107282972
R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",4,71,71,6032,0.84,4.79,0.009465167518689678,0.012710367810811854
R-HSA-202424,Downstream TCR signaling,4,72,71,6032,0.85,4.72,0.009934430652793277,0.012969951130035667
R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP),3,45,71,6032,0.53,5.66,0.015578267008408668,0.019788609443113715
R-HSA-202733,Cell surface interactions at the vascular wall,4,84,71,6032,0.99,4.05,0.01677442634120965,0.020747316790443514
R-HSA-9679191,Potential therapeutics for SARS,4,90,71,6032,1.06,3.78,0.021080703131127056,0.025404949927255685
R-HSA-9725370,Signaling by ALK fusions and activated point mutants,3,51,71,6032,0.6,5.0,0.021749442389190462,0.02555559480729879
R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,3,53,71,6032,0.62,4.81,0.02406310136335864,0.02758453083116722
R-HSA-6802952,Signaling by BRAF and RAF1 fusions,3,56,71,6032,0.66,4.55,0.027774503968111763,0.031080992535744117
R-HSA-1257604,PIP3 activates AKT signaling,3,66,71,6032,0.78,3.86,0.042214522357992466,0.04614145467036386
R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis,3,77,71,6032,0.91,3.31,0.06165249925917051,0.06585607875411395
R-HSA-2132295,MHC class II antigen presentation,3,90,71,6032,1.06,2.83,0.08905134362467944,0.090987242399129
R-HSA-8856828,Clathrin-mediated endocytosis,3,90,71,6032,1.06,2.83,0.08905134362467944,0.090987242399129
R-HSA-6798695,Neutrophil degranulation,6,360,71,6032,4.24,1.42,0.24819001341863675,0.24819001341863675
