gene,n_evidence_types,n_sources,evidence_types,sources,pigean_score,de_assays,de_direction,de_contexts,consensus_score,tier
CD86,5,5,clinical_biomarker|curated_disease_gene|differential_expression|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|gene-expression-atlas-okn|prokn|spoke-okn,8.5,1.0,"{""down"": 1}","'multiple sclerosis; cerebrospinal fluid' vs 'neurological disease, non-inflammatory; cerebrospinal fluid'",15,A
TXK,5,5,clinical_biomarker|curated_disease_gene|differential_expression|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|gene-expression-atlas-okn|prokn|spoke-okn,6.2,1.0,"{""down"": 1}",'relapsing-remitting multiple sclerosis' vs 'normal',15,A
MERTK,5,5,clinical_biomarker|curated_disease_gene|differential_expression|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|gene-expression-atlas-okn|prokn|spoke-okn,4.12,1.0,"{""up"": 1}",'multiple sclerosis' vs 'normal',15,A
ZC3HAV1,5,5,clinical_biomarker|curated_disease_gene|differential_expression|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|gene-expression-atlas-okn|prokn|spoke-okn,2.54,1.0,"{""up"": 1}",'multiple sclerosis' vs 'normal' in 'no physical activity program',15,A
IFNGR2,5,5,clinical_biomarker|curated_disease_gene|differential_expression|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|gene-expression-atlas-okn|prokn|spoke-okn,1.44,1.0,"{""up"": 1}",'multiple sclerosis' vs 'normal' in 'no physical activity program',15,A
MALT1,5,4,clinical_biomarker|curated_disease_gene|genetic_association|genetic_association_mri_endpoint|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,6.22,,,,14,A
ATXN1,5,4,clinical_biomarker|curated_disease_gene|genetic_association|genetic_association_mri_endpoint|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,3.86,,,,14,A
TOX2,5,4,clinical_biomarker|curated_disease_gene|genetic_association|genetic_association_mri_endpoint|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,2.14,,,,14,A
IL7R,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,10.0,,,,12,A
IL2RA,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,8.47,,,,12,A
CD6,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,7.98,,,,12,A
BATF,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,7.68,,,,12,A
