drug,ms_indication_terms,n_targets,targets,evidence_relations,phase,approval_year
SID11113806,DOID_2377,14,CYP2D6|KCNA10|KCNA2|KCNA4|KCNA5|KCNA7|KCNB1|KCNB2|KCNC1|KCNC2|KCNC3|KCND1|KCND2|KCND3,up:activity,,
mitoxantrone,DOID_2378,8,ABCC1|ABCG2|CHRM2|CHRM4|KCNH2|SLC47A1|SLC47A2|TOP2A,up:activity,,
prednisolone,DOID_2377,6,ADAM17|GLUL|IL6|NR3C1|NR3C2|SERPINA6,up:activity,,
fingolimod,DOID_2378,5,S1PR1|S1PR3|S1PR4|S1PR5|TRPM7,up:activity,,
ozanimod,DOID_2377,5,S1PR1|S1PR2|S1PR3|S1PR4|S1PR5,up:activity,,
ACETAZOLAMIDE,D009103,4,CA1|CA12|CA2|CA4,RO_0002436,4;4.0,1953.0
Cortisol Measurement_5754.0,DOID_2377,4,NR3C1|NR3C2|SERPINA6|SHBG,up:activity,,
Siponimod,DOID_2378,4,S1PR1|S1PR3|S1PR4|S1PR5,up:activity,,
ponesimod,DOID_2377,4,S1PR1|S1PR3|S1PR4|S1PR5,up:activity,,
CHEMBL1642,D009103,3,ABL1|KIT|PDGFRB,RO_0002436,4;4.0,2001.0
CHEMBL19449,D020528,3,PDE10A|PDE3A|PDE5A,RO_0002436,4;4.0,1989.0
CHEMBL3188993,D009103,3,DRD2|HTR2A|HTR2C,RO_0002436,4;4.0,1997.0
CHEMBL612,D009103,3,SLC18A2|SLC6A2|SLC6A3,RO_0002436,4;4.0,1955.0
DEXAMETHASONE,DOID_2377,3,NR1I2|NR3C1|NR3C2,up:activity,,
ACETAMINOPHEN,D009103,2,FAAH|TRPV1,RO_0002436,4;4.0,1968.0
CHEMBL1200328,D009103,2,SLC6A2|SLC6A4,RO_0002436,4;4.0,2004.0
CHEMBL1722,D020528|D020529,2,SLC6A2|SLC6A3,RO_0002436,4;4.0,1955.0
CHEMBL1908391,D009103|D020528,2,FGFR3|KIT,RO_0002436,3;3.0,
CHEMBL220492,D009103,2,CA2|CA4,RO_0002436,4;4.0,1996.0
CHEMBL796,D009103,2,SLC6A2|SLC6A3,RO_0002436,4;4.0,1955.0
CHEMBL928,D009103,2,RYR1|RYR3,RO_0002436,4;4.0,1974.0
Teriflunomide,DOID_2377,2,DHFR|DHODH,up:activity,,
methylprednisolone,DOID_2377,2,NR3C1|TRPC5,up:activity,,
ARMODAFINIL,D009103,1,SLC6A3,RO_0002436,4;4.0,2007.0
"Acetic acid 2-((8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-10,13-dimethyl-3-oxo-2,3,6,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl)-2-oxo-ethyl ester",DOID_2377,1,SERPINA6,up:activity,,
CANNABIDIOL,D009103,1,CNR1,RO_0002436,4;4.0,2018.0
CARMUSTINE,D020529,1,GSR,RO_0002436,4;4.0,1977.0
CELECOXIB,D009103,1,PTGS2,RO_0002436,4;4.0,1998.0
CHEMBL1042,D009103|D020529,1,VDR,RO_0002436,4;4.0,1999.0
CHEMBL1064,D009103|D020528|D020529,1,HMGCR,RO_0002436,4;4.0,1991.0
CHEMBL1096146,D009103|D020529,1,S1PR1,RO_0002436,4;4.0,2021.0
CHEMBL1152,D009103,1,NR3C1,RO_0002436,4;4.0,1955.0
CHEMBL1162,D020528|D020529,1,PGR,RO_0002436,4;4.0,1962.0
CHEMBL1172,D009103|D020528,1,HRH1,RO_0002436,4;4.0,2001.0
CHEMBL1200795,D009103|D020528|D020529,1,HRH1,RO_0002436,4;4.0,1977.0
CHEMBL1200826,D009103,1,IMPA1,RO_0002436,4;4.0,1970.0
CHEMBL1200927,D009103,1,HRH1,RO_0002436,4;4.0,1981.0
CHEMBL1201014,D009103|D020529,1,NR3C1,RO_0002436,4;4.0,1973.0
CHEMBL1201081,D009103|D020528,1,NR3C1,RO_0002436,4;4.0,1959.0
CHEMBL1201182,D020529,1,FKBP1A,RO_0002436,4;4.0,2007.0
CHEMBL1201576,D009103|D020528|D020529,1,MS4A1,RO_0002436,4;4.0,1997.0
CHEMBL1201836,D009103|D020529,1,MS4A1,RO_0002436,4;4.0,2009.0
CHEMBL1236924,D020529,1,PPARG,RO_0002436,2.0,
CHEMBL131,D009103|D020528,1,NR3C1,RO_0002436,4;4.0,1955.0
CHEMBL135,D009103,1,ESR1,RO_0002436,4;4.0,1975.0
CHEMBL1373,D009103,1,SLC6A3,RO_0002436,4;4.0,1998.0
CHEMBL1417019,D009103,1,TOP2A,RO_0002436,4;4.0,1987.0
CHEMBL1476022,D009103,1,PGR,RO_0002436,3;3.0,
CHEMBL1504,D009103,1,NR3C1,RO_0002436,4;4.0,1960.0
CHEMBL1536,D009103,1,VDR,RO_0002436,4;4.0,1941.0
CHEMBL1703,D009103|D020528,1,GPD2,RO_0002436,4;4.0,1995.0
CHEMBL17157,D009103|D020528,1,HRH1,RO_0002436,4;4.0,1985.0
CHEMBL1743068,D009103|D020529,1,IL17A,RO_0002436,4;4.0,2015.0
CHEMBL1743086,D020529,1,ITGA2,RO_0002436,2.0,
CHEMBL1790041,D009103,1,HRH2,RO_0002436,4;4.0,1983.0
CHEMBL197194,D009103|D020529,1,DHODH,RO_0002436,3;3.0,
CHEMBL2021430,D020529,1,NR3C1,RO_0002436,4;4.0,1959.0
CHEMBL2107333,D009103|D020528|D020529,1,KEAP1,RO_0002436,4;4.0,2013.0
CHEMBL2108041,D009103|D020528|D020529,1,MS4A1,RO_0002436,4;4.0,2017.0
CHEMBL2108354,D009103|D020528|D020529,1,MS4A1,RO_0002436,4;4.0,2022.0
CHEMBL2108679,D009103|D020529,1,RTN4,RO_0002436,2.0,
CHEMBL2108712,D020529,1,HLA-DRB1,RO_0002436,2.0,
CHEMBL2109334,D009103,1,CD19,RO_0002436,4;4.0,2020.0
CHEMBL2109433,D009103,1,CSF2,RO_0002436,3;3.0,
CHEMBL219916,D020528|D020529,1,DRD2,RO_0002436,3;3.0,
CHEMBL2336071,D009103|D020528|D020529,1,S1PR1,RO_0002436,4;4.0,2019.0
CHEMBL3092650,D009103|D020529,1,HRH3,RO_0002436,2.0,
CHEMBL3305901,D020529,1,CCR2,RO_0002436,2.0,
CHEMBL34259,D009103,1,DHFR,RO_0002436,4;4.0,1953.0
CHEMBL3544922,D009103|D020529,1,LINGO1,RO_0002436,2.0,
CHEMBL3707228,D009103,1,CCR2,RO_0002436,2.0,
CHEMBL3707246,D009103|D020529,1,S1PR1,RO_0002436,4;4.0,2020.0
CHEMBL3707247,D009103|D020529,1,S1PR5,RO_0002436,4;4.0,2020.0
CHEMBL384467,D009103|D020528,1,NR3C1,RO_0002436,4;4.0,1958.0
CHEMBL386630,D009103,1,AR,RO_0002436,4;4.0,1972.0
CHEMBL3989944,D009103|D020529,1,KEAP1,RO_0002436,4;4.0,2019.0
CHEMBL4065122,D009103|D020528,1,BTK,RO_0002436,3;3.0,
CHEMBL4072833,D009103|D020529,1,BTK,RO_0002436,3;3.0,
CHEMBL413,D020529,1,FKBP1A,RO_0002436,4;4.0,1999.0
CHEMBL4297363,D009103,1,ITGA4,RO_0002436,2.0,
CHEMBL4297743,D009103,1,RGMA,RO_0002436,2.0,
CHEMBL4297884,D009103,1,SEMA4D,RO_0002436,2.0,
CHEMBL4298150,D009103|D020528|D020529,1,S1PR1,RO_0002436,4;4.0,2019.0
CHEMBL457,D009103,1,PPARA,RO_0002436,4;4.0,1981.0
CHEMBL4594357,D009103,1,TNFRSF13C,RO_0002436,3;3.0,
CHEMBL465,D009103,1,CNR1,RO_0002436,4;4.0,1985.0
CHEMBL4650321,D020529,1,BTK,RO_0002436,3;3.0,
CHEMBL4650323,D009103|D020528,1,BTK,RO_0002436,3;3.0,
CHEMBL4650485,D009103,1,BTK,RO_0002436,4;4.0,2023.0
CHEMBL559180,D009103,1,ADRB2,RO_0002436,1.0,
CHEMBL589586,D009103|D020529,1,KEAP1,RO_0002436,4;4.0,2020.0
CHEMBL635,D009103|D020529,1,NR3C1,RO_0002436,4;4.0,1955.0
CHEMBL650,D009103|D020528|D020529,1,NR3C1,RO_0002436,4;4.0,1957.0
CHEMBL973,D009103|D020528|D020529,1,DHODH,RO_0002436,4;4.0,2012.0
CHEMBL998,D009103,1,HRH1,RO_0002436,4;4.0,1993.0
Triamcinolone Acetonide,DOID_2377,1,NR3C1,up:activity,,
betamethasone,DOID_2377,1,NR3C1,up:activity,,
monomethyl fumarate,DOID_2378,1,HCAR2,up:activity,,
prednisone,DOID_2377,1,NR3C1,up:activity,,
triamcinolone,DOID_2377,1,NR3C1,up:activity,,
ACETYLCYSTEINE,D009103|D020528,0,,,,
ACYCLOVIR SODIUM,D009103,0,,,,
ALEMTUZUMAB,D009103|D020529,0,,RO_0002436,4;4.0,2001.0
ALFUZOSIN,D009103,0,,,,
AMANTADINE,D009103,0,,,,
AMANTADINE HYDROCHLORIDE,D009103,0,,RO_0002436,4;4.0,1968.0
AMIFAMPRIDINE,D009103,0,,RO_0002436,4;4.0,2009.0
AMILORIDE,D020528,0,,,,
AMISELIMOD HYDROCHLORIDE,D020529,0,,RO_0002436,2.0,
ANDROGRAPHOLIDE,D020528,0,,,,
ARBACLOFEN PLACARBIL,D009103,0,,RO_0002436,3;3.0,
ASPIRIN,D009103,0,,RO_0002436,4;4.0,1950.0
ATORVASTATIN,D009103|D020529,0,,,,
AZITHROMYCIN,D009103,0,,,,
BACLOFEN,D009103,0,,RO_0002436,4;4.0,1977.0
BAZEDOXIFENE ACETATE,D020529,0,,RO_0002436,4;4.0,2009.0
BELIMUMAB,D009103,0,,RO_0002436,4;4.0,2011.0
BIIB-091,D009103,0,,,,
BIOTIN,D009103,0,,,,
BOSWELLIC ACID,D020529,0,,,,
BRIAKINUMAB,D009103,0,,RO_0002436,3;3.0,
BRYOSTATIN 1,D009103,0,,,,
BUTYLATED HYDROXYTOLUENE,D009103|D020529,0,,,,
Betamethasone acetate,DOID_2377,0,,,,
CAFFEINE,D020529,0,,RO_0002436,4;4.0,1948.0
CANNABINOL,D009103,0,,,,
CARBIDOPA,D009103,0,,RO_0002436,4;4.0,1975.0
CETIRIZINE,D009103,0,,,,
"CHARCOAL, ACTIVATED",D009103,0,,,,
CHEMBL1068,D009103,0,,RO_0002436,4;4.0,2000.0
CHEMBL1096882,D009103,0,,RO_0002436,4;4.0,1991.0
CHEMBL1140,D009103,0,,,,
CHEMBL1144,D020529,0,,,,
CHEMBL1149,D009103,0,,,,
CHEMBL1175,D009103,0,,,,
CHEMBL1200574,D009103|D020528|D020529,0,,,,
CHEMBL1200593,D020528,0,,,,
CHEMBL1200796,D009103|D020528|D020529,0,,,,
CHEMBL1201119,D009103,0,,RO_0002436,4;4.0,1956.0
CHEMBL1201222,D009103,0,,,,
CHEMBL1201265,D009103|D020529,0,,,,
CHEMBL1201288,D009103,0,,,,
CHEMBL1201507,D009103|D020528|D020529,0,,,,
CHEMBL1201605,D009103|D020529,0,,RO_0002436,4;4.0,1997.0
CHEMBL1201607,D009103|D020528|D020529,0,,RO_0002436,4;4.0,2004.0
CHEMBL1201835,D009103,0,,RO_0002436,4;4.0,2009.0
CHEMBL1222250,D009103,0,,,,
CHEMBL1248,D009103,0,,,,
CHEMBL1256391,D009103,0,,,,
CHEMBL1294,D009103,0,,,,
CHEMBL140,D009103,0,,,,
CHEMBL1406148,D020528|D020529,0,,,,
CHEMBL1431,D009103|D020528,0,,,,
CHEMBL1434,D009103|D020529,0,,,,
CHEMBL1440,D009103|D020528|D020529,0,,,,
CHEMBL1447,D009103,0,,,,
CHEMBL1456,D009103,0,,RO_0002436,4;4.0,1995.0
CHEMBL1464,D020529,0,,,,
CHEMBL1486,D009103,0,,,,
CHEMBL1502,D009103,0,,,,
CHEMBL1503,D020529,0,,RO_0002436,4;4.0,1989.0
CHEMBL1534,D009103,0,,,,
CHEMBL1535,D020528,0,,,,
CHEMBL154,D009103,0,,RO_0002436,4;4.0,1976.0
CHEMBL1544,D020528|D020529,0,,RO_0002436,4;4.0,1956.0
