mondo,mondoLabel,rel,drugLabel,drugId
MONDO_0000452,progressive relapsing multiple sclerosis,treats,Rituximab,DrugBank:DB00073
MONDO_0000452,progressive relapsing multiple sclerosis,treats,Biotin,DrugBank:DB00121
MONDO_0000452,progressive relapsing multiple sclerosis,treats,Liothyronine,DrugBank:DB00279
MONDO_0000452,progressive relapsing multiple sclerosis,treats,Cyclophosphamide,DrugBank:DB00531
MONDO_0000452,progressive relapsing multiple sclerosis,treats,Teriflunomide,DrugBank:DB08880
MONDO_0000452,progressive relapsing multiple sclerosis,treats,Acth,CTDRUG:acth
MONDO_0000452,progressive relapsing multiple sclerosis,treats,Biib041 (fampridine),CTDRUG:biib041_fampridine_
MONDO_0000452,progressive relapsing multiple sclerosis,treats,Cc-97540,CTDRUG:cc_97540
MONDO_0000452,progressive relapsing multiple sclerosis,treats,Clemastine Fumarate,CTDRUG:clemastine_fumarate
MONDO_0000452,progressive relapsing multiple sclerosis,treats,Diroximel Fumarate,CTDRUG:diroximel_fumarate
MONDO_0000452,progressive relapsing multiple sclerosis,treats,Disease-modifying Therapies,CTDRUG:disease_modifying_therapies
MONDO_0000452,progressive relapsing multiple sclerosis,treats,Elnd002,CTDRUG:elnd002
MONDO_0000452,progressive relapsing multiple sclerosis,treats,Extended-release Quetiapine Fumarate,CTDRUG:extended_release_quetiapine_fumarate
MONDO_0000452,progressive relapsing multiple sclerosis,treats,Fludarabine,CTDRUG:fludarabine
MONDO_0000452,progressive relapsing multiple sclerosis,treats,Glatiramer Acetate,CTDRUG:glatiramer_acetate
MONDO_0000452,progressive relapsing multiple sclerosis,treats,Insulin,CTDRUG:insulin
MONDO_0000452,progressive relapsing multiple sclerosis,treats,"Interferon Beta-1b (betaseron, Bay86-5046)",CTDRUG:interferon_beta_1b_betaseron_bay86_5046_
MONDO_0000452,progressive relapsing multiple sclerosis,treats,Nbi-5788,CTDRUG:nbi_5788
MONDO_0000452,progressive relapsing multiple sclerosis,treats,Ocrelizumab Dose 1,CTDRUG:ocrelizumab_dose_1
MONDO_0000452,progressive relapsing multiple sclerosis,treats,Ocrelizumab Dose 2 And Dose 3,CTDRUG:ocrelizumab_dose_2_and_dose_3
MONDO_0000452,progressive relapsing multiple sclerosis,treats,Remibrutinib,CTDRUG:remibrutinib
MONDO_0000452,progressive relapsing multiple sclerosis,treats,Tolebrutinib,CTDRUG:tolebrutinib
MONDO_0005301,multiple sclerosis,contraindicated_for,Ascorbic acid,DrugBank:DB00126
MONDO_0005301,multiple sclerosis,contraindicated_for,Zinc gluconate,DrugBank:DB11248
MONDO_0005301,multiple sclerosis,treats,Natalizumab,DrugBank:DB00108
MONDO_0005301,multiple sclerosis,treats,Betamethasone,DrugBank:DB00443
MONDO_0005301,multiple sclerosis,treats,Triamcinolone,DrugBank:DB00620
MONDO_0005301,multiple sclerosis,treats,Prednisone,DrugBank:DB00635
MONDO_0005301,multiple sclerosis,treats,Hydrocortisone,DrugBank:DB00741
MONDO_0005301,multiple sclerosis,treats,Prednisolone,DrugBank:DB00860
MONDO_0005301,multiple sclerosis,treats,Methylprednisolone,DrugBank:DB00959
MONDO_0005301,multiple sclerosis,treats,Dexamethasone,DrugBank:DB01234
MONDO_0005301,multiple sclerosis,treats,Cortisone acetate,DrugBank:DB01380
MONDO_0005301,multiple sclerosis,treats,Dalfampridine,DrugBank:DB06637
MONDO_0005301,multiple sclerosis,treats,Teriflunomide,DrugBank:DB08880
MONDO_0005301,multiple sclerosis,treats,Ozanimod,DrugBank:DB12612
MONDO_0005301,multiple sclerosis,treats,Hydrocortisone acetate,DrugBank:DB14539
MONDO_0005314,relapsing-remitting multiple sclerosis,treats,Interferon beta-1a,DrugBank:DB00060
MONDO_0005314,relapsing-remitting multiple sclerosis,treats,Interferon beta-1b,DrugBank:DB00068
