param,nObs,nDet,nCells
parameter.PFOA_A,20387,11581,903
parameter.PFOS_A,19940,11519,792
parameter.PFBS_A,19799,7308,753
parameter.PFNA_A,19688,7758,547
parameter.PFHPA_A,19523,9712,767
parameter.PFDA_A,19254,4871,345
parameter.PFHXS_A,19234,6575,622
parameter.PFTEA_A,19038,1812,214
parameter.PFHXA_A,19013,9636,754
parameter.SUM_PFOA_PFOS,19000,13459,942
parameter.PFDOA_A,18917,1459,79
parameter.PFUNDA_A,18894,2358,163
parameter.N-EtFOSAA_A,18834,2061,221
parameter.N-MeFOSAA_A,18783,1022,177
parameter.PFTRIA_A,18642,786,56
parameter.PFPEA_A,18570,9807,761
parameter.PFBA_A,18395,9885,768
parameter.PFHPS_A,17937,2048,204
parameter.PFPES_A,17372,2549,366
parameter.PFDS_A,17349,854,40
parameter.PFNS_A,17287,179,17
parameter.4-2_FTS_A,17272,118,32
parameter.SUM_OF_6_PFAS,17016,11472,884
parameter.PFOSA,16788,1648,179
parameter.HFPO-DA_A,16709,22,6
parameter.6-2_FTS_A,16592,2714,397
parameter.ADONA_A,16394,51,26
parameter.8-2_FTS_A,16391,1281,110
parameter.PFHXDA_A,14283,1735,295
parameter.PFODA_A,13501,66,18
characteristic.9364,5338,1262,382
characteristic.64483,4991,860,317
characteristic.19292,4929,727,286
characteristic.64478,4535,935,400
characteristic.19762,4341,1940,548
characteristic.64556,4333,773,260
characteristic.18521,3946,675,234
characteristic.3281,3134,1837,200
characteristic.3292,3075,1197,359
characteristic.19698,2974,1153,377
characteristic.20865,2929,790,181
characteristic.3282,2895,401,77
characteristic.18574,2891,269,56
characteristic.20794,2825,790,294
characteristic.18456,2774,155,74
characteristic.8083,2762,7,2
characteristic.3113,2720,698,245
characteristic.8086,2700,8,3
characteristic.19823,2699,72,37
characteristic.20426,2671,843,322
characteristic.9458,2446,9,4
characteristic.19739,2441,14,9
parameter.11CL-PF3OUDS_A,2315,2,
characteristic.9368,2284,36,14
characteristic.19482,2255,226,84
characteristic.19467,2241,1575,651
characteristic.18078,2214,648,311
characteristic.62959,2213,588,290
characteristic.18897,2200,12,7
characteristic.8091,2184,17,5
parameter.9CL-PF3ONS_A,2147,8,6
parameter.8-2_FTS,1894,206,25
characteristic.22803,1882,30,17
characteristic.3112,1868,129,84
characteristic.6680,1863,66,49
characteristic.19383,1861,267,140
characteristic.16351,1825,19,10
characteristic.22572,1762,70,41
characteristic.22382,1762,16,4
characteristic.21871,1762,7,2
characteristic.9611,1753,16,8
characteristic.6681,1751,37,16
parameter.6-2_FTS,1717,266,37
parameter.N-MEFOSA,1709,24,5
characteristic.18785,1658,11,6
parameter.SUM_OF_5_PFAS,1653,1320,186
characteristic.19684,1339,964,363
characteristic.19256,1321,21,8
parameter.PFDH_A,1170,3,1
parameter.PFMB_A,1169,4,2
parameter.PFEES_A,1169,2,1
characteristic.3117,1165,226,95
parameter.PFOS,1152,811,189
characteristic.9409,1099,8,3
parameter.PFMP_A,1093,4,3
parameter.PFHXS,1035,380,80
parameter.PFDS,1001,48,23
characteristic.19505,975,,
characteristic.8097,975,31,20
characteristic.31056,967,108,50
characteristic.19556,942,3,2
characteristic.8094,942,,
characteristic.19579,942,65,31
characteristic.8095,942,45,19
characteristic.8096,942,16,9
parameter.N-ETFOSA,879,9,
parameter.N-EtFOSE,874,47,18
parameter.N-MEFOSE,857,7,
parameter.PFNA,741,257,90
parameter.PFHPA,740,145,46
parameter.PFHXA,740,136,46
parameter.PFDA,736,356,123
parameter.PFDOA,736,326,114
parameter.PFUNDA,733,430,137
parameter.PFTRDA_A,731,300,92
characteristic.18912,725,,
parameter.PFOA,697,205,69
parameter.PFBS,648,78,18
parameter.5-3_FTC_A,643,14,14
parameter.7-3_FTC_A,643,41,10
parameter.3-3_FTC_A,631,5,5
characteristic.16771,596,,
characteristic.19577,596,3,1
characteristic.8087,592,,
characteristic.3114,569,132,52
parameter.PFDOS,546,,
characteristic.21754,541,90,48
characteristic.17614,513,41,26
characteristic.20082,513,3,1
parameter.9CL-PF3ONS,505,1,
parameter.PFBA,504,30,15
parameter.PFPEA,497,25,12
characteristic.2180,433,,
parameter.FHXSA,421,10,2
parameter.FBSA,404,6,4
parameter.ADONA,350,,
parameter.PFPES,347,6,3
parameter.4-2_FTS,342,,
parameter.PFHPS,327,28,13
parameter.11CL-PF3OUDS,327,,
parameter.PFNS,327,8,4
parameter.PFTEA,324,211,77
parameter.PFDOS_A,234,,
characteristic.8084,186,14,2
characteristic.9361,182,1,1
characteristic.18826,147,9,3
characteristic.9388,122,,
characteristic.18755,106,106,1
characteristic.9410,89,,
characteristic.19926,67,,
characteristic.18191,62,,
characteristic.64488,60,43,14
parameter.10-2_FTS_A,53,9,2
characteristic.16586,41,13,1
characteristic.18587,39,,
characteristic.17683,35,,
characteristic.9007,30,,
characteristic.9235,30,,
characteristic.9450,30,,
characteristic.19594,28,,
characteristic.8173,26,24,1
characteristic.8168,26,24,1
characteristic.8169,26,24,1
characteristic.8170,26,24,1
parameter.PFOA_A_BR,24,3,3
parameter.PFOS_A_BR,24,24,3
parameter.PF05DOD_A,12,,
parameter.PFESA_A_BP2,12,,
parameter.PFECHS,12,,
parameter.6-2_FTC_A,12,,
parameter.6-2_FTUC_A,12,,
parameter.8-2_FTC_A,12,,
parameter.8-2_FTUC_A,12,,
parameter.PFOS_A_L,12,12,3
parameter.PFOA_A_L,12,6,3
parameter.PFEC_A,12,,
parameter.TOTAL-PFC_A,8,5,1
parameter.PFRPS_A,3,,
parameter.N-EtFOSAA_A_BR,3,2,2
parameter.N-EtFOSAA_A_L,3,2,2
parameter.N-MeFOSAA_A_BR,3,1,1
parameter.N-MeFOSAA_A_L,3,2,2
