param,paramLabel,casRaw,cas,dtxsid,dssLabel,nObs
parameter.PFOA_A,PERFLUOROOCTANOIC ACID,DEP18029,,DTXSID8031865,Perfluorooctanoic acid,20387
parameter.PFOA_A,PERFLUOROOCTANOIC ACID,335671,335-67-1,DTXSID8031865,Perfluorooctanoic acid,20387
parameter.PFOS_A,PERFLUOROOCTANE SULFONIC ACID,1763231,1763-23-1,DTXSID3031864,Perfluorooctanesulfonic acid,19940
parameter.PFOS_A,PERFLOUROOCTANE SULFONIC ACID,DEP18030,,DTXSID3031864,Perfluorooctanesulfonic acid,19940
parameter.PFBS_A,PERFLUOROBUTANE SULFONIC ACID,375735,375-73-5,DTXSID5030030,Perfluorobutanesulfonic acid,19799
parameter.PFNA_A,PERFLUORONONANOIC ACID,375951,375-95-1,DTXSID8031863,Perfluorononanoic acid,19688
parameter.PFHPA_A,PERFLUOROHEPTANOIC ACID,375859,375-85-9,DTXSID1037303,Perfluoroheptanoic acid,19523
parameter.PFDA_A,PERFLUORODECANOIC ACID,335762,335-76-2,DTXSID3031860,Perfluorodecanoic acid,19254
parameter.PFHXS_A,PERFLUOROHEXANE SULFONIC ACID,DEP18031,,DTXSID7040150,Perfluorohexanesulfonic acid,19234
parameter.PFHXS_A,PERFLUOROHEXANE SULFONIC ACID,355464,355-46-4,DTXSID7040150,Perfluorohexanesulfonic acid,19234
parameter.PFTEA_A,PERFLUOROTETRADECANOIC ACID,376067,376-06-7,DTXSID3059921,Perfluorotetradecanoic acid,19038
parameter.PFHXA_A,PERFLUOROHEXANOIC ACID,307244,307-24-4,DTXSID3031862,Perfluorohexanoic acid,19013
parameter.SUM_PFOA_PFOS,TOTAL PFOA AND PFOS,,,,,19000
parameter.PFDOA_A,PERFLUORODODECANOIC ACID,307551,307-55-1,DTXSID8031861,Perfluorododecanoic acid,18917
parameter.PFUNDA_A,PERFLUOROUNDECANOIC ACID,2058948,2058-94-8,DTXSID8047553,Perfluoroundecanoic acid,18894
parameter.N-EtFOSAA_A,N-ETHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID,2991506,2991-50-6,DTXSID5062760,2-(N-Ethylperfluorooctanesulfonamido)acetic acid,18834
parameter.N-MeFOSAA_A,N-METHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID,2355319,2355-31-9,DTXSID10624392,2-(N-Methylperfluorooctanesulfonamido)acetic acid,18783
parameter.PFTRIA_A,PERFLUOROTRIDECANOIC ACID,72629948,72629-94-8,DTXSID90868151,Perfluorotridecanoic acid,18642
parameter.PFPEA_A,PERFLUOROPENTANOIC ACID,2706903,2706-90-3,DTXSID6062599,Perfluoropentanoic acid,18570
parameter.PFBA_A,PERFLUOROBUTANOIC ACID,375224,375-22-4,DTXSID4059916,Perfluorobutanoic acid,18395
parameter.PFHPS_A,PERFLUOROHEPTANE SULFONIC ACID,375928,375-92-8,DTXSID8059920,Perfluoroheptanesulfonic acid,17937
parameter.PFPES_A,PERFLUOROPENTANE SULFONIC ACID,2706914,2706-91-4,DTXSID8062600,Perfluoropentanesulfonic acid,17372
parameter.PFDS_A,PERFLUORODECANESULFONIC ACID,335773,335-77-3,DTXSID3040148,Perfluorodecanesulfonic acid,17349
parameter.PFNS_A,PERFLUORONONANE SULFONIC ACID,68259121,68259-12-1,DTXSID60873010,,17287
parameter.4-2_FTS_A,4:2-FLUOROTELOMER SULFONIC ACID,757124724,757124-72-4,DTXSID30891564,4:2 Fluorotelomer sulfonic acid,17272
parameter.SUM_OF_6_PFAS,SUM OF 6 PFAS (PFHPA + PFHXS + PFOA + PFNA + PFOS + PFDA),,,,,17016
parameter.PFOSA,PERFLUOROOCTANE SULFONAMIDE,754916,754-91-6,DTXSID3038939,Perfluorooctanesulfonamide,16788
parameter.HFPO-DA_A,HEXAFLUOROPROPYLENE OXIDE DIMER ACID,13252136,13252-13-6,DTXSID70880215,Perfluoro-2-methyl-3-oxahexanoic acid,16709
parameter.6-2_FTS_A,6:2 FLUOROTELOMER SULFONIC ACID,27619972,27619-97-2,DTXSID6067331,6:2 Fluorotelomer sulfonic acid,16592
parameter.ADONA_A,"4,8-DIOXA-3H-PERFLUORONONANOIC ACID",919005144,919005-14-4,DTXSID40881350,"4,8-Dioxa-3H-perfluorononanoic acid",16394
parameter.8-2_FTS_A,8:2 FLUOROTELOMER SULFONIC ACID,39108344,39108-34-4,DTXSID00192353,8:2 Fluorotelomer sulfonic acid,16391
parameter.PFHXDA_A,PERFLUOROHEXADECANOIC ACID,67905195,67905-19-5,DTXSID1070800,,14283
parameter.PFODA_A,PERFLUOROOCTADECANOIC ACID,16517116,16517-11-6,DTXSID1066071,,13501
