cas,iceLabel,nIceEntities
1763-23-1,Perfluorooctanesulfonic acid,4
4151-50-2,N-Ethylperfluorooctanesulfonamide,4
2058-94-8,Perfluoroundecanoic acid,3
307-24-4,Perfluorohexanoic acid,3
335-67-1,Perfluorooctanoic acid,3
335-76-2,Perfluorodecanoic acid,3
375-73-5,Perfluorobutanesulfonic acid,3
375-85-9,Perfluoroheptanoic acid,3
375-95-1,Perfluorononanoic acid,3
754-91-6,Perfluorooctanesulfonamide,3
355-46-4,Perfluorohexanesulfonic acid,2
108427-53-8,Perfluorohexanesulfonate,1
113507-82-7,Perfluoro-2-ethoxyethanesulfonic acid,1
126105-34-8,Perfluorodecanesulfonate,1
16517-11-6,Perfluorooctadecanoic acid,1
2706-90-3,Perfluoropentanoic acid,1
2706-91-4,Perfluoropentanesulfonic acid,1
27619-97-2,6:2 Fluorotelomer sulfonic acid,1
27854-31-5,2-(Perfluorooctyl)ethanoic acid,1
30334-69-1,Perfluorobutanesulfonamide,1
307-55-1,Perfluorododecanoic acid,1
31506-32-8,N-Methylperfluorooctanesulfonamide,1
335-77-3,Perfluorodecanesulfonic acid,1
375-92-8,Perfluoroheptanesulfonic acid,1
376-06-7,Perfluorotetradecanoic acid,1
379-90-8,3H-Perfluorobutanoic acid,1
39492-91-6,"Perfluoro-3,5,7,9,11-pentaoxadodecanoic acid",1
41997-13-1,Perfluorohexanesulfonamide,1
423-41-6,Perfluoropropanesulfonic acid,1
45187-15-3,Perfluorobutanesulfonate,1
45298-90-6,Perfluorooctanesulfonate,1
474511-07-4,Perfluorononanesulfonate,1
53826-12-3,2-(Perfluorohexyl)ethanoic acid,1
67905-19-5,Perfluorohexadecanoic acid,1
68259-12-1,Perfluorononanesulfonic acid,1
72629-94-8,Perfluorotridecanoic acid,1
73606-19-6,Potassium 9-chlorohexadecafluoro-3-oxanonane-1-sulfonate,1
76-14-2,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",1
79780-39-5,Perfluorododecanesulfonic acid,1
