cid,nDet,nDetAnalytes
9667910033983143936,4,4
9668588844974342144,4,4
9670490244176150528,1,1
9935228798486183936,8,8
9935250685639524352,12,10
9935263501821935616,1,1
9935273981542137856,12,9
9935287691077746688,11,9
9935406026016686080,4,4
9935434372800839680,8,7
9935437465177292800,1,1
9935620808741224448,12,9
9935671248837148672,144,17
9935671317556625408,40,20
9935677433590054912,6,6
9935680663405461504,13,12
9935680903923630080,123,14
9935680938283368448,72,14
9935681007002845184,78,35
9935681041362583552,165,19
9935682553191071744,140,15
9935688806663454720,9,5
9935689184620576768,85,36
9935689287699791872,12,3
9935689390779006976,136,16
9935690284132204544,134,17
9935696640683802624,5,5
9935697121720139776,3,3
9935697156079878144,128,14
9935708529153277952,3,3
9935709319427260416,3,3
9935710659457056768,8,5
9935710762536271872,7,7
9935713202077696000,171,13
9935713270797172736,110,17
9935713305156911104,70,18
9935713751833509888,142,17
9935713854912724992,121,20
9935713889272463360,60,11
9935713923632201728,230,17
9935713992351678464,200,16
9935714610826969088,6,3
9935752990654726144,4,4
9935755155318243328,7,7
9935758178975219712,3,3
9935789411977396224,5,5
9935792882310971392,2,2
9935807485199777792,3,3
9935962619418509312,3,3
9935965677435224064,3,3
9935970384719380480,11,7
9935988217423593472,4,4
9936019759663415296,6,6
9936226399129960448,16,13
9936334288708435968,1,1
9936841644605177856,8,8
9936865799501250560,5,5
9936871984254156800,1,1
9936873289924214784,1,1
9942563812353769472,3,3
