cid,nPts,nObs,nAnalytes
9801268321847345152,1,12,5
9802262142919901184,1,13,13
9802555884323209216,2,26,13
9802607733168406528,1,33,33
9802629379803578368,1,13,13
9802867286632038400,1,13,13
9803734320270016512,2,26,13
9803821868883378176,1,774,28
9804066785098465280,2,26,13
9804287683856433152,1,155,31
9804288645929107456,1,13,13
9804315515244511232,1,13,13
9804323314905120768,1,13,13
9804626608315695104,1,1978,43
9804626711394910208,1,105,35
9804627226790985728,1,70,35
9804637740870926336,1,161,38
9804648461109297152,1,35,35
9804667187166707712,2,103,38
9804672650365108224,1,148,37
9804677426368741376,1,140,35
9804687699930513408,1,185,37
9804713332295335936,1,111,37
9804724739728474112,1,74,37
9804734463534432256,1,285,38
9804734910211031040,1,23,12
9804736662557687808,1,39,13
9804777000890531840,1,26,13
9804783254362914816,1,105,35
9804786930854920192,1,185,37
9804786965214658560,1,111,37
9804788820640530432,1,13,13
9804795280271343616,1,70,35
9804796998258262016,1,70,35
9804797307495907328,1,70,35
9804824829646340096,1,181,41
9804827303547502592,1,140,35
9804827372266979328,1,222,37
9804827715864363008,1,33,33
9804827750224101376,1,175,35
9804829090253897728,1,290,41
9804830086686310400,1,70,35
9804830121046048768,2,210,35
9804832079551135744,1,105,35
9804836511957385216,1,13,13
9804855684691394560,1,13,13
9804856200087470080,1,52,13
9804859258104184832,1,245,35
9804862522279329792,1,70,35
9804862694078021632,1,70,35
9804863037675405312,1,105,35
9804863140754620416,1,35,35
9804864790022062080,1,70,35
9804872864560578560,1,70,35
9804877022088921088,1,175,35
9804878121600548864,1,70,35
9804881454495170560,1,35,35
9804881798092554240,1,105,35
9804907361737900032,1,272,38
9805029957284397056,1,13,13
9805064042144858112,1,148,37
9805089983747325952,1,148,37
9805130974915198976,1,124,38
9805134891925372928,1,74,37
9805147879906476032,1,74,37
9805148154784382976,1,111,37
9805149391734964224,1,224,38
9805183717113593856,1,248,38
9805184335588884480,1,74,37
9805185984856326144,1,165,36
9805191688572895232,1,175,35
9805205707346149376,1,25,13
9805209864874491904,1,137,35
9805210277191352320,1,102,34
9805225429835972608,1,124,38
9805226048311263232,1,74,37
9805226391908646912,1,74,37
9805226666786553856,1,37,37
9805231648948617216,1,74,37
9805298753517649920,1,175,35
9805331189110669312,1,24,12
9805332357341773824,1,34,34
9805339813404999680,1,164,36
9805365686287990784,1,154,33
9805366339123019776,1,128,32
9805374791618658304,1,160,32
9805378914787262464,1,64,32
9805432275460947968,1,128,32
9805489793662976000,1,96,32
9805496940488556544,1,96,32
9805537244461662208,1,64,32
9805537313181138944,1,13,13
9805538515771981824,1,64,32
9805538550131720192,1,64,32
9805538962448580608,1,64,32
9805542535861370880,1,128,32
9805542948178231296,1,105,35
9805556520274886656,1,24,12
9805578647946395648,1,217,33
9805585519894069248,1,25,13
9805594178548137984,1,13,13
9805594419066306560,1,39,13
9805595690376626176,1,52,13
