cid,nPfasFac
5522796483402792960,1
5522906984321384448,2
5522973332976173056,1
5523905821915742208,2
5525218604439568384,1
5525219085475905536,2
5525220459865440256,1
5525220494225178624,1
5525221250139422720,1
5525225338948288512,1
5525229977512968192,1
5525233138608898048,1
5525298971867611136,2
5525299143666302976,2
5525308798752784384,2
5525309211069644800,2
5525405349617598464,1
5525430432226607104,1
5525435964144484352,1
5525436032863961088,2
5525436788778205184,2
5525436823137943552,1
5525455686634307584,1
5525475134246223872,1
5525561755146649600,1
5525731904571047936,1
5525835980218564608,1
5525839759789785088,1
5525963729725816832,1
5526097251669114880,1
5526263484083339264,1
5526263552802816000,1
5526336498527371264,1
5526337048283185152,1
5526337254441615360,1
5526347528003387392,3
5526349761386381312,1
5526368006407454720,1
5526409650410356736,1
5526416728516460544,1
5526429338540441600,2
5526448339475759104,2
5526449645145817088,1
5526480328392179712,1
5526497954937962496,1
5526539186624004096,1
5526554442347839488,1
5526594677601468416,1
5526595089918328832,1
5526595502235189248,1
5526599556684316672,1
5526601618268618752,1
5526604848084025344,1
5526620997161058304,1
5526621821794779136,1
5526649412664688640,1
5526650031139979264,1
5526651646047682560,1
5526654085589106688,1
5526654154308583424,5
5526660373421228032,2
5526677690729365504,2
5526677862528057344,2
5526686349383434240,1
5526977582525841408,1
5529480723825688576,1
5529481514099671040,2
5529496563665076224,1
5529497079061151744,1
5529512266065510400,1
5529512369144725504,2
5955987022316306432,1
5957752219515224064,1
5957784689467981824,1
5958171854999912448,1
5958420550786220032,3
5958420619505696768,1
5959040572265070592,1
5959049505797046272,2
5959050845826842624,1
5959122142283956224,1
5959132793802850304,1
5959133790235262976,2
5959142655047761920,1
5959146606417674240,2
5959156089705463808,3
5959156605101539328,1
5959161724702556160,1
5959162137019416576,1
5959165607352991744,1
5959176636829007872,1
5959189693529587712,1
5959229482106617856,1
5959357918808637440,1
5959486664748302336,1
5960018209900855296,2
5960154858580344832,2
5960159737663193088,1
5960564461021429760,1
5965514359290462208,1
9282461870495629312,2
9282461904855367680,1
9283878144551419904,1
9716064004715053056,1
9716075377788452864,1
9716077611171446784,1
9716077782970138624,1
9716077954768830464,1
9716080840986853376,2
9716080875346591744,3
9716081803059527680,1
9716083727204876288,2
9739898908544335872,1
9739899217781981184,1
9739899904976748544,3
9739899939336486912,4
9739899973696225280,1
9739900008055963648,9
9739901279366283264,1
9739901313726021632,8
9740063629130072064,2
9740063732209287168,3
9740064453763792896,2
9740502677866938368,1
9740506113840775168,1
9742148956011364352,1
9795559554396717056,1
9796877662679990272,1
9797040321681424384,1
9797053962497556480,1
9797053996857294848,1
9797069767977205760,2
9797102203570225152,1
9797516478935728128,2
9797519674391396352,1
9797526237101424640,1
9797529673075261440,1
9797529982312906752,1
9797532593653022720,3
9797534380359417856,1
9801268321847345152,2
9802262142919901184,1
9803809465017827328,1
9803813038430617600,1
9803816165166809088,1
9803817367757651968,2
9803822040682070016,5
9803822693517099008,1
9803823689949511680,2
9803827675679162368,1
9803827744398639104,4
9803920996728569856,1
9803962400213303296,2
9804069568237273088,2
9804070667748900864,1
9804281396024311808,1
9804283354529398784,9
9804283388889137152,3
9804287683856433152,1
9804295449157304320,1
9804626711394910208,1
9804777000890531840,2
9804783254362914816,1
9804827372266979328,1
9804827750224101376,1
9804829090253897728,2
9804832079551135744,2
9804862522279329792,2
9804862694078021632,2
9804881454495170560,1
9805585519894069248,1
9805607510126624768,1
9805649875684032512,1
9805759861206548480,2
9805828202726162432,1
9805963992412192768,1
9805994881816985600,2
9806059031448518656,1
9806199528418705408,1
9806200765369286656,1
9806239935471026176,1
9806250964947042304,1
9817847617164410880,1
9818364834306064384,2
9824668609346011136,1
9824670670930313216,1
9829412143026405376,1
9829686436817797120,1
9830038692855545856,1
9830040926238539776,1
9830046526875893760,1
9830049310014701568,1
9830050134648422400,2
9830072605917315072,1
9830333327612051456,1
9830413866838786048,1
9830624766912888832,2
9830794194782781440,1
9830914556946284544,1
9831276261912084480,1
9831308697505103872,1
9834176086391390208,1
9871953313056948224,1
9935270511208562688,12
9935575763124224000,3
9935671248837148672,1
9935671317556625408,1
9935682553191071744,1
9935713202077696000,1
9935713854912724992,1
9935714610826969088,2
9935758178975219712,1
9935792813591494656,2
9935792882310971392,1
9935793638225215488,13
9935807485199777792,2
9935928122241187840,1
9935932485927960576,1
9935939186076942336,1
9935943859001360384,3
9935944202598744064,1
9935954785398161408,1
9935960523474468864,1
9935962619418509312,6
9935965539996270592,1
9935970384719380480,1
9935988217423593472,1
9936036389776785408,1
9936038417001349120,1
9936041028341465088,2
9936043605321842688,1
9936047797209923584,8
9936048243886522368,6
9936048312605999104,4
9936050820866899968,1
9936187125949005824,1
9936190355764412416,1
9936213239350165504,1
9936213273709903872,1
9936213514228072448,3
9936236947569639424,2
9936241345616150528,2
9936841644605177856,1
9936843809268695040,6
9936870850382790656,4
9936870953462005760,1
9936871778095726592,8
9936871984254156800,1
9936872568369709056,1
9936873255564476416,2
9936873702241075200,2
9936877275653865472,1
9936949465464176640,2
9936987501694550016,12
9942563812353769472,1
