cid	lat	lon	nPtsGeo	layers	nPts	nObs	nAnalytes	nDet	nDetAnalytes	maxNgL	nFac	nPfasFac	nRingFac	nRingPfasFac	stateFips	stateName	countyFips	countyName	nCounties
5522341972783661056	46.734055	-67.791993	1	EGAD	1	30	30	6	6	1.16	0	0	0	0	23	Maine	23003	Aroostook County	1
5522342419460259840	46.7227675	-67.813995	2	EGAD	2	56	29	0	0		0	0	1	0	23	Maine	23003	Aroostook County	1
5522342453819998208	46.71209283333334	-67.820381	6	EGAD	6	230	30	13	8	2.01	0	0	1	0	23	Maine	23003	Aroostook County	1
5522342488179736576	46.7102716	-67.8073652	5	EGAD	5	173	30	20	12	4.35	0	0	1	0	23	Maine	23003	Aroostook County	1
5522348638572904448	46.658644	-67.863634	1	EGAD	1	30	30	5	5	2.6	0	0	0	0	23	Maine	23003	Aroostook County	1
5522349016530026496	46.653374	-67.864261	1	EGAD	1	30	30	1	1	2.51	0	0	0	0	23	Maine	23003	Aroostook County	1
5522351559150665728	46.545183	-67.907217	1	EGAD	1	110	66	23	17	1.41	0	0	0	0	23	Maine	23003	Aroostook County	1
5522724740269080576	46.475901	-67.833564	1	EGAD	1	28	28	4	4	2.96	0	0	1	0	23	Maine	23003	Aroostook County	1
5522725496183324672	46.509556	-67.853179	1	EGAD	1	300	30	132	16	104.0	0	0	9	0	23	Maine	23003	Aroostook County	1
5522725564902801408	46.496169	-67.845474	1	EGAD	1	245	66	55	20	3.15	0	0	0	0	23	Maine	23003	Aroostook County	1
5522730925021986816	46.433121	-67.920036	1	EGAD	1	29	29	0	0		0	0	0	0	23	Maine	23003	Aroostook County	1
5522749101323583488	46.223403	-67.80236	1	EGAD	1	25	25	0	0		0	0	1	0	23	Maine	23003	Aroostook County	1
5522750406993641472	46.174884	-67.803029	1	EGAD	1	140	66	31	19	2.48	0	0	1	0	23	Maine	23003	Aroostook County	1
5522750613152071680	46.18167	-67.804066	1	EGAD	1	295	66	76	29	4.46	0	0	0	0	23	Maine	23003	Aroostook County	1
5522751437785792512	46.17144	-67.902823	1	EGAD	1	30	30	8	8	4.82	0	0	2	0	23	Maine	23003	Aroostook County	1
5522751506505269248	46.161047499999995	-67.89433500000001	2	EGAD	2	118	30	31	12	3.92	1	0	2	0	23	Maine	23003	Aroostook County	1
5522751643944222720	46.14768	-67.89416	1	EGAD	1	29	29	3	3	1.3	0	0	2	0	23	Maine	23003	Aroostook County	1
5522751678303961088	46.144958333333335	-67.88608366666666	3	EGAD	3	86	30	14	10	4.68	0	0	2	0	23	Maine	23003	Aroostook County	1
5522751712663699456	46.150846	-67.883826	1	EGAD	1	29	29	4	4	0.629	2	0	1	0	23	Maine	23003	Aroostook County	1
5522751850102652928	46.134088	-67.847285	1	EGAD	1	78	39	15	8		1	0	55	0	23	Maine	23003	Aroostook County	1
