cid	lat	lon	nPtsGeo	layers	nPts	nObs	nAnalytes	nDet	nDetAnalytes	maxNgL	nFac	nPfasFac	nRingFac	nRingPfasFac	stateFips	stateName	countyFips	countyName	nCounties	sameTopWeight	sameTopIndustry	sameTopNaics	sameTopFacilityName	ringTopWeight	ringTopIndustry	ringTopNaics	ringTopFacilityName	c_proximity	detFreq	c_detFreq	c_detIntensity	c_analyteBreadth	c_industryPrior	score	scoreComponentsUsed	tier	window	sourceList	nSources
5522341972783661056	46.734055	-67.791993	1	EGAD	1	30	30	6	6	1.16	0	0	0	0	23	Maine	23003	Aroostook County	1									0.0	0.2	0.2	0.11146845506831043	0.3	0.0	9.786711376707762	5	D	none	sawgraph;spatialkg	2
5522342419460259840	46.7227675	-67.813995	2	EGAD	2	56	29	0	0		0	0	1	0	23	Maine	23003	Aroostook County	1									0.018665241123894335	0.0	0.0		0.0	0.0		4	N	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5522342453819998208	46.71209283333334	-67.820381	6	EGAD	6	230	30	13	8	2.01	0	0	1	0	23	Maine	23003	Aroostook County	1									0.018665241123894335	0.05652173913043478	0.05652173913043478	0.15949908687741932	0.4	0.0	9.77119539388048	5	C	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5522342488179736576	46.7102716	-67.8073652	5	EGAD	5	173	30	20	12	4.35	0	0	1	0	23	Maine	23003	Aroostook County	1									0.018665241123894335	0.11560693641618497	0.11560693641618497	0.24274946998106436	0.6	0.0	15.03415891718661	5	C	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5522348638572904448	46.658644	-67.863634	1	EGAD	1	30	30	5	5	2.6	0	0	0	0	23	Maine	23003	Aroostook County	1									0.0	0.16666666666666666	0.16666666666666666	0.18540733987218277	0.25	0.0	10.468516830137903	5	D	none	sawgraph;spatialkg	2
5522349016530026496	46.653374	-67.864261	1	EGAD	1	30	30	1	1	2.51	0	0	0	0	23	Maine	23003	Aroostook County	1									0.0	0.03333333333333333	0.03333333333333333	0.18174274201149576	0.05	0.0	5.710235216954061	5	D	none	sawgraph;spatialkg	2
5522351559150665728	46.545183	-67.907217	1	EGAD	1	110	66	23	17	1.41	0	0	0	0	23	Maine	23003	Aroostook County	1									0.0	0.20909090909090908	0.20909090909090908	0.12732059185776315	0.85	0.0	15.86483297826226	5	D	none	sawgraph;spatialkg	2
5522724740269080576	46.475901	-67.833564	1	EGAD	1	28	28	4	4	2.96	0	0	1	0	23	Maine	23003	Aroostook County	1									0.018665241123894335	0.14285714285714285	0.14285714285714285	0.19920290547681	0.2	0.0	10.490498933399408	5	C	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5522725496183324672	46.509556	-67.853179	1	EGAD	1	300	30	132	16	104.0	0	0	9	0	23	Maine	23003	Aroostook County	1									0.06200458888731158	0.44	0.44	0.6736322968201823	0.8	0.0	35.81096803156046	5	C	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5522725564902801408	46.496169	-67.845474	1	EGAD	1	245	66	55	20	3.15	0	0	0	0	23	Maine	23003	Aroostook County	1									0.0	0.22448979591836735	0.22448979591836735	0.20598622757655063	1.0	0.0	19.639451607781115	5	D	none	sawgraph;spatialkg	2
