cid	lat	lon	nPtsGeo	layers	nPts	nObs	nAnalytes	nDet	nDetAnalytes	maxNgL	nFac	nPfasFac	nRingFac	nRingPfasFac	stateFips	stateName	countyFips	countyName	nCounties	sameTopWeight	sameTopIndustry	sameTopNaics	sameTopFacilityName	ringTopWeight	ringTopIndustry	ringTopNaics	ringTopFacilityName	c_proximity	detFreq	c_detFreq	c_detIntensity	c_analyteBreadth	c_industryPrior	score	scoreComponentsUsed	tier	window	sourceList	nSources
5526677862528057344	43.4023375	-70.706574	2	EGAD	2	12	4	0	0		14	2	24	4	23	Maine	23031	York County	1	1.0	Plastics material & resin manufacturing	325211	ROEHM AMERICA LLC - SANFORD	1.0	Fabric mills	313210	US FELT MANUFACTURING CO INC	0.6131471927654584	0.0	0.0		0.0	1.0		4	N	same-cell	sawgraph;spatialkg;fiokg	3
5960154858580344832	46.381389	-94.178889	1	WQP	1	13	13	0	0		12	2	31	0	27	Minnesota	27035	Crow Wing County	1	1.0	Pulp, paper & paperboard mills	322120	WAUSAU PAPER MILLS LLC					0.6131471927654584	0.0	0.0		0.0	1.0		4	N	same-cell	sawgraph;spatialkg;fiokg	3
5525435964144484352	44.807527	-68.839865	1	EGAD	1	4	4	0	0		2	1	19	3	23	Maine	23019	Penobscot County	1	1.0	National security / military installation (AFFF)	928110	U.S. ARMY MAINE NATIONAL GUARD BANGOR TRAINING SITE RANGE	1.0	National security / military installation (AFFF)	928110	AIR NATIONAL GUARD 101ST AIR REFUEL WING	0.3868528072345416	0.0	0.0		0.0	1.0		4	N	same-cell	sawgraph;spatialkg;fiokg	3
9797534380359417856	44.945153	-93.047766	2	WQP	2	14	7	0	0		16	1	100	2	27	Minnesota	27123	Ramsey County	1	1.0	Basic chemical manufacturing	325180	HAWKINS CHEMICAL - NO OIL STORED	1.0	Airport operations (AFFF fire training)	488119	ST PAUL DOWNTOWN HOLMAN FLD	0.3868528072345416	0.0	0.0		0.0	1.0		4	N	same-cell	sawgraph;spatialkg;fiokg	3
5960564461021429760	47.467732	-94.876947	1	WQP	1	13	13	0	0		90	1	74	1	27	Minnesota	27007	Beltrami County	1	1.0	Sewage treatment (effluent & biosolids)	221320	BEMIDJI WWTP					0.3868528072345416	0.0	0.0		0.0	1.0		4	N	same-cell	sawgraph;spatialkg;fiokg	3
9740502677866938368	34.7842	-112.442689	1	WQP	1	76	37	0	0		2	1	36	1	04	Arizona	04025	Yavapai County	1	1.0	Metal coating & electroplating	332813	FRONTIER TECHNI-KOTE INC	1.0	Metal coating & electroplating	332813	CHINO VALLEY SITE	0.3868528072345416	0.0	0.0		0.0	1.0		4	N	same-cell	sawgraph;spatialkg;fiokg	3
5955987022316306432	47.74764	-90.324037	1	WQP	1	27	27	0	0		4	1	85	0	27	Minnesota	27031	Cook County	1									0.3868528072345416	0.0	0.0		0.0			3	N	same-cell	sawgraph;spatialkg;fiokg	3
5959040572265070592	45.21765	-92.8893	1	WQP	1	2	2	0	0		2	1	9	0	27	Minnesota	27163	Washington County	1	1.0	Sewage treatment (effluent & biosolids)	221320	BLISS COLLECTOR WWTP					0.3868528072345416	0.0	0.0		0.0	1.0		4	N	same-cell	sawgraph;spatialkg;fiokg	3
9739898496227475456	33.461025	-112.060818	2	WQP	2	76	38	0	0		51	0	392	9	04	Arizona	04013	Maricopa County	1					1.0	Airport operations (AFFF fire training)	488119	GOOD SAMARITAN MEDICAL CENTER	0.5761515406734765	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5959171242350084096	45.10461	-93.2785	1	WQP	1	13	13	0	0		4	0	278	8	27	Minnesota	27003	Anoka County	2					1.0	Metal coating & electroplating	332812	ELO ENGINEERING	0.5497882919895914	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
9716077576811708416	32.240711	-110.97223066666668	6	WQP	6	12	1	0	0		34	0	297	6	04	Arizona	04019	Pima County	1					1.0	Waste treatment & disposal (landfill, hazardous waste)	562212	CATALINA MSW LANDFILL	0.48690453777434933	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5960157847877582848	46.362597	-94.192657	1	WQP	1	40	40	0	0		26	0	186	4	27	Minnesota	27035	Crow Wing County	1					1.0	Metal coating & electroplating	332813	ACROMETAL - BRAINERD	0.4027126448827438	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
9935251132316123136	42.84932	-72.55309	1	WQP	1	13	13	0	0		4	0	127	4	33	New Hampshire	33005	Cheshire County	2					1.0	Sewage treatment (effluent & biosolids)	221320	BRATTLEBORO WASTEWATER TREATMENT FACILITY	0.4027126448827438	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
9796962153276637184	44.34015	-93.9394	1	WQP	1	13	13	0	0		1	0	79	4	27	Minnesota	27079	Le Sueur County	2					1.0	Sewage treatment (effluent & biosolids)	221320	SAINT PETER WWTP	0.4027126448827438	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5959056927500533760	44.963152	-92.953835	1	WQP	1	7	7	0	0		28	0	92	3	27	Minnesota	27163	Washington County	1					0.6	Printing & related support activities	323111	RR DONNELLEY	0.34687779158146537	0.0	0.0		0.0	0.6		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5526598251014258688	44.097779	-70.23262	1	EGAD	1	28	7	0	0		22	0	244	3	23	Maine	23001	Androscoggin County	1					1.0	Textile & fabric finishing / coating	313311	W. S. LIBBY COMPANY	0.34687779158146537	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5525465822757126144	44.446833	-68.890217	4	WQP	4	156	13	0	0		0	0	8	3	23	Maine	23027	Waldo County	1					0.6	Petroleum bulk stations & terminals	424710	SPRAGUE ENERGY - SEARSPORT TERMINAL	0.34687779158146537	0.0	0.0		0.0	0.6		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5525465994555817984	44.4513765	-68.8885975	4	EGAD	4	52	13	0	0		0	0	11	3	23	Maine	23027	Waldo County	1					0.6	Petroleum bulk stations & terminals	424710	SPRAGUE ENERGY - SEARSPORT TERMINAL	0.34687779158146537	0.0	0.0		0.0	0.6		4	N	1-ring	sawgraph;spatialkg;fiokg	3
9716512261861801984	32.841147	-109.692482	1	WQP	1	2	1	0	0		0	0	36	3	04	Arizona	04009	Graham County	1					1.0	Waste treatment & disposal (landfill, hazardous waste)	562212	EDEN MSW LANDFILLL	0.34687779158146537	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
9785113025701740544	35.40392	-94.33819	1	WQP	1	13	13	0	0		0	0	38	3	05	Arkansas	05033	Crawford County	2					1.0	Sewage treatment (effluent & biosolids)	221320	VAN BUREN - MAIN WWTP	0.34687779158146537	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5958609735505674240	46.5405	-93.7072	1	WQP	1	13	13	0	0		30	0	99	2	27	Minnesota	27001	Aitkin County	1									0.27489414599479567	0.0	0.0		0.0			3	N	1-ring	sawgraph;spatialkg;fiokg	3
9797535892187906048	44.919625	-92.986891	1	WQP	1	7	7	0	0		23	0	91	2	27	Minnesota	27123	Ramsey County	2					0.6	Other miscellaneous manufacturing	339999	AVEKA INC	0.27489414599479567	0.0	0.0		0.0	0.6		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5529497353939058688	46.873179	-68.015068	1	EGAD	1	34	17	0	0		7	0	34	2	23	Maine	23003	Aroostook County	1					0.6	Other electrical equipment manufacturing	335999	FIRST TECHNOLOGY	0.27489414599479567	0.0	0.0		0.0	0.6		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5959057271097917440	44.9961716	-92.984566	5	WQP	5	10	2	0	0		5	0	65	2	27	Minnesota	27123	Ramsey County	2					1.0	Other chemical product manufacturing	325998	3M PUMPOUT SYSTEM	0.27489414599479567	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5526559596308594688	44.134623	-70.486088	1	EGAD	1	17	17	0	0		0	0	10	2	23	Maine	23017	Oxford County	1					1.0	Fabric mills	313210	ROBINSON MANUFACTURING COMPANY	0.27489414599479567	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5526604882443763712	44.0376055	-70.107091	2	EGAD	2	12	6	0	0		0	0	8	2	23	Maine	23001	Androscoggin County	1					0.6	Printing & related support activities	323111	THE DINGLEY PRESS, INC. - LISBON	0.27489414599479567	0.0	0.0		0.0	0.6		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5527502049572290560	44.31823	-72.72694	1	WQP	1	13	13	0	0		0	0	4	2	50	Vermont	50023	Washington County	1					1.0	Waste treatment & disposal (landfill, hazardous waste)	562212	MORETOWN LANDFILL INC.	0.27489414599479567	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
9935712892840050688	43.1153515	-70.79820575	4	EGAD	4	52	13	0	0		0	0	33	2	23	Maine	23031	York County	2					0.6	Petroleum bulk stations & terminals	424710	SEA-3	0.27489414599479567	0.0	0.0		0.0	0.6		4	N	1-ring	sawgraph;spatialkg;fiokg	3
9741189357238222848	34.90073278571429	-110.15910071428571	14	WQP	14	46	1	0	0		33	0	54	1	04	Arizona	04017	Navajo County	1					0.6	Petroleum bulk stations & terminals	424710	BRADCO INC	0.25	0.0	0.0		0.0	0.6		4	N	1-ring	sawgraph;spatialkg;fiokg	3
9281428776242118656	35.15629	-114.57068	1	WQP	1	38	38	0	0		25	0	42	1	04	Arizona	04015	Mohave County	2					1.0	Airport operations (AFFF fire training)	488119	LAUGHLIN/BULLHEAD INTER	0.25	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5526484107963400192	44.313384	-69.812375	1	EGAD	1	3	3	0	0		13	0	42	1	23	Maine	23011	Kennebec County	1					1.0	National security / military installation (AFFF)	928110	ME ARMY NATL GUARD CAMP KEYES	0.21670536049560574	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5965307307507056640	46.561806	-96.09155	1	WQP	1	40	40	0	0		12	0	54	1	27	Minnesota	27111	Otter Tail County	1					1.0	Sewage treatment (effluent & biosolids)	221320	PELICAN RAPIDS WWTP	0.21062000772931627	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
9797529947953168384	44.834689	-92.997568	1	WQP	1	7	7	0	0		6	0	75	1	27	Minnesota	27163	Washington County	1									0.17343889579073268	0.0	0.0		0.0			3	N	1-ring	sawgraph;spatialkg;fiokg	3
9797530051032383488	44.847331	-92.977743	1	WQP	1	7	7	0	0		6	0	73	1	27	Minnesota	27163	Washington County	1					0.6	Petroleum & coal products manufacturing	324110	MARATHON SAINT PAUL PARK REFINERY	0.17343889579073268	0.0	0.0		0.0	0.6		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5573318286784856064	47.963683	-89.683683	1	WQP	1	15	3	0	0		5	0	10	1	27	Minnesota	27031	Cook County	1					1.0	Sewage treatment (effluent & biosolids)	221320	GRAND PORTAGE WASTEWATER STABILIZATION LAGOON	0.17343889579073268	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5525963695366078464	44.9096845	-69.26567299999999	2	EGAD	2	70	35	0	0		3	0	7	1	23	Maine	23019	Penobscot County	1					1.0	Fabric mills	313210	EASTLAND WOOLEN MILLS INC	0.17343889579073268	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
