cid,frsId,isPfas,naicsCode,naicsLabel
5526591997541875712,110039678998,0,212324,
5526591997541875712,110039678998,0,327121,
5526591997541875712,110041847927,0,212324,
5526591997541875712,110041847927,0,327120,Clay Building Material and Refractories Manufacturing 
5526591997541875712,110041847927,0,327121,
5526591997541875712,110041847927,0,327331,Concrete Block and Brick Manufacturing 
5526592238060044288,110028246351,0,,
5526592238060044288,110055531811,0,,
5526592238060044288,110070298252,0,332312,Fabricated Structural Metal Manufacturing 
5526594608881991680,110008435078,0,,
5526594608881991680,110039673494,0,421930,
5526594677601468416,110017619022,0,44711,
5526594677601468416,110038379064,1,313230,Nonwoven Fabric Mills
5526594677601468416,110038379064,1,314110,Carpet and Rug Mills
5526594677601468416,110038379064,1,326199,All Other Plastics Product Manufacturing 
5526594677601468416,110038379064,1,336360,Motor Vehicle Seating and Interior Trim Manufacturing
5526594677601468416,110066957519,0,322110,Pulp Mills 
5526594677601468416,110066957519,0,322211,Corrugated and Solid Fiber Box Manufacturing 
5526595089918328832,110013917235,0,31321,Broadwoven Fabric Mills
5526595089918328832,110017619727,1,562219,Other Nonhazardous Waste Treatment and Disposal 
5526595089918328832,110024266328,0,,
5526595502235189248,110000797451,0,,
5526595502235189248,110002026664,0,331511,Iron Foundries 
5526595502235189248,110002026664,0,333993,Packaging Machinery Manufacturing 
5526595502235189248,110003553244,0,,
5526595502235189248,110009913068,1,221320,Sewage Treatment Facilities 
5526595502235189248,110037249439,0,,
5526595502235189248,110055060044,0,44611,
5526595502235189248,110064778824,0,,
5526595570954665984,110003554840,0,,
5526595570954665984,110003555242,0,,
5526595570954665984,110020582804,0,812320,Drycleaning and Laundry Services (except Coin-Operated) 
5526595570954665984,110020858320,0,,
5526595570954665984,110028023797,0,22,Utilities
5526595570954665984,110028023804,0,22,Utilities
5526595570954665984,110032629378,0,,
5526595570954665984,110039665617,0,,
5526595570954665984,110043472676,0,,
5526595570954665984,110044218076,0,,
5526595570954665984,110045706946,0,,
5526595570954665984,110055222165,0,,
5526595570954665984,110064403907,0,,
5526595570954665984,110064403916,0,,
5526595570954665984,110067368850,0,,
5526595570954665984,110069998955,0,,
5526595570954665984,110070067692,0,,
5526595570954665984,110070210263,0,,
5526596086350741504,110030480753,0,,
5526596601746817024,110001298426,0,812210,Funeral Homes and Funeral Services 
5526596601746817024,110001298426,0,812220,Cemeteries and Crematories 
5526596601746817024,110003554083,0,,
5526596601746817024,110003557277,0,455110,Department Stores 
5526596601746817024,110006513479,0,,
5526596601746817024,110017222799,0,,
5526596601746817024,110031413496,0,44413,
5526596601746817024,110037230957,0,,
5526596601746817024,110039665662,0,,
5526596601746817024,110039666563,0,,
5526596601746817024,110039668446,0,,
5526596601746817024,110039672217,0,,
5526596601746817024,110042246673,0,,
5526596601746817024,110043436760,0,,
5526596601746817024,110043471613,0,,
5526596601746817024,110045415387,0,442299,
5526596601746817024,110046395806,0,44511,Supermarkets and Other Grocery Retailers (except Convenience Retailers) 
5526596601746817024,110046395806,0,44611,
5526596601746817024,110054623467,0,62121,Offices of Dentists
5526596601746817024,110055618568,0,522110,Commercial Banking 
5526596601746817024,110055618568,0,561422,Telemarketing Bureaus and Other Contact Centers 
5526596601746817024,110069994172,0,,
5526596636106555392,110003558187,0,,
5526596636106555392,110012275206,0,455211,Warehouse Clubs and Supercenters 
5526596636106555392,110016674918,0,,
5526596636106555392,110032670330,0,452311,
5526596636106555392,110039664556,0,,
5526596636106555392,110044921706,0,44711,
5526596636106555392,110059668079,0,453910,
5526597254581846016,110000717797,0,,
5526597254581846016,110000865537,0,,
5526597254581846016,110000865564,0,44111,New Car Dealers 
5526597254581846016,110022862311,0,,
5526597254581846016,110055222263,0,,
5526597288941584384,110012162346,0,611210,Junior Colleges 
5526597288941584384,110017619736,0,44711,
5526597288941584384,110049968061,0,,
5526598216654520320,110003553645,0,,
5526598216654520320,110003557213,0,812320,Drycleaning and Laundry Services (except Coin-Operated) 
5526598216654520320,110009913077,0,,
5526598216654520320,110010599076,0,,
5526598216654520320,110014423427,0,,
5526598216654520320,110014423445,0,,
5526598216654520320,110015863458,0,,
5526598216654520320,110018934359,0,,
5526598216654520320,110020858295,0,,
5526598216654520320,110022526257,0,44711,
5526598216654520320,110037083072,0,,
5526598216654520320,110037250051,0,,
5526598216654520320,110039669944,0,,
5526598216654520320,110039671343,0,,
5526598216654520320,110039675376,0,,
5526598216654520320,110039676767,0,,
5526598216654520320,110040066291,0,,
5526598216654520320,110040068663,0,,
5526598216654520320,110040176733,0,,
5526598216654520320,110040424038,0,,
5526598216654520320,110040821233,0,,
5526598216654520320,110041195471,0,,
5526598216654520320,110041195480,0,,
5526598216654520320,110041879811,0,,
5526598216654520320,110041880220,0,,
5526598216654520320,110043219638,0,,
5526598216654520320,110043464970,0,,
5526598216654520320,110043470062,0,,
5526598216654520320,110043471640,0,,
5526598216654520320,110043472998,0,,
5526598216654520320,110045603637,0,,
5526598216654520320,110045976618,0,44611,
5526598216654520320,110054078261,0,,
5526598216654520320,110054906296,0,,
5526598216654520320,110055059911,0,456110,Pharmacies and Drug Retailers 
5526598216654520320,110064404078,0,,
5526598216654520320,110067368397,0,,
5526598216654520320,110069993957,0,,
5526598216654520320,110069998999,0,,
5526598216654520320,110069999001,0,,
5526598216654520320,110069999057,0,,
5526598216654520320,110070028904,0,,
5526598216654520320,110070028920,0,,
5526598216654520320,110070028922,0,,
5526598216654520320,110070028923,0,,
5526598216654520320,110070209992,0,,
5526598216654520320,110070210160,0,,
5526598216654520320,110070210279,0,,
5526598216654520320,110071100078,0,,
5526598251014258688,110003553217,0,333319,
5526598251014258688,110003553958,0,332322,Sheet Metal Work Manufacturing 
5526598251014258688,110003555091,0,3219,Other Wood Product Manufacturing
5526598251014258688,110006691008,0,,
5526598251014258688,110007272744,0,611110,Elementary and Secondary Schools 
5526598251014258688,110023008662,0,,
5526598251014258688,110030469160,0,,
5526598251014258688,110033198000,0,,
5526598251014258688,110037125465,0,,
5526598251014258688,110037242622,0,,
5526598251014258688,110039672315,0,531312,Nonresidential Property Managers 
5526598251014258688,110040221710,0,,
5526598251014258688,110043470669,0,,
5526598251014258688,110043630853,0,,
5526598251014258688,110054894995,0,,
5526598251014258688,110055222183,0,,
5526598251014258688,110069435506,0,,
5526598251014258688,110069998996,0,,
5526598251014258688,110070067686,0,,
5526598251014258688,110070158669,0,,
5526598251014258688,110070210328,0,,
5526598354093473792,110018914022,0,,
5526598354093473792,110020579435,0,812320,Drycleaning and Laundry Services (except Coin-Operated) 
5526598354093473792,110022022522,0,221320,Sewage Treatment Facilities 
5526598354093473792,110022022522,0,421930,
5526598354093473792,110022022522,0,611110,Elementary and Secondary Schools 
5526598354093473792,110032600585,0,,
5526598354093473792,110032601860,0,,
5526598354093473792,110032615926,0,,
5526598354093473792,110037083125,0,,
5526598354093473792,110037242677,0,,
5526598354093473792,110037245255,0,,
5526598354093473792,110037951124,0,,
5526598354093473792,110037958092,0,,
5526598354093473792,110039671977,0,,
5526598354093473792,110039678818,0,,
5526598354093473792,110039680930,0,,
5526598354093473792,110040418928,0,,
5526598354093473792,110041209778,0,,
5526598354093473792,110041884896,0,,
5526598354093473792,110042333891,0,,
5526598354093473792,110042350229,0,,
5526598354093473792,110042350363,0,,
5526598354093473792,110043258970,0,,
5526598354093473792,110043464989,0,,
5526598354093473792,110043465899,0,,
5526598354093473792,110044866366,0,,
5526598354093473792,110045458367,0,,
5526598354093473792,110045458376,0,,
5526598354093473792,110045465821,0,,
5526598354093473792,110054073088,0,,
5526598354093473792,110054919610,0,,
5526598354093473792,110055217643,0,,
5526598354093473792,110055222049,0,,
5526598354093473792,110055222245,0,,
5526598354093473792,110055222272,0,,
5526598354093473792,110056973707,0,,
5526598354093473792,110062640316,0,,
5526598354093473792,110063599878,0,,
5526598354093473792,110064416074,0,,
5526598354093473792,110069324591,0,,
5526598354093473792,110069324635,0,,
