interest,interestLabel,interestClass,nFacilities
Statemaster,STATE MASTER,FacilitySiteIdentification,4650
Unspecifieduniverse,UNSPECIFIED UNIVERSE,HazardousWasteProgram,2256
Hazardouswasteprogram,HAZARDOUS WASTE PROGRAM,HazardousWasteProgram,2239
Enforcement-Complianceactivity,ENFORCEMENT/COMPLIANCE ACTIVITY,EnforcementInterest,1199
Enforcement-Complianceactivity,ENFORCEMENT/COMPLIANCE ACTIVITY,LegalEnforcementActivities,1199
Undergroundstoragetankprogram,UNDERGROUND STORAGE TANK PROGRAM,UndergroundStorageTankProgram,1116
CESQG,CESQG,HazardousWasteProgram,806
VSQG,VSQG,HazardousWasteProgram,773
Icis-Npdesnon-Major,ICIS-NPDES NON-MAJOR,WasteWaterProgram,694
Icis-Npdesnon-Major,ICIS-NPDES NON-MAJOR,PermitInterest,694
Airprogram,AIR PROGRAM,AirProgram,553
Airminor,AIR MINOR,AirProgram,552
Leakingstoragetank,LEAKING STORAGE TANK,UndergroundStorageTankProgram,460
Brownfieldsproperty,BROWNFIELDS PROPERTY,RemediationRedevelopmentProgram,378
Brownfieldsproperty,BROWNFIELDS PROPERTY,SiteInterest,378
Solidwasteprogram,SOLID WASTE PROGRAM,SiteInterest,357
Solidwasteprogram,SOLID WASTE PROGRAM,SolidWasteProgram,357
Formalenforcementaction,FORMAL ENFORCEMENT ACTION,EnforcementInterest,339
Formalenforcementaction,FORMAL ENFORCEMENT ACTION,LegalEnforcementActivities,339
Npdespermit,NPDES PERMIT,PermitInterest,321
Npdespermit,NPDES PERMIT,WasteWaterProgram,321
SQG,SQG,HazardousWasteProgram,319
Trireporter,TRI REPORTER,ChemicalReleaseProgram,309
Stormwaterindustrial,STORM WATER INDUSTRIAL,WasteWaterProgram,272
Stormwaterindustrial,STORM WATER INDUSTRIAL,PermitInterest,272
Oshaestablishment,OSHA ESTABLISHMENT,HealthSafetyProgram,259
Hazardouswastebiennialreporter,HAZARDOUS WASTE BIENNIAL REPORTER,HazardousWasteProgram,245
Complianceactivity,COMPLIANCE ACTIVITY,LegalEnforcementActivities,243
