cas,useCategory,useSource,nRecords
108427-53-8,Emulsion stabilizer,Predicted Functional Use,1
108427-53-8,Flame retardant,Predicted Functional Use,1
113507-82-7,Flame retardant,Predicted Functional Use,1
126105-34-8,Emulsion stabilizer,Predicted Functional Use,1
126105-34-8,Flame retardant,Predicted Functional Use,1
16517-11-6,Emulsion stabilizer,Predicted Functional Use,1
1763-23-1,Emulsion stabilizer,Predicted Functional Use,1
1763-23-1,Flame retardant,Predicted Functional Use,1
2058-94-8,Emulsion stabilizer,Predicted Functional Use,1
2706-90-3,Emulsion stabilizer,Predicted Functional Use,1
2706-91-4,Emulsion stabilizer,Predicted Functional Use,1
2706-91-4,Flame retardant,Predicted Functional Use,1
27619-97-2,Surfactant,Predicted Functional Use,1
27854-31-5,Emulsion stabilizer,Predicted Functional Use,1
30334-69-1,Emulsion stabilizer,Predicted Functional Use,1
30334-69-1,Flame retardant,Predicted Functional Use,1
307-24-4,Emulsion stabilizer,Predicted Functional Use,1
307-55-1,Emulsion stabilizer,Predicted Functional Use,1
31506-32-8,Emulsion stabilizer,Predicted Functional Use,1
31506-32-8,Flame retardant,Predicted Functional Use,1
335-67-1,Emulsion stabilizer,Predicted Functional Use,1
335-76-2,Emulsion stabilizer,Predicted Functional Use,1
335-77-3,Emulsion stabilizer,Predicted Functional Use,1
335-77-3,Flame retardant,Predicted Functional Use,1
355-46-4,Emulsion stabilizer,Predicted Functional Use,1
355-46-4,Flame retardant,Predicted Functional Use,1
375-73-5,Emulsion stabilizer,Predicted Functional Use,1
375-73-5,Flame retardant,Predicted Functional Use,1
375-85-9,Emulsion stabilizer,Predicted Functional Use,1
375-92-8,Emulsion stabilizer,Predicted Functional Use,1
375-92-8,Flame retardant,Predicted Functional Use,1
375-95-1,Emulsion stabilizer,Predicted Functional Use,1
376-06-7,Emulsion stabilizer,Predicted Functional Use,1
379-90-8,Foamer,Predicted Functional Use,1
39492-91-6,Antimicrobial,Predicted Functional Use,1
4151-50-2,Emulsion stabilizer,Predicted Functional Use,1
4151-50-2,Flame retardant,Predicted Functional Use,1
41997-13-1,Emulsion stabilizer,Predicted Functional Use,1
41997-13-1,Flame retardant,Predicted Functional Use,1
423-41-6,Flame retardant,Predicted Functional Use,1
45187-15-3,Emulsion stabilizer,Predicted Functional Use,1
45187-15-3,Flame retardant,Predicted Functional Use,1
45298-90-6,Emulsion stabilizer,Predicted Functional Use,1
45298-90-6,Flame retardant,Predicted Functional Use,1
474511-07-4,Emulsion stabilizer,Predicted Functional Use,1
474511-07-4,Flame retardant,Predicted Functional Use,1
53826-12-3,Emulsion stabilizer,Predicted Functional Use,1
67905-19-5,Emulsion stabilizer,Predicted Functional Use,1
68259-12-1,Emulsion stabilizer,Predicted Functional Use,1
68259-12-1,Flame retardant,Predicted Functional Use,1
72629-94-8,Emulsion stabilizer,Predicted Functional Use,1
73606-19-6,Flame retardant,Predicted Functional Use,1
754-91-6,Emulsion stabilizer,Predicted Functional Use,1
754-91-6,Flame retardant,Predicted Functional Use,1
76-14-2,Foamer,Predicted Functional Use,1
79780-39-5,Emulsion stabilizer,Predicted Functional Use,1
79780-39-5,Flame retardant,Predicted Functional Use,1
